"sample.depths","sample.ages","upland.sum","Abies","Betula","Ericaceae","Picea","Alnus","Pinus","Cyperaceae","Salix","Poaceae","Cornus","Asteraceae.undiff.","Artemisia","Rumex","Amaranthaceae","Onagraceae","Ambrosia.type","Shepherdia.canadensis","Caryophyllaceae","Dryas.type","Ranunculaceae"
0,NA,234,43,31,2,145,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NA,229,39,25,0,154,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NA,410,52,68,0,256,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,240,25,34,1,164,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
40,NA,321,40,58,1,199,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4562,319,34,46,1,214,18,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
60,4717,272,57,28,1,167,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4872,207,27,30,2,131,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80,5026,270,39,42,1,168,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5181,363,59,46,0,244,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5336,210,25,33,1,133,13,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
110,5491,293,45,35,0,188,19,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
120,5646,344,55,54,1,217,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,5801,377,46,63,1,240,23,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
140,5956,319,54,63,0,186,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
150,6111,303,40,95,0,150,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6266,330,53,147,0,63,54,8,3,1,0,0,0,0,0,1,0,0,0,0,0,0
170,6420,224,51,112,0,21,37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,6529,276,66,132,0,28,44,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
200,NA,233,46,67,0,27,87,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
210,NA,294,35,87,1,13,145,4,6,1,0,0,0,1,0,0,1,0,0,0,0,0
220,NA,261,21,40,0,37,146,5,7,2,2,0,0,0,0,0,0,1,0,0,0,0
230,NA,232,1,22,0,2,192,5,5,1,2,0,2,0,0,0,0,0,0,0,0,0
240,NA,230,1,72,2,3,123,7,7,7,4,0,0,1,0,0,2,0,1,0,0,0
250,NA,281,3,46,8,6,67,19,24,49,37,0,1,17,0,0,1,0,0,1,1,1
260,NA,10,0,4,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
