"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,541,0,0,3,4,3,0,24,0,3,4,0,0,0,2,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,18,3,4,0,0,4,81,17,199,0,0,125,0,0,0,0,0,3,1,0,20,0,0,3,1,0,0,3,0,0,0,0,0,2,6,0,0,0,0,2,0,0,0,0
4,-40,555,0,0,5,2,11,0,28,0,2,3,1,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,12,0,3,0,0,1,29,5,256,2,0,133,0,0,0,0,0,3,3,0,28,0,1,4,0,0,0,3,0,0,0,1,0,1,9,0,0,0,0,2,1,0,0,0
8,-30,576,0,0,3,3,9,0,35,0,1,3,0,2,0,1,0,0,0,1,5,1,4,0,0,1,2,0,0,2,0,26,3,3,0,0,2,50,10,191,1,0,138,0,1,0,0,0,3,1,0,40,0,1,5,0,0,1,2,1,0,0,0,0,3,11,0,0,0,0,10,0,0,0,0
12,-15,549,0,0,0,1,9,0,40,0,8,2,0,1,0,1,0,1,0,2,1,0,2,0,2,1,0,0,0,0,1,21,3,1,0,0,0,46,8,226,1,0,120,0,0,0,0,0,1,2,0,24,0,1,5,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,4,0,0,0,0
16,0,585,0,0,3,4,7,0,48,3,0,7,1,0,0,1,0,0,0,3,2,1,4,0,1,0,0,0,0,1,0,32,4,1,0,0,2,51,12,171,3,1,127,2,0,0,0,0,3,6,0,38,0,0,7,0,0,1,5,0,0,0,1,0,2,20,0,0,0,0,8,2,0,0,0
20,22,626,1,0,1,7,17,0,53,0,5,4,0,0,0,1,0,1,0,5,8,1,3,0,0,0,3,0,0,0,1,34,0,1,0,0,0,27,10,174,1,0,154,0,1,0,0,0,2,4,0,54,0,1,8,0,0,0,5,0,0,0,0,0,8,21,0,0,0,0,9,1,0,0,0
24,62,642,0,0,1,2,9,0,63,0,8,0,4,1,0,2,0,0,0,8,4,1,4,0,1,0,0,0,0,1,0,47,3,3,0,0,2,19,2,194,0,0,133,0,0,0,0,0,5,5,0,68,0,0,7,0,0,1,3,0,0,0,0,0,4,21,0,0,0,0,16,0,0,0,0
28,300,641,0,0,1,1,13,0,71,0,6,1,2,0,0,0,0,0,0,3,7,0,4,1,2,0,1,0,0,1,0,37,1,2,0,0,1,26,2,186,1,0,134,0,0,0,0,1,4,4,0,76,0,2,3,0,0,1,3,0,0,0,0,0,4,20,0,0,0,0,19,0,0,0,0
32,460,535,0,0,1,3,10,0,59,0,8,6,2,0,0,1,0,0,0,1,8,2,3,0,0,0,0,2,0,0,0,29,0,5,0,0,4,20,0,214,3,2,112,0,0,0,0,1,8,0,0,6,0,2,5,0,0,0,1,0,0,0,0,0,1,11,0,0,0,0,5,0,0,0,0
36,620,526,0,0,2,1,4,0,63,0,3,4,2,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,27,0,1,0,0,1,9,3,221,1,0,147,0,0,0,0,1,5,5,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
40,762,523,0,0,1,3,8,0,53,0,6,4,6,0,0,1,0,0,0,5,13,2,0,1,0,0,1,0,0,0,0,19,3,1,0,0,2,13,0,189,1,0,155,0,0,0,0,0,10,5,0,4,0,2,6,0,0,0,2,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0
44,848,529,0,0,1,1,4,0,65,0,1,13,3,0,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,30,1,1,0,0,4,12,1,166,1,0,181,0,0,0,0,1,5,3,0,4,0,3,4,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0
48,933,521,0,0,1,1,9,0,57,0,6,8,2,0,1,0,0,0,2,2,11,3,0,0,0,0,0,0,0,0,0,41,3,0,0,0,1,18,2,168,0,0,160,0,0,0,0,0,9,2,0,0,0,1,7,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0
52,1019,531,0,0,1,4,5,0,51,0,0,6,2,0,0,1,0,0,0,1,17,2,0,0,0,1,0,0,0,2,1,20,2,0,0,0,1,8,1,200,1,0,179,0,0,0,0,0,7,3,0,2,0,0,4,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
56,1098,523,0,1,1,1,12,0,65,0,3,7,4,0,0,0,0,0,0,2,16,6,0,1,0,0,0,0,0,1,0,20,0,3,0,0,1,9,3,154,1,0,196,0,0,0,0,1,4,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
60,1158,537,0,0,0,2,9,0,52,0,7,11,3,0,0,1,0,0,0,3,16,0,2,0,0,0,0,0,0,1,0,40,1,3,0,0,2,13,1,190,0,0,165,0,0,0,0,0,7,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
64,1217,513,0,0,1,2,11,0,59,0,3,6,3,0,0,0,0,0,0,4,10,3,2,0,0,0,1,0,0,1,0,36,0,2,0,0,2,7,3,187,0,0,148,0,0,0,0,0,11,4,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
68,1277,516,0,0,1,3,2,0,49,0,0,8,1,0,0,0,0,0,0,3,21,2,0,2,0,1,0,0,0,1,0,38,0,3,0,0,0,11,2,198,2,0,149,0,0,0,0,0,5,5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
