"sample.depths","sample.ages","upland.sum","Acer","Alnus","Ambrosia","Arceuthobium","Asteraceae..high.spine.","Asteraceae..low.spine.","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Galium","Hypericum","Ilex","Juglans","Larix","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Quercus","Rhus","Rosaceae.trees","Rumex","Salix","Thalictrum","Tilia","Tsuga","Ulmus","Vitis"
1,-14,465,5,0,7,0,0,1,37,1,1,0,0,0,0,0,0,2,25,1,6,0,102,0,2,0,0,1,1,0,0,11,46,97,3,17,0,92,0,0,0,0,0,0,6,1,0
11,277,310,3,4,21,0,0,6,50,1,2,0,3,2,0,5,6,16,7,5,1,0,0,3,0,0,0,4,0,0,2,2,10,38,0,55,0,56,0,0,1,0,0,0,6,1,0
21,567,266,5,1,6,0,5,19,11,0,0,0,0,0,0,5,3,51,3,8,1,0,1,0,1,0,0,5,0,0,2,4,6,37,0,18,0,59,0,0,2,0,0,0,12,1,0
25,683,318,3,4,0,0,0,12,19,0,6,0,0,2,0,3,0,55,1,8,2,1,0,1,0,0,0,0,1,0,0,6,4,57,0,39,0,81,0,0,0,1,0,0,8,4,0
29,800,321,4,2,3,0,0,12,17,0,6,0,0,31,0,3,0,13,2,7,1,0,0,1,0,0,0,3,0,1,0,3,4,28,0,47,1,122,0,0,0,1,0,0,8,1,0
33,916,393,4,11,2,1,0,17,41,0,4,0,1,47,0,5,0,7,5,14,1,0,0,1,0,0,0,6,1,2,1,2,3,23,0,46,0,126,0,1,0,10,1,0,8,2,0
37,1032,423,1,7,0,0,0,17,34,0,3,0,0,73,0,3,0,5,2,11,1,0,0,0,2,0,0,3,4,0,0,1,3,38,0,75,1,120,0,0,0,11,0,0,7,1,0
41,1148,329,5,6,0,0,0,2,16,0,2,0,0,17,0,5,0,14,11,26,3,0,0,0,0,0,0,3,3,1,0,4,2,49,0,38,1,111,0,0,0,5,0,0,4,1,0
45,1264,502,6,5,1,0,0,11,58,0,8,0,1,49,0,5,0,10,9,16,2,0,0,0,0,0,0,6,3,1,1,0,3,40,2,57,0,179,1,0,0,12,0,1,14,1,0
48,1352,506,6,7,0,0,0,10,41,2,2,0,1,45,1,4,1,44,1,11,8,0,0,0,3,0,1,11,1,1,2,14,8,45,0,67,1,137,0,0,2,6,0,0,19,4,0
110,3153,283,3,2,0,0,0,27,14,0,1,0,0,7,0,6,0,17,0,4,0,0,0,2,0,1,0,5,0,1,1,2,4,20,1,44,0,106,0,0,2,6,0,0,5,2,0
130,3734,681,2,1,8,1,0,12,20,3,3,0,0,26,2,4,3,21,9,15,0,0,0,2,0,0,0,6,4,0,1,1,4,30,0,398,0,90,0,1,2,1,3,0,8,0,0
150,4315,839,12,26,0,0,0,26,21,0,2,1,3,25,0,6,0,13,0,49,5,0,2,0,0,0,0,2,14,0,1,4,11,50,0,372,1,157,0,0,0,1,0,0,33,1,1
