"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.Iva","Arecaceae","Aster","Asteraceae.undiff.","Betula","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Cyrilla.racemiflora","Ericaceae","Euphorbiaceae","Fabaceae","Fraxinus","Ilex","Lamiaceae","Liquidambar","Melastomataceae","Myrica","Nymphaea","Nyssa","Osmunda.regalis","Other.ferns","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Typha","Ulmus","Unknown..monolete.","Unknown..tetracolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
0.5,-39,0,2,230,64,0,18,4,0,2,2,4,0,0,10,0,60,0,0,0,0,0,2,0,0,0,54,0,0,10,22,126,6,0,0,8,6,4,0,8,0,0,4,12,16,0
1,-34,0,2,200,58,0,14,8,2,0,0,4,0,0,10,2,24,0,0,0,0,0,0,0,0,0,76,4,0,8,16,170,4,0,0,14,4,8,0,8,0,2,0,16,22,8
3,-11,0,0,192,16,0,4,2,0,0,0,0,2,0,12,0,4,2,0,0,0,0,2,0,0,0,58,2,0,2,10,144,6,0,0,8,6,2,0,4,0,0,4,2,4,2
5,6,0,2,104,6,0,0,0,0,0,4,0,0,2,18,4,2,0,2,0,6,0,0,0,2,0,54,4,0,2,16,164,4,0,0,8,12,0,0,6,0,0,8,4,4,2
7,18,0,0,146,2,0,0,0,0,0,0,0,0,0,6,6,4,0,0,2,0,0,4,0,0,0,46,2,2,2,12,176,0,0,0,10,8,0,0,10,0,0,0,0,8,2
9,29,0,2,102,2,0,0,0,0,0,0,0,0,0,18,0,2,0,4,0,2,0,0,2,0,0,30,0,2,4,10,172,0,2,0,10,8,0,2,2,0,2,4,0,4,4
11,41,0,0,126,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,58,0,2,4,12,196,0,0,0,14,8,0,0,8,0,0,0,0,6,0
15,114,0,0,162,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,52,4,0,0,6,242,10,0,0,14,20,0,0,0,0,0,6,4,8,0
19,216,0,2,68,2,0,0,2,0,0,0,0,0,2,8,0,4,0,2,0,0,0,0,0,0,0,24,6,0,0,32,130,4,0,0,8,10,0,0,32,0,0,0,0,0,6
21,266,0,0,36,0,0,2,0,0,0,2,0,0,0,4,0,2,0,2,0,2,0,0,0,0,0,26,0,0,0,0,68,0,0,0,0,6,0,2,0,0,0,0,0,0,0
23,317,0,2,106,2,0,2,0,0,2,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0,0,32,8,0,0,6,76,2,0,0,14,28,0,2,6,2,0,0,0,0,0
25,368,0,0,72,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,108,2,0,0,4,10,2,0,0,0,0,0,0,6,0
27,419,0,0,92,6,0,4,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0,8,12,0,0,22,92,0,0,0,8,16,2,0,18,0,0,4,0,0,0
29,470,0,0,66,2,0,0,0,0,0,0,0,0,0,36,0,6,0,0,0,0,0,2,0,2,0,10,4,0,0,8,94,0,0,0,10,10,0,0,8,0,2,0,0,2,0
31,521,0,0,54,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,2,2,0,0,0,0,0,8,16,0,0,12,110,0,0,0,14,24,0,0,12,0,0,0,0,4,0
33,555,0,4,88,4,0,0,0,0,0,0,0,0,0,50,0,0,0,4,0,0,0,0,0,0,0,10,28,0,4,22,132,8,0,2,16,28,0,2,16,0,0,0,0,4,0
35,589,0,2,54,8,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,104,2,0,0,6,30,2,0,0,0,2,0,0,0,0
41,691,0,0,28,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,30,0,0,0,2,10,2,0,0,0,0,0,0,0,0
