"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Anacardiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cerealia","Corylus","Cupressaceae","Cyperaceae","Diospyros.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Lemnaceae","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type"
0,-267,0,38,0,0,0,1,26,2,0,0,2,0,0,17,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,1,0,0,3,2,0,1,0,0,3,1,1,0,0,0,0,4,0,4,0,0,17,3,4,19,0,0,0,0,4,0,147,0,1,18,1,0,4,0,0,0,0,1,0,3,0,3
5,220,0,3,0,2,0,1,104,0,0,2,29,0,0,11,0,0,0,0,2,0,16,6,0,0,5,0,2,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,2,0,6,3,0,22,0,0,0,0,0,0,115,0,0,72,7,0,0,0,5,0,0,0,0,1,0,2
10,785,1,1,0,1,0,0,73,0,0,2,2,0,0,3,0,0,0,0,5,0,49,0,0,0,9,0,13,0,0,5,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,3,0,5,1,1,14,9,0,8,0,0,0,0,0,1,111,0,0,21,3,0,0,0,3,1,0,4,0,1,1,0
15,1504,0,3,1,5,0,0,3,0,0,0,2,0,0,9,0,0,0,0,9,0,54,1,0,0,13,0,39,0,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,11,1,0,14,14,0,8,0,0,0,0,0,1,165,0,0,24,2,0,0,0,0,2,0,1,0,2,0,0
20,2386,0,4,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,57,0,0,0,13,0,50,0,2,10,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,15,0,0,11,0,0,5,0,0,2,0,0,0,181,0,0,41,0,0,0,0,1,2,0,5,0,0,0,0
25,3391,0,2,0,1,0,0,1,0,0,0,1,0,0,12,0,0,0,0,12,0,40,0,1,0,15,0,90,0,1,5,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,5,0,45,0,0,10,0,0,10,0,0,0,0,0,0,195,0,0,27,0,0,0,0,2,0,1,5,0,0,0,0
30,4476,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,0,32,0,0,0,11,0,46,0,4,6,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,4,0,12,3,0,9,0,0,11,0,1,0,0,0,2,201,0,0,11,0,0,0,0,0,4,0,5,0,0,1,0
35,5600,0,2,1,5,0,0,1,0,0,0,2,0,0,10,0,0,0,0,12,0,44,0,0,0,19,0,189,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,17,0,2,16,0,3,0,0,0,0,193,0,0,60,0,0,0,0,7,0,0,1,1,0,1,0
40,6720,2,3,0,8,0,0,1,0,0,0,3,0,0,14,0,0,0,2,5,0,1,0,0,0,18,1,60,0,5,8,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,13,0,0,3,0,12,0,0,18,0,0,1,1,0,0,200,0,0,69,0,1,0,0,3,1,1,8,0,0,2,4
45,7796,0,1,1,5,0,0,1,0,0,0,0,0,0,10,0,0,0,4,10,0,3,0,1,0,20,0,8,0,4,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,14,0,2,5,1,12,0,0,35,0,0,0,0,0,0,213,0,0,22,0,0,0,0,0,0,0,8,0,2,2,3
