"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caltha","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Decodon.verticillatus","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Gentianaceae","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Parnassia","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sambucus","Saxifraga.type","Solanaceae","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Unknown.undiff.","Viburnum","Woodsia"
1,51,2,0,0,0,0,1,62,0,5,0,0,4,0,32,0,0,0,0,0,2,0,2,0,5,0,2,5,2,0,0,0,0,0,5,0,0,0,1,2,12,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,18,1,1,22,0,0,6,2,0,0,0,38,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,3,2,1,3,2,3,0,2,0
5,208,0,0,0,0,0,1,75,0,8,0,1,7,0,21,0,0,0,0,0,8,1,2,0,6,0,1,2,7,0,0,0,0,0,7,1,1,0,0,7,33,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,1,3,22,0,1,22,0,1,1,0,0,0,1,52,0,0,0,0,0,8,0,0,0,0,0,1,3,0,0,4,2,2,2,10,1,0,2,0
10,404,1,0,1,0,1,1,135,0,6,1,0,15,0,42,0,1,0,0,0,8,0,1,0,5,0,0,3,4,0,0,0,2,0,11,2,0,1,0,1,38,7,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,4,0,0,4,0,0,48,0,0,42,0,1,4,0,0,0,0,85,0,0,2,0,1,11,0,0,0,0,2,1,1,0,0,5,0,5,5,2,14,3,2,0
15,599,1,0,1,0,0,1,54,0,2,0,1,10,0,13,0,0,0,0,0,4,0,1,0,4,0,0,3,2,0,0,0,1,0,4,1,0,0,0,3,26,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,2,10,0,0,18,0,0,2,0,0,0,4,34,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,5,0,3,1,14,0,0,2,0
19.5,773,1,0,3,0,1,3,61,0,0,0,0,4,0,23,0,0,0,0,0,5,0,3,0,1,0,0,2,5,0,0,0,0,0,5,3,1,0,0,6,25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,9,0,0,22,0,0,3,0,0,0,0,63,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,3,3,0,0,0,2,0
30,1171,0,0,1,0,1,3,139,0,0,1,0,12,0,42,0,0,0,0,1,7,1,0,0,3,0,0,5,7,0,0,0,2,0,25,3,2,0,0,6,27,5,0,0,2,0,0,0,0,1,0,0,0,0,3,3,2,1,0,0,1,0,0,22,0,1,34,0,0,1,0,0,0,0,128,0,0,1,0,2,1,1,0,0,0,0,1,1,2,0,6,1,5,3,3,3,0,2,0
40,1536,1,0,1,1,2,3,80,0,0,0,2,7,0,17,0,0,0,0,0,4,1,0,0,7,0,1,4,2,0,0,0,1,0,7,5,0,0,0,3,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,10,0,2,31,0,0,3,0,0,0,1,62,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,5,0,2,2,0,0,0,0,0
50,1882,0,0,1,0,0,0,65,0,0,0,1,4,0,13,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,7,0,3,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,1,1,6,0,0,15,0,0,0,0,0,0,5,51,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0
60,2206,0,0,1,0,1,3,111,0,0,0,0,6,0,24,0,0,0,0,1,9,0,1,0,3,0,0,0,3,0,0,0,1,0,17,5,1,0,0,9,30,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,2,0,0,27,0,1,16,0,0,3,0,0,0,0,158,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,8,0,2,3,0,6,0,5,0
70,2501,0,0,4,0,1,1,44,0,0,0,1,2,0,19,0,0,0,0,0,5,1,1,0,2,0,3,4,1,0,0,0,0,0,6,3,2,0,0,2,20,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,3,5,0,0,2,0,0,1,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,0,0,0,0
