"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Juniperus.type","Abies.balsamea","Acer.saccharum","Myrica.gale","Nemopanthus.mucronatus","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Viburnum.nudum","Picea.undiff.","Acer.rubrum","Artemisia","Populus.tremuloides.type","Ulmus","Poaceae","Tsuga.canadensis","Ericaceae","Taxus","Fabaceae","Acer.pensylvanicum","Corylus.cornuta","Asteraceae.subf..Asteroideae.undiff.","Carya.ovata","Platanus.occidentalis","Viburnum.edule","Ostrya.Carpinus","Amaranthaceae","Pinus.resinosa.type","Acer.spicatum","Juglans.cinerea","Salix","Thalictrum","Rosaceae.undiff.","Castanea.dentata","Viburnum.undiff.","Populus.balsamifera.type","Ambrosia.type","Polygonaceae.undiff.","Shepherdia.canadensis","Polygonum.lapathifolium.type","Rubiaceae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Brassicaceae","Rubus.chamaemorus","Caryophyllaceae","Saxifragaceae.undiff.","Asteraceae.subf..Cichorioideae","Onagraceae","Saxifraga.oppositifolia.type"
10,507,0.0105932203389831,0.00211864406779661,0.669491525423729,0.00211864406779661,0.0148305084745763,0.00211864406779661,0.00423728813559322,0.00423728813559322,0.0338983050847458,0.101694915254237,0.0105932203389831,0.0148305084745763,0.0169491525423729,0.00423728813559322,0.0169491525423729,0.00211864406779661,0.00211864406779661,0.0211864406779661,0.0148305084745763,0.00211864406779661,0.048728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1014,0.0115702479338843,0.00661157024793388,0.654545454545455,0.00661157024793388,0.0115702479338843,0.00330578512396694,0.00165289256198347,0.00330578512396694,0.0347107438016529,0.090909090909091,0.00661157024793388,0.0181818181818182,0.0247933884297521,0.00826446280991736,0.00991735537190083,0,0.00330578512396694,0.0198347107438017,0.0231404958677686,0,0.0446280991735537,0.00165289256198347,0.00165289256198347,0.00165289256198347,0.00330578512396694,0.00495867768595041,0.00330578512396694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1521,0.00868055555555556,0,0.671875,0.00347222222222222,0.0173611111111111,0.00347222222222222,0,0.00173611111111111,0.0208333333333333,0.133680555555556,0.00347222222222222,0,0.0121527777777778,0.00868055555555556,0.00173611111111111,0,0.00694444444444444,0.0520833333333333,0.0173611111111111,0.00173611111111111,0.0190972222222222,0.00173611111111111,0.00173611111111111,0.00173611111111111,0.00173611111111111,0,0.00173611111111111,0.00347222222222222,0.00173611111111111,0.00173611111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2029,0.00453857791225416,0.00605143721633888,0.649016641452345,0.00151285930408472,0.00605143721633888,0.00302571860816944,0,0.00453857791225416,0.0287443267776097,0.122541603630862,0.00907715582450832,0.0075642965204236,0.0302571860816944,0,0.0211800302571861,0.00151285930408472,0.00605143721633888,0.0242057488653555,0.00907715582450832,0,0.0393343419062027,0,0.00151285930408472,0.00605143721633888,0.00151285930408472,0,0.0075642965204236,0.00605143721633888,0,0,0.00151285930408472,0.00151285930408472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2536,0.011214953271028,0.00560747663551402,0.585046728971963,0.00560747663551402,0.0130841121495327,0,0,0.00373831775700935,0.0149532710280374,0.179439252336449,0.0168224299065421,0,0.0186915887850467,0.00373831775700935,0,0,0.0168224299065421,0.0616822429906542,0.0130841121495327,0,0.0242990654205607,0.00373831775700935,0,0.00186915887850467,0,0,0.00560747663551402,0,0.00186915887850467,0,0.00373831775700935,0,0.00186915887850467,0.00186915887850467,0.00186915887850467,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3043,0.0182926829268293,0,0.546747967479675,0.00203252032520325,0.008130081300813,0.0040650406504065,0.00203252032520325,0.00609756097560976,0.0223577235772358,0.199186991869919,0.016260162601626,0.008130081300813,0.0121951219512195,0.00609756097560976,0,0,0.024390243902439,0.0467479674796748,0.00609756097560976,0,0.0284552845528455,0.00203252032520325,0,0.0040650406504065,0.00609756097560976,0.0040650406504065,0.00203252032520325,0.0040650406504065,0,0,0,0,0,0,0,0,0.0040650406504065,0.00203252032520325,0.0142276422764228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3550,0.0174129353233831,0.00248756218905473,0.527363184079602,0.00497512437810945,0.00746268656716418,0.00248756218905473,0,0.0099502487562189,0.0174129353233831,0.248756218905473,0.0124378109452736,0,0.0174129353233831,0.00497512437810945,0,0,0.0298507462686567,0.0696517412935323,0.00248756218905473,0,0.0124378109452736,0.00248756218905473,0.00248756218905473,0,0.00497512437810945,0,0.00248756218905473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4058,0.0159453302961276,0.00455580865603645,0.574031890660592,0.00455580865603645,0.00455580865603645,0.00683371298405467,0,0,0.0364464692482916,0.104783599088838,0.0113895216400911,0,0.020501138952164,0.00683371298405467,0.00911161731207289,0,0.00455580865603645,0.107061503416856,0,0,0.0637813211845103,0.00455580865603645,0,0.00227790432801822,0.00683371298405467,0,0.00683371298405467,0,0,0,0,0,0,0,0,0,0,0,0,0.00227790432801822,0.00227790432801822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4565,0.0157170923379175,0.0117878192534381,0.510805500982318,0.00589390962671906,0.00982318271119843,0.00982318271119843,0,0.00392927308447937,0.0117878192534381,0.225933202357564,0.0117878192534381,0,0.0196463654223969,0.00392927308447937,0.00392927308447937,0,0.00785854616895874,0.0903732809430255,0.00196463654223969,0,0.031434184675835,0.00392927308447937,0,0.00196463654223969,0.00196463654223969,0.00392927308447937,0.00589390962671906,0,0,0,0,0.00196463654223969,0,0,0,0,0.00196463654223969,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5072,0.0118203309692671,0.00472813238770686,0.57919621749409,0.00945626477541371,0,0.00709219858156028,0,0.00709219858156028,0.0236406619385343,0.115839243498818,0.00472813238770686,0,0.0260047281323877,0.0141843971631206,0.00236406619385343,0.00236406619385343,0.0118203309692671,0.115839243498818,0,0,0.049645390070922,0.00236406619385343,0,0,0.00472813238770686,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5580,0.0130151843817787,0.0108459869848156,0.436008676789588,0.0108459869848156,0.00216919739696312,0.00216919739696312,0.00216919739696312,0.00650759219088937,0.0130151843817787,0.260303687635575,0.0238611713665944,0.00216919739696312,0.0151843817787419,0.00433839479392625,0.00433839479392625,0,0.0303687635574837,0.108459869848156,0,0,0.0281995661605206,0.00216919739696312,0,0.00216919739696312,0.00216919739696312,0.00433839479392625,0.00650759219088937,0,0,0,0,0.00650759219088937,0,0,0,0,0,0,0,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6087,0.0168831168831169,0.0168831168831169,0.519480519480519,0.0025974025974026,0,0.0038961038961039,0.0012987012987013,0.0012987012987013,0,0.136363636363636,0.0220779220779221,0,0.0181818181818182,0.0064935064935065,0.0038961038961039,0,0.0155844155844156,0.146753246753247,0,0,0.0636363636363636,0,0,0,0.0038961038961039,0.0012987012987013,0.0064935064935065,0,0.0012987012987013,0,0,0,0.0012987012987013,0,0,0,0,0,0.00519480519480519,0.0012987012987013,0,0,0.0012987012987013,0.0012987012987013,0.0012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
