"sample.depths","sample.ages","Abies","Artemisia","Betula","Asteraceae.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Alnus","Acer","Pinus","Cyperaceae","Fraxinus","Ulmus","Poaceae","Ericaceae","Amaranthaceae","Corylus","Salix","Carya","Populus","Cupressaceae","Ephedra","Elaeagnaceae"
120,150,0.0292682926829268,0.0292682926829268,0.183414634146341,0.0146341463414634,0.0341463414634146,0.0165853658536585,0.086829268292683,0.0409756097560976,0.0390243902439024,0.0048780487804878,0.520975609756098,0,0,0,0,0,0,0,0,0,0,0,0,0
140,474,0.016,0.024,0.258,0.024,0.035,0.005,0.082,0.024,0.043,0.008,0.461,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
160,798,0.0254545454545455,0.0209090909090909,0.344545454545455,0.0418181818181818,0.0318181818181818,0.0154545454545455,0.0845454545454545,0.0336363636363636,0.0254545454545455,0.00636363636363636,0.347272727272727,0,0.01,0.0127272727272727,0,0,0,0,0,0,0,0,0,0
180,1122,0.024,0,0.254,0.024,0.041,0.018,0.064,0.049,0.049,0.008,0.412,0.015,0.01,0.012,0.02,0,0,0,0,0,0,0,0,0
200,1446,0.0236686390532544,0,0.190335305719921,0.0236686390532544,0.0443786982248521,0.0167652859960552,0.0611439842209073,0.0404339250493097,0.0522682445759369,0.00986193293885602,0.477317554240631,0.019723865877712,0.0236686390532544,0.0118343195266272,0.00493096646942801,0,0,0,0,0,0,0,0,0
220,1770,0.0305498981670061,0.0203665987780041,0.10183299389002,0.0152749490835031,0.0325865580448065,0,0.0509164969450102,0.0407331975560081,0.0203665987780041,0.0152749490835031,0.641547861507128,0,0.010183299389002,0,0.0203665987780041,0,0,0,0,0,0,0,0,0
240,2094,0.038,0,0.153,0.019,0.017,0.01,0.043,0.034,0.028,0.005,0.633,0,0,0,0.017,0.003,0,0,0,0,0,0,0,0
260,2418,0.029,0.005,0.144,0,0.016,0.017,0.049,0.021,0.015,0.005,0.672,0,0.01,0,0.017,0,0,0,0,0,0,0,0,0
280,2742,0.0201816347124117,0.00504540867810293,0.134207870837538,0,0.00807265388496468,0.00504540867810293,0.0302724520686176,0.0201816347124117,0.024217961654894,0.00807265388496468,0.717457114026236,0,0.00908173562058527,0,0.0181634712411705,0,0,0,0,0,0,0,0,0
300,3066,0.0151209677419355,0.0191532258064516,0.120967741935484,0,0.0110887096774194,0.0110887096774194,0.0191532258064516,0.0403225806451613,0.0342741935483871,0.00504032258064516,0.69758064516129,0,0.0100806451612903,0,0.00504032258064516,0,0.0110887096774194,0,0,0,0,0,0,0
320,3390,0.0171198388721047,0.0302114803625378,0.13595166163142,0.0100704934541793,0.0110775427995972,0.0080563947633434,0.0292044310171198,0.0412890231621349,0.0342396777442095,0.0080563947633434,0.67472306143001,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3714,0.023,0.005,0.122,0.01,0.02,0.01,0.034,0.034,0.02,0.005,0.694,0,0,0,0.02,0.003,0,0,0,0,0,0,0,0
