"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Lycopodium.type","Morus","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
430,NA,2,0,0,0,3,12,0,9,10,16,3,0,39,1,0,1,1,5,62,0,0,0,8,1,5,29,0,1,1,0,0,5,2,1,0,2,0,2,36,27,1,332,0,1,285,0,15,20,0,2,0,9,0,0,0,0,0,0,0,0,4,39,0
450,10787,5,2,0,0,7,26,0,9,10,19,2,0,103,6,0,2,7,15,86,0,0,0,22,3,21,37,1,1,4,0,0,9,1,1,0,5,0,6,40,52,3,583,0,4,955,1,23,70,0,4,0,11,0,0,0,0,0,0,0,0,7,64,0
460,11021,3,1,0,1,1,13,0,5,6,16,4,0,57,2,1,1,4,8,45,0,0,0,12,2,4,14,0,0,1,0,0,11,0,0,1,2,0,4,65,21,1,243,0,1,349,0,13,16,0,1,0,4,0,1,2,1,0,2,0,0,4,40,1
470,11256,5,2,0,0,4,14,0,7,7,16,2,0,90,1,0,1,4,10,50,0,0,0,14,0,5,13,0,0,1,0,0,9,0,0,0,14,0,6,68,36,4,386,0,1,238,0,25,24,1,2,0,5,0,0,1,0,1,0,0,0,6,57,1
480,11491,6,1,0,1,1,14,0,1,10,45,5,0,97,0,0,2,9,11,48,0,0,0,25,2,11,9,0,1,0,0,0,8,0,0,0,10,1,4,140,38,3,488,0,1,39,0,29,29,0,1,0,10,0,0,0,0,0,0,0,0,12,79,1
485,11609,5,0,0,0,1,10,0,4,10,35,2,0,85,0,0,1,1,9,57,0,0,0,28,1,11,22,0,0,1,0,0,17,0,0,0,21,0,2,170,25,0,278,0,1,52,0,24,26,1,6,0,11,1,0,0,0,2,1,0,0,10,48,0
490,11781,3,1,1,1,2,26,0,0,5,44,3,0,86,1,0,1,4,25,73,0,0,0,31,2,15,18,1,0,1,0,0,20,1,0,0,48,2,7,246,35,3,127,0,2,47,0,19,21,0,2,0,11,0,0,0,0,0,0,0,0,16,65,0
495,12175,3,3,0,1,1,14,1,2,4,48,6,0,86,0,0,1,9,10,52,0,0,0,42,2,10,19,0,0,2,0,0,30,0,0,0,67,0,6,282,3,0,12,0,0,47,1,25,26,0,1,0,17,0,1,0,0,2,0,0,0,6,41,0
500,12495,18,3,0,1,0,19,1,1,8,76,8,0,120,3,0,1,4,14,94,0,0,0,43,1,28,15,2,0,0,0,0,50,1,0,0,1,0,4,573,11,0,12,0,0,49,0,48,40,0,6,1,22,1,0,7,2,2,0,0,0,0,54,2
510,12939,5,0,0,0,0,23,0,2,7,79,6,0,62,0,0,0,3,24,90,0,0,0,10,0,23,18,0,0,0,1,0,23,0,0,0,0,0,5,462,1,0,1,0,0,40,0,33,18,0,0,0,15,0,1,6,1,3,0,0,1,1,23,0
520,12984,6,5,0,1,0,13,0,10,12,80,8,0,66,0,0,0,12,19,113,0,0,0,13,1,19,23,0,0,0,0,0,40,0,0,0,0,0,4,542,1,0,2,0,0,42,0,42,33,0,0,0,32,2,1,3,0,4,0,0,0,0,20,1
530,13029,1,2,0,0,0,19,0,4,10,70,3,0,49,0,0,0,4,19,82,0,1,0,23,0,13,10,1,1,0,0,0,34,1,0,0,2,0,3,487,1,0,3,0,0,33,0,30,13,0,2,0,24,1,0,5,1,0,0,0,0,0,15,0
540,13074,0,0,0,0,0,20,1,5,9,92,5,0,56,0,0,2,2,14,88,0,0,0,10,0,26,34,0,0,4,0,0,43,0,1,0,0,0,2,525,0,0,5,0,0,37,0,24,13,0,0,0,12,3,0,7,0,3,0,0,0,1,9,0
550,13120,11,0,0,0,0,19,1,4,7,97,2,0,77,0,0,0,6,16,57,0,0,0,4,1,25,11,1,0,1,0,0,39,0,1,0,0,0,7,562,4,0,4,0,0,32,0,42,21,0,2,0,24,2,0,6,0,2,0,0,0,1,12,3
