"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
0,-55,0,0,0.0307881773399015,0.00369458128078818,0.0689655172413793,0.0344827586206897,0.00862068965517241,0,0,0,0.00123152709359606,0,0,0.0492610837438424,0.0110837438423645,0.0344827586206897,0.00123152709359606,0.00985221674876847,0.00492610837438424,0.00492610837438424,0.00123152709359606,0,0,0,0,0,0,0.0233990147783251,0.00492610837438424,0.0283251231527094,0.00738916256157635,0.0295566502463054,0.00492610837438424,0.00862068965517241,0.137931034482759,0.0061576354679803,0,0,0.00246305418719212,0.0123152709359606,0.0652709359605911,0.00369458128078818,0.200738916256158,0.00862068965517241,0.00123152709359606,0.0270935960591133,0.00369458128078818,0.00985221674876847,0.00123152709359606,0.00738916256157635,0.0110837438423645,0,0,0.0135467980295567,0.00369458128078818,0.0172413793103448,0.0738916256157636,0.00246305418719212,0,0.00123152709359606,0.0147783251231527,0,0,0.00123152709359606,0.00123152709359606,0,0
5,-44,0,0,0.0427807486631016,0.0106951871657754,0.071301247771836,0.0320855614973262,0.0196078431372549,0.0017825311942959,0,0,0,0,0,0.0427807486631016,0.0035650623885918,0.0303030303030303,0,0.0035650623885918,0.0089126559714795,0.0071301247771836,0.0035650623885918,0,0,0,0.0017825311942959,0,0,0.0303030303030303,0,0.0481283422459893,0.0017825311942959,0.0392156862745098,0.0249554367201426,0.0089126559714795,0.0249554367201426,0,0,0,0.0035650623885918,0.0213903743315508,0.0606060606060606,0.0071301247771836,0.244206773618538,0.0106951871657754,0.0035650623885918,0.0303030303030303,0.0017825311942959,0,0,0.0071301247771836,0.0089126559714795,0,0,0.0071301247771836,0.0106951871657754,0.0106951871657754,0.0980392156862745,0.0017825311942959,0,0,0.0142602495543672,0,0,0,0,0,0
13.5,-24,0,0.00274348422496571,0.037037037037037,0.0109739368998628,0.065843621399177,0.0480109739368999,0.0178326474622771,0,0,0,0,0,0,0.0589849108367627,0.0123456790123457,0.0603566529492455,0,0.00685871056241427,0.00274348422496571,0.00137174211248285,0,0,0,0,0,0.00137174211248285,0.00548696844993141,0.0397805212620027,0.00137174211248285,0.0768175582990398,0.00411522633744856,0.0685871056241427,0.00823045267489712,0,0.178326474622771,0.00960219478737997,0,0,0.00411522633744856,0.0219478737997256,0.0603566529492455,0.00137174211248285,0.0905349794238683,0,0.00137174211248285,0.00960219478737997,0,0,0,0.00411522633744856,0.00548696844993141,0,0,0.00274348422496571,0,0.00274348422496571,0.0493827160493827,0.00137174211248285,0,0.00137174211248285,0.0219478737997256,0,0,0.00274348422496571,0,0,0
23.5,13,0,0.00194931773879142,0.0292397660818713,0.00389863547758285,0.0799220272904483,0.0331384015594542,0.0175438596491228,0,0,0.00389863547758285,0,0,0,0.0565302144249513,0.01364522417154,0.0389863547758285,0,0.00584795321637427,0.00974658869395711,0.00389863547758285,0,0,0,0,0,0,0,0.0389863547758285,0.00389863547758285,0.0565302144249513,0.00389863547758285,0.0779727095516569,0.00584795321637427,0.00194931773879142,0.152046783625731,0.00974658869395711,0,0,0.00194931773879142,0.0331384015594542,0.0467836257309941,0.00194931773879142,0.130604288499025,0.00194931773879142,0.00194931773879142,0.0116959064327485,0,0.00194931773879142,0,0.00779727095516569,0.00584795321637427,0,0,0.00194931773879142,0,0.00194931773879142,0.0701754385964912,0,0,0,0.0292397660818713,0,0,0,0,0,0.00194931773879142
28.5,39,0,0,0.030188679245283,0.00188679245283019,0.069811320754717,0.0150943396226415,0.0245283018867925,0,0,0.00188679245283019,0,0,0,0.0547169811320755,0.0188679245283019,0.0452830188679245,0,0.00566037735849057,0.00566037735849057,0,0.00188679245283019,0,0,0,0.00377358490566038,0,0,0.0433962264150943,0.00188679245283019,0.0660377358490566,0.00754716981132075,0.0490566037735849,0.00188679245283019,0.00754716981132075,0.184905660377358,0.0132075471698113,0,0,0.00754716981132075,0.0132075471698113,0.060377358490566,0,0.122641509433962,0,0,0.0132075471698113,0,0.00188679245283019,0,0.00188679245283019,0.0132075471698113,0,0,0.00377358490566038,0.00377358490566038,0.00754716981132075,0.069811320754717,0,0,0,0.0226415094339623,0,0,0,0,0,0.00377358490566038
38.5,111,0,0.00199600798403194,0.0259481037924152,0.00598802395209581,0.0738522954091816,0.031936127744511,0.0119760479041916,0,0,0.00399201596806387,0,0,0,0.0399201596806387,0.0139720558882236,0.0239520958083832,0,0.00199600798403194,0.00199600798403194,0.00598802395209581,0.00199600798403194,0,0,0,0,0,0.00199600798403194,0.0379241516966068,0.00399201596806387,0.0538922155688623,0.00399201596806387,0.0518962075848303,0.00598802395209581,0.00199600798403194,0.131736526946108,0.00998003992015968,0,0,0.00798403193612774,0.0219560878243513,0.0758483033932136,0,0.191616766467066,0,0,0.00798403193612774,0,0,0,0.00998003992015968,0.00798403193612774,0,0,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.0778443113772455,0,0,0,0.0379241516966068,0,0,0.00199600798403194,0,0,0.00199600798403194
48.5,220,0,0.00227790432801822,0.0182232346241458,0.00683371298405467,0.0911161731207289,0.0182232346241458,0.0387243735763098,0,0,0,0.00227790432801822,0,0,0.0637813211845103,0.00683371298405467,0.061503416856492,0,0.00911161731207289,0,0.00911161731207289,0.00227790432801822,0,0,0,0,0,0,0.0273348519362187,0.00455580865603645,0.0341685649202733,0.00227790432801822,0.0501138952164009,0.00683371298405467,0.00911161731207289,0.193621867881549,0.0341685649202733,0,0,0,0.0318906605922551,0.0455580865603645,0,0.082004555808656,0,0.00227790432801822,0.00455580865603645,0,0,0,0.00227790432801822,0.020501138952164,0,0,0,0,0,0.0797266514806378,0.00227790432801822,0,0.00227790432801822,0.0341685649202733,0,0,0,0,0,0
58.5,372,0,0.00364298724954463,0.0418943533697632,0.00182149362477231,0.063752276867031,0.0491803278688525,0.0255009107468124,0,0,0,0,0,0,0.0947176684881603,0.0145719489981785,0.0473588342440801,0,0.00546448087431694,0,0.00364298724954463,0.00182149362477231,0,0,0,0.00182149362477231,0,0,0.0364298724954463,0.00182149362477231,0.0728597449908925,0.00364298724954463,0.063752276867031,0.00910746812386157,0.00364298724954463,0.229508196721311,0.0182149362477231,0,0,0.00182149362477231,0.0619307832422587,0.0491803278688525,0,0.00364298724954463,0,0,0.0546448087431694,0,0,0,0,0.0127504553734062,0,0,0,0,0,0.0163934426229508,0,0,0,0.00182149362477231,0,0,0.00364298724954463,0,0,0
67,536,0,0.00419287211740042,0.0545073375262055,0.00628930817610063,0.0419287211740042,0.0356394129979036,0.0251572327044025,0,0,0,0,0,0,0.079664570230608,0.00838574423480084,0.0670859538784067,0,0.010482180293501,0.00209643605870021,0.00419287211740042,0,0,0,0,0,0,0.00209643605870021,0.0607966457023061,0.00209643605870021,0.0817610062893082,0.00419287211740042,0.079664570230608,0.00628930817610063,0.00209643605870021,0.291404612159329,0.00628930817610063,0.00209643605870021,0,0.00419287211740042,0.0524109014675052,0.0440251572327044,0,0.00209643605870021,0,0,0,0,0,0,0.00419287211740042,0.00628930817610063,0,0,0,0,0,0.00838574423480084,0,0,0,0,0,0,0,0,0,0
74,689,0,0.00163398692810458,0.0522875816993464,0.0065359477124183,0.065359477124183,0.0408496732026144,0.0179738562091503,0,0,0,0,0,0,0.0669934640522876,0.0212418300653595,0.0408496732026144,0,0.00816993464052288,0.0065359477124183,0.00490196078431373,0,0.00163398692810458,0,0,0,0,0,0.0490196078431373,0,0.0620915032679739,0.00163398692810458,0.0604575163398693,0.0065359477124183,0.0065359477124183,0.326797385620915,0.00816993464052288,0.00163398692810458,0,0.00490196078431373,0.053921568627451,0.053921568627451,0,0.00326797385620915,0,0.00163398692810458,0,0,0,0,0.00163398692810458,0.0163398692810458,0,0,0,0,0,0.00163398692810458,0,0,0,0.00163398692810458,0,0,0.00326797385620915,0,0,0
81,853,0,0,0.0308008213552361,0.0123203285420945,0.082135523613963,0.0390143737166324,0.0164271047227926,0,0,0,0,0,0,0.0759753593429158,0.0184804928131417,0.0472279260780287,0,0.00616016427104723,0.00410677618069815,0.00616016427104723,0,0,0,0,0,0,0,0.0574948665297741,0.00205338809034908,0.0965092402464066,0.00205338809034908,0.0472279260780287,0.0102669404517454,0.00616016427104723,0.287474332648871,0.0082135523613963,0,0,0.00205338809034908,0.055441478439425,0.0718685831622177,0,0.00205338809034908,0,0.00205338809034908,0,0,0,0,0,0.00616016427104723,0,0,0,0,0,0.00205338809034908,0,0,0,0,0,0,0,0,0.00205338809034908,0
88,1026,0,0.00251889168765743,0.0478589420654912,0.0075566750629723,0.0957178841309824,0.0806045340050378,0.0226700251889169,0,0,0,0,0,0,0.0831234256926952,0.0151133501259446,0.075566750629723,0,0.0075566750629723,0.00251889168765743,0.0100755667506297,0,0,0,0,0,0.00251889168765743,0,0.0403022670025189,0,0.075566750629723,0,0.035264483627204,0.00503778337531486,0.017632241813602,0.234256926952141,0.00251889168765743,0,0,0.0075566750629723,0.0503778337531486,0.0503778337531486,0,0.00251889168765743,0,0.00503778337531486,0.00251889168765743,0,0,0,0,0.0151133501259446,0,0,0,0,0,0,0,0,0,0,0,0,0.00251889168765743,0,0,0
96,1227,0,0,0.0657276995305164,0.00938967136150235,0.10093896713615,0.068075117370892,0.0117370892018779,0,0,0,0.00234741784037559,0,0,0.105633802816901,0.00469483568075117,0.0586854460093897,0,0.00938967136150235,0.00469483568075117,0.00234741784037559,0,0,0,0,0,0,0,0.0563380281690141,0.00234741784037559,0.0516431924882629,0.00469483568075117,0.0375586854460094,0.00234741784037559,0.00469483568075117,0.187793427230047,0.0117370892018779,0,0,0.0140845070422535,0.0586854460093897,0.112676056338028,0.00234741784037559,0,0,0.00234741784037559,0,0,0,0,0,0.00234741784037559,0,0,0,0,0,0.00234741784037559,0,0,0,0,0,0,0.00234741784037559,0,0,0
104,1427,0,0,0.0566929133858268,0.0031496062992126,0.119685039370079,0.047244094488189,0.0362204724409449,0.0015748031496063,0,0,0,0,0,0.130708661417323,0.0173228346456693,0.0645669291338583,0,0.0188976377952756,0.0047244094488189,0.0015748031496063,0.0015748031496063,0,0,0,0.0015748031496063,0,0.0015748031496063,0.0535433070866142,0,0.0346456692913386,0.0031496062992126,0.015748031496063,0.0094488188976378,0.0015748031496063,0.214173228346457,0.0015748031496063,0,0,0.015748031496063,0.0251968503937008,0.094488188976378,0.0047244094488189,0,0,0.0015748031496063,0.0015748031496063,0,0,0,0.0015748031496063,0.0094488188976378,0,0,0,0,0,0.0015748031496063,0,0,0,0,0,0,0.0031496062992126,0,0,0
115,1690,0,0,0.0701754385964912,0.00219298245614035,0.043859649122807,0.0285087719298246,0.0087719298245614,0,0,0,0,0,0,0.18859649122807,0.0197368421052632,0.0285087719298246,0,0.0043859649122807,0,0.0043859649122807,0,0,0,0,0,0,0,0.0789473684210526,0,0.0328947368421053,0.00219298245614035,0.0131578947368421,0.0263157894736842,0,0.278508771929825,0.00219298245614035,0,0,0.0175438596491228,0.0328947368421053,0.0986842105263158,0.00219298245614035,0,0,0,0.0043859649122807,0,0,0,0,0.00657894736842105,0,0,0,0,0,0.0043859649122807,0,0,0,0,0,0,0,0,0,0
