"sample.depths","sample.ages","Abies","Acer.negundo","Alnus","Arceuthobium","Betula","Caprifoliaceae","Cupressaceae","Elaeagnus","Ephedra.nevadensis.type","Fraxinus","Larix","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Galium","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Ranunculus","Rosaceae","Rumex","Salsola","Thalictrum","Xanthium"
0,-43,0.942263279,0,0.002771363,0,0.004849885,0,0,0,0,0,0,0.005542725,0.023787529,0.003002309,0,0.003926097,0,0,0,0,0,0,0,0.002540416,0.000461894,0,0,0,0.002078522,0.002771363,0,0,0,0,0.005311778,0,0,0,0.000692841,0,0
5,-31,0,0.003378378,0.054054054,0,0.070945946,0,0.006756757,0,0,0,0.003378378,0.054054054,0.469594595,0.047297297,0,0.047297297,0,0,0,0,0,0,0,0.087837838,0,0,0.010135135,0,0.040540541,0.010135135,0,0,0,0,0.087837838,0,0,0,0.006756757,0,0
10,-18,0.004,0,0.036,0,0.072,0,0.004,0,0,0,0,0.032,0.432,0.104,0,0.06,0,0,0,0,0,0,0.004,0.036,0,0.004,0.028,0,0.02,0.032,0,0,0,0,0.124,0,0,0,0.008,0,0
15,-4,0.003389831,0,0.016949153,0,0.06779661,0,0,0,0,0,0.003389831,0.081355932,0.484745763,0.061016949,0,0.033898305,0,0,0,0,0,0,0,0.074576271,0.013559322,0.003389831,0,0,0.027118644,0.013559322,0,0,0,0,0.115254237,0,0,0,0,0,0
20,12,0.004,0,0.064,0,0.08,0,0,0,0,0,0,0.06,0.348,0.064,0,0.092,0,0,0,0,0,0.004,0,0.08,0,0,0,0,0.02,0.032,0,0,0,0,0.132,0,0.004,0,0.016,0,0
25,29,0.003367003,0,0.04040404,0,0.050505051,0,0,0,0,0,0,0.070707071,0.454545455,0.033670034,0.003367003,0.060606061,0,0,0,0,0,0,0,0.141414141,0.003367003,0,0,0,0.006734007,0.026936027,0,0,0,0,0.094276094,0,0,0,0.006734007,0.003367003,0
30,47,0.016,0,0.02,0,0.056,0,0.004,0,0,0,0,0.052,0.412,0.06,0,0.072,0,0,0,0.004,0,0,0,0.1,0.012,0,0,0.004,0.024,0.052,0,0,0.004,0,0.104,0,0,0,0.004,0,0
35,66,0.008,0,0.04,0,0.068,0,0.004,0,0,0,0.004,0.072,0.4,0.012,0,0.06,0,0,0,0,0,0.004,0,0.14,0.008,0,0,0,0.02,0.048,0,0,0,0,0.104,0,0,0.004,0,0.004,0
40,87,0.004,0,0.084,0,0.06,0,0.004,0,0,0,0.004,0.072,0.364,0.004,0,0.088,0,0,0,0,0,0,0,0.132,0.004,0,0,0.004,0,0.064,0,0,0,0,0.104,0,0.004,0,0,0.004,0
45,109,0.009584665,0,0.025559105,0.003194888,0.038338658,0,0,0,0,0,0,0.089456869,0.514376997,0.003194888,0,0.044728435,0.003194888,0,0,0,0,0,0,0.121405751,0.006389776,0,0.003194888,0.003194888,0.009584665,0.041533546,0,0,0,0,0.083067093,0,0,0,0,0,0
