"sample.depths","sample.ages","Amaranthaceae","Asteraceae","Carya","Cephalanthus","cf..Acer","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ficus.Celtis","Myrica","Nymphaea","Osmunda.regalis","Pinus","Poaceae","Polygonaceae","Quercus","Sagittaria","Salix","Typha","Unknown..monolete.","Unknown..tricolpate.","Unknown..trilete.","Unknown.undiff.","Utricularia","Waltheria"
1.5,131,24,0,6,20,0,6,0,0,0,2,0,66,18,0,4,4,0,16,2,420,0,116,6,0,2
5.5,607,154,6,4,2,0,6,0,0,0,0,0,40,10,0,0,0,0,4,0,88,2,362,10,0,0
10.5,1203,332,10,0,6,0,6,0,0,0,2,0,2,28,2,4,0,6,2,0,122,0,116,12,0,0
15.5,1799,580,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,4,0,0,34,0,16,6,0,0
21,2454,618,2,0,0,0,0,2,0,0,0,0,0,14,2,2,0,4,0,0,36,0,30,6,0,0
27,2872,582,0,0,0,0,0,0,2,2,0,0,0,12,2,4,0,6,0,0,38,0,4,8,0,0
29,2991,500,0,0,0,0,2,0,0,0,0,0,0,42,0,4,0,4,0,0,64,0,4,0,0,0
35,3350,456,4,0,0,0,10,0,0,0,0,0,0,114,0,10,0,0,2,0,90,0,8,4,0,0
39,3589,356,0,0,0,0,28,0,2,0,0,8,0,70,4,10,0,2,0,0,158,0,0,2,0,0
45,3720,650,0,0,0,0,6,0,0,0,0,0,0,38,2,8,0,18,0,0,10,2,2,4,2,0
51,3737,614,0,0,0,2,10,0,0,0,2,4,0,40,0,6,0,20,0,4,2,0,0,4,0,0
