"sample.depths","sample.ages","Abies","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Humulus.Cannabis.sativa","Juniperus.Thuja","Populus","Brassicaceae","Acer.saccharum","Pinus.strobus","Juglans.nigra.type","Chenopodium.type","Pinus.banksiana.P..resinosa","Cerealia.type","Acer.negundo","Acer.saccharinum.type","Plantago.undiff.","Sarcobatus.vermiculatus","Tilia","Trifolium.type","Plantago.major.type","Carya","Amorpha","Juglans.cinerea.type","Celtis","Fraxinus.undiff.","Polygonum.lapathifolium.type","Rosaceae.undiff.","Asteraceae.subf..Cichorioideae","Dalea","Xanthium","Acer.spicatum","Thalictrum","Rhus","Lysimachia","Apiaceae","Cornus","Viburnum","Euphorbia","Fabaceae.undiff.","Alnus.undiff.","Rhamnus","Trientalis","Potentilla.type","Castanea","Polygonum.undiff.","Myrica","Shepherdia.argentea","Ephedra.nevadensis.type","Shepherdia.canadensis","Ranunculus","Zanthoxylum","Lamiaceae","Epilobium","Ephedra.viridis.type"
0,-20,0.0140086206896552,0.0021551724137931,0.0991379310344828,0.00431034482758621,0.0172413793103448,0.331896551724138,0.00431034482758621,0.00646551724137931,0.00862068965517241,0.0280172413793103,0.00431034482758621,0.0107758620689655,0.0021551724137931,0.0021551724137931,0.0021551724137931,0.00862068965517241,0.0172413793103448,0.0959051724137931,0.084051724137931,0.0021551724137931,0.0193965517241379,0.00862068965517241,0.00646551724137931,0.00862068965517241,0.0387931034482759,0.00431034482758621,0.00431034482758621,0.0387931034482759,0.0021551724137931,0.0107758620689655,0.0700431034482759,0.0021551724137931,0.0107758620689655,0.0269396551724138,0.0021551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,240,0.00468384074941452,0,0.063231850117096,0.00234192037470726,0.0117096018735363,0.360655737704918,0,0.00234192037470726,0.00702576112412178,0.0234192037470726,0.00468384074941452,0.0234192037470726,0.00468384074941452,0.00234192037470726,0,0.0234192037470726,0.00819672131147541,0.0690866510538642,0.0421545667447307,0.00234192037470726,0.0117096018735363,0.00234192037470726,0.00702576112412178,0.0163934426229508,0.0562060889929742,0.00234192037470726,0.00234192037470726,0.0327868852459016,0,0.0234192037470726,0.115925058548009,0,0.0140515222482436,0.0386416861826698,0,0.00234192037470726,0.00234192037470726,0.00234192037470726,0.00234192037470726,0.00702576112412178,0.00234192037470726,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,368,0.0172820109976434,0,0.0424194815396701,0,0.01885310290652,0.355066771406127,0,0.01885310290652,0.0172820109976434,0.00471327572663001,0.00628436763550668,0.0109976433621367,0,0,0.00314218381775334,0.0157109190887667,0.00157109190887667,0.0942655145326002,0.0518460329929301,0,0.00471327572663001,0,0.00628436763550668,0.00942655145326002,0.0408483896307934,0.00157109190887667,0,0.0298507462686567,0,0.0172820109976434,0.203456402199529,0,0.00785545954438335,0.0125687352710134,0,0.00157109190887667,0,0,0.00314218381775334,0.00157109190887667,0,0,0.00157109190887667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,494,0.00754310344827586,0,0.0301724137931034,0.0021551724137931,0.00646551724137931,0.355603448275862,0,0.0129310344827586,0.021551724137931,0.00431034482758621,0,0.0172413793103448,0,0.0107758620689655,0,0.0237068965517241,0.0129310344827586,0.0678879310344828,0.0323275862068966,0,0.00431034482758621,0,0.0021551724137931,0.00862068965517241,0.0150862068965517,0,0.0021551724137931,0.0107758620689655,0,0.021551724137931,0.262931034482759,0,0.0021551724137931,0.0431034482758621,0,0.00431034482758621,0,0.0021551724137931,0.0021551724137931,0.00646551724137931,0,0,0.0021551724137931,0.0021551724137931,0.0021551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,617,0.0119825708061002,0,0.0239651416122004,0.00217864923747277,0.0065359477124183,0.350762527233115,0,0.0065359477124183,0.0217864923747277,0.00435729847494553,0,0.0130718954248366,0,0.00435729847494553,0,0.0261437908496732,0.0272331154684096,0.0958605664488017,0.037037037037037,0.00217864923747277,0,0.00217864923747277,0,0.0130718954248366,0.00871459694989107,0,0.00217864923747277,0.0239651416122004,0,0.0196078431372549,0.226579520697168,0,0.00871459694989107,0.0435729847494553,0,0.00435729847494553,0,0.00871459694989107,0,0.00217864923747277,0,0,0,0,0,0.00217864923747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,852,0.00360576923076923,0.00240384615384615,0.0336538461538462,0,0.0168269230769231,0.447115384615385,0,0.00721153846153846,0.00961538461538462,0.00961538461538462,0,0,0,0,0,0.0144230769230769,0.0252403846153846,0.0889423076923077,0.03125,0,0.00721153846153846,0,0.00480769230769231,0.00721153846153846,0.0144230769230769,0,0,0.0456730769230769,0,0.0144230769230769,0.177884615384615,0,0,0.03125,0,0,0,0.00480769230769231,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1258,0.00582072176949942,0,0.030267753201397,0,0.0069848661233993,0.419091967403958,0,0.00931315483119907,0.0116414435389988,0.0069848661233993,0,0.0069848661233993,0,0.00465657741559953,0,0.0279394644935972,0.0221187427240978,0.10128055878929,0.0419091967403958,0,0.00232828870779977,0,0.00232828870779977,0.00232828870779977,0.0232828870779977,0.00232828870779977,0,0.0209545983701979,0,0.0162980209545984,0.181606519208382,0,0.0069848661233993,0.0325960419091967,0,0,0,0.00465657741559953,0,0.00465657741559953,0,0,0.00232828870779977,0,0,0,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1547,0.0064516129032258,0.0064516129032258,0.0548387096774194,0.0032258064516129,0.0129032258064516,0.351612903225806,0,0,0.0064516129032258,0.0161290322580645,0,0.0161290322580645,0,0.0064516129032258,0,0.0225806451612903,0.0064516129032258,0.109677419354839,0.0419354838709677,0,0.0032258064516129,0,0.0064516129032258,0.0064516129032258,0.0161290322580645,0,0,0.0419354838709677,0,0.0225806451612903,0.190322580645161,0,0.0064516129032258,0.0354838709677419,0,0.0032258064516129,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1731,0,0,0.0197044334975369,0.0164203612479475,0.00656814449917898,0.364532019704433,0,0.00656814449917898,0.00656814449917898,0.0197044334975369,0,0.0164203612479475,0,0.00656814449917898,0,0.0164203612479475,0.0164203612479475,0.114942528735632,0.0295566502463054,0,0.00656814449917898,0,0.00328407224958949,0.0295566502463054,0.013136288998358,0,0,0.0164203612479475,0,0.0229885057471264,0.226600985221675,0,0.00328407224958949,0.0279146141215107,0,0.00328407224958949,0.00328407224958949,0,0.00328407224958949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1849,0.00589390962671906,0,0.031434184675835,0.00392927308447937,0.0117878192534381,0.390962671905697,0,0.00785854616895874,0.0137524557956778,0.00982318271119843,0.00196463654223969,0.0176817288801572,0,0.00392927308447937,0,0.0176817288801572,0.00982318271119843,0.276031434184676,0.0471512770137525,0,0.00392927308447937,0,0.00392927308447937,0.00982318271119843,0.00982318271119843,0,0,0.00785854616895874,0,0.00982318271119843,0.081532416502947,0,0.00196463654223969,0.0157170923379175,0,0.00196463654223969,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
