"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Cephalanthus","Amaranthaceae.undiff.","Corylus","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rhus","Thalictrum","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Populus","Poaceae","Pinus.strobus","Pinus.subg..Pinus.undiff.","Fraxinus.nigra","Pinus.banksiana","Pinus.resinosa","Abies","Acer.rubrum","Salix","Sarcobatus.vermiculatus","Fagus","Platanus","Apiaceae","Acer.saccharum","Rhamnus","Juglans.cinerea","Juniperus.Thuja","Saxifragaceae.undiff.","Fraxinus.pennsylvanica","Acer.undiff.","Celtis","Ericaceae","Juglans.nigra","Iva.annua","Polygonaceae.undiff.","Arceuthobium","Urtica","Polygonum","Mentha.type","Rosaceae","Solanaceae","Acer.nigrum","Acer.saccharinum","Vitis","Dalea","Iva.xanthifolia","Amorpha","Dicentra","Ranunculus","Primulaceae","Lamiaceae.undiff.","Caryophyllaceae","Ephedra","Parnassia","Viburnum","Cornus.undiff.","Acer.negundo","Rumex","Asteraceae.subf..Cichorioideae","Fabaceae.undiff.","Cornus.canadensis","Shepherdia.canadensis"
665,910,402,19,36,4,1,3,1,17,1,2,3,117,96,1,1,1,1,14,8,11,10,2,1,19,20,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,1224,429,25,24,0,0,2,1,21,4,4,5,46,133,0,1,2,1,7,6,19,13,2,2,51,37,16,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,1940,428,20,20,1,0,3,3,25,2,2,3,63,139,0,2,1,0,10,6,11,5,1,1,43,37,16,3,1,0,0,0,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,2925,434,33,26,2,0,7,5,20,0,7,4,42,101,1,0,3,0,19,10,19,10,4,1,50,41,14,4,0,0,0,1,0,0,0,1,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,3821,478,38,22,5,0,3,0,47,0,15,3,37,108,0,0,7,0,19,16,11,16,2,1,45,53,9,6,1,2,0,0,1,1,0,0,0,2,0,1,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,4179,401,40,25,2,0,5,2,28,0,5,2,60,94,0,0,2,0,16,6,15,6,0,1,51,8,7,8,0,0,1,0,7,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,4358,485,51,22,2,0,3,2,38,0,7,3,38,109,1,1,2,0,24,12,16,15,8,2,67,28,11,6,0,1,0,0,4,1,0,2,0,2,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,4537,430,51,24,0,0,7,2,22,0,2,3,68,113,0,0,4,0,13,7,12,21,0,1,56,5,4,3,0,0,2,0,2,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,4716,424,35,32,2,0,11,0,29,1,5,3,55,114,0,2,2,0,13,11,11,28,0,1,46,5,9,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,4895,505,64,22,1,0,12,4,19,0,18,6,68,109,0,0,3,0,19,18,13,40,0,0,68,0,7,9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,5080,614,84,18,1,0,11,4,24,0,15,2,54,128,0,0,6,1,34,18,14,22,4,2,111,16,19,5,1,0,1,0,3,1,1,0,0,3,0,3,1,0,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
