"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharinum.type","Acer.saccharum","Allium","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.tribe.Cynareae","Athyrium.filix.femina","Avena.type","Betula","Botrychium","Brassicaceae","Callitriche","Campanula.rotundifolia.type","Carya","Caryophyllaceae","Celtis","Ceratophyllum","cf..Gymnocarpium","Cingutriletes","Comandra","Cornus.sericea.type","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dalea.undiff.","Diphasiastrum.complanatum.type","Dryopteris.type","Elaeagnus","Engelhardtia.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Eriogonum","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Gaura","Hedysarum","Heliotropium","Hippuris.vulgaris","Humulus.type","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juniperus.type","Laportea.type","Larix","Lemna","Liliaceae","Lycopus.type","Maclura.pomifera.type","Melilotus.type","Morus","Myricaceae","Myriophyllum","Oenothera","Onosmodium","Opuntia","Osmunda","Ostrya.type","Parietaria","Parthenocissus","Pedicularis","Pediomelum.type","Phlox","Picea","Pilea.type","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Polygonum.ramosissimum.type","Polygonum.tenue.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Pteridium.aquilinum","Quercus","Ranunculus.aquatilis.type","Ranunculus.pensylvanicus.type","Ranunculus.undiff.","Rhus","Rosaceae","Rumex","Ruppia.maritima","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sisyrinchium","Solanum.rostratum","Sparganium.type","Sphaeralcea","Sphagnum","Stachys.type","Stuckenia","Symphoricarpos.type","Thalictrum","Tidestromia","Tilia","Trifolium.repens.type","Triticum.type","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Unknown.undiff.","Urtica.type","Verbena","Vitis","Xanthium","Zea.mays"
320,-155,0,0,0,0,0,6,0,1,210,51,1,0,1,0,44,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,8,0,0,8,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,19,4,33.5,0,1,91,0,0,0,0,1,7,0,0,8,0,0,1,0,0,4,0,0,9,84,0,0,1,0,0,0,0,5,0,0,0,6,0,0,0,0,0,7,1,5,1,0,0,0,0,0,0,0,0
332,-26,0,0,0,0,0,1,0,1,113,57,0,0,1,0,21,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,20,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,20,0,2,53,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,93,1,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
336,24,0,1,0,0,0,2,0,0,201,20,1,0,0,0,27,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,39,5,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.5,3,38,0,0,69,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,189,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0
344,134,0,0,0,0,0,0,0,0,160,31,0,0,1,0,32,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,2,0,41,0,0,67,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
352,262,0,0,0,0,0,4,0,1,394,60,0,0,0,0,38,29,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,73,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,0,0,96,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
360,410,0,0,0,0,0,2,0,1,303,65,1,0,0,0,36,40,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,206,5,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,38.5,0,0,102,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
368,578,0,0,0,0,0,0,1,0,111,39,0,0,0,0,20,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,168,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,1,1,27,0,0,50,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
384,965,0,0,0,0,0,2,0,1,144,91,1,0,0,0,73,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1,16,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,71,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.5,4,0,48,0,0,137,0,0,1,1,0,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,3,0,0,2,0
400,1412,0,0,0,0,0,4,0,4,192,121,1,0,2,0,71,74,5.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2,12,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,34,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,15.5,0,48.5,0,0,183,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,1,3,2,1,3,0,3,1,0,0,0
416,1907,0,0,0,0,0,4,0,1,219,65,1,0,5,0,52,36,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,149,25,23,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,38.5,0,0,106,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0
428,2303,0,0,0,0,0,1,0,2,338,40,0,0,1,0,39,47,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,17,0,0,110,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0
448,2997,0,0,0,0,0,2,0,0,296,32,0,0,0,0,39,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,49,0,0,93,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
464,3568,0,0,0,0,0,2,0,0,375,33,0,0,0,0,19,41,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,10,0,0,69,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0
478,4071,0,0,0,0,1,0,0,0,215,22,0,0,0,0,3,11,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.5,0,1,0,0,6,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0
496,4742,0,0,0,0,0,2,0,0,478,27,0,0,0,0,15,9,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,37,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,3,2,11,2,20,0,0,0,0,0
512,5469,0,0,0,0,0,4,0,1,358,26,0,0,0,0,11,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4.5,0,0,21,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,6,5,3,22,3,0,0,0,0
520,5862,0,0,0,0,0,2,0,3,263,26,0,0,0,0,15,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,7,9,4,14,1,0,0,0,0
528,6261,0,0,0,0,0,8,0,0,143,33,0,0,0,0,20,9,16,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,26.5,0,0,44,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,9,10,10,28,0,0,0,0,0
544,7042,0,0,0,0,0,0,0,0,87,18,0,0,0,2,6,6,18,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,1,0,0,0,1.5,0,0,1,0,29.5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,5,3,11,12,17,1,0,0,0,0
560,7733,0,0,0,0,0,1,0,0,140,38,0,0,0,5,18,38,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,3.5,0,4.5,10,0,32.5,0,0,62,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,7,15,22,10,18,1,0,0,0,0
