"sample.depths","sample.ages","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Quercus","Ulmus","Fraxinus.nigra.type","Larix.laricina","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Myrica.gale","Corylus.cornuta","Ericaceae","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Caryophyllaceae","Brassicaceae","Thalictrum","Rubus.chamaemorus","Potentilla.palustris.type"
0,-45,0.106312292358804,0.0299003322259136,0.0365448504983389,0,0.00332225913621262,0,0,0,0.0166112956810631,0.32890365448505,0,0.146179401993355,0,0,0,0.0598006644518272,0.219269102990033,0.026578073089701,0.0166112956810631,0.00996677740863787,0,0,0,0,0,0,0,0
5,125,0.126074498567335,0.00859598853868195,0.00859598853868195,0,0,0,0,0,0.00859598853868195,0.146131805157593,0,0.0515759312320917,0,0,0.00286532951289398,0.0286532951289398,0.584527220630373,0.00286532951289398,0.0114613180515759,0,0,0,0.00286532951289398,0,0,0,0.00286532951289398,0.0143266475644699
10,332,0.0250783699059561,0.0125391849529781,0.00940438871473354,0,0,0,0,0,0.00626959247648903,0.0877742946708464,0,0.0156739811912226,0.00313479623824451,0,0,0.00313479623824451,0.0376175548589342,0.00313479623824451,0,0,0.00313479623824451,0,0,0,0,0.00313479623824451,0,0.789968652037618
20,747,0.198952879581152,0.0183246073298429,0.0157068062827225,0.00261780104712042,0.00261780104712042,0,0,0,0.031413612565445,0.400523560209424,0,0.031413612565445,0,0.00261780104712042,0,0.0130890052356021,0.240837696335079,0.0157068062827225,0,0.00261780104712042,0,0,0,0,0,0,0,0.0235602094240838
30,898,0.285266457680251,0.0219435736677116,0.0752351097178683,0.00313479623824451,0.00626959247648903,0,0.00313479623824451,0.00313479623824451,0.00940438871473354,0.156739811912226,0.00313479623824451,0.0658307210031348,0,0,0,0.00940438871473354,0.122257053291536,0.0282131661442006,0.00313479623824451,0.0219435736677116,0,0.00626959247648903,0,0,0,0,0,0.175548589341693
40,1049,0.149560117302053,0.0439882697947214,0.00586510263929619,0,0.00293255131964809,0,0,0,0.0205278592375367,0.134897360703812,0,0.0527859237536657,0,0,0,0.00879765395894428,0.0498533724340176,0.0117302052785924,0.00879765395894428,0.00586510263929619,0.00293255131964809,0,0,0,0,0,0,0.501466275659824
50,1200,0.199481865284974,0.0077720207253886,0.0284974093264249,0,0,0,0,0,0,0.0803108808290155,0.00259067357512953,0.0621761658031088,0.00259067357512953,0,0,0.0207253886010363,0.284974093264249,0.0207253886010363,0.0077720207253886,0,0.0155440414507772,0,0.0284974093264249,0.00259067357512953,0.00259067357512953,0,0,0.233160621761658
60,1320,0.266233766233766,0.0779220779220779,0.038961038961039,0,0.0064935064935065,0,0,0,0.0162337662337662,0.038961038961039,0,0.0357142857142857,0.00324675324675325,0,0,0.012987012987013,0.386363636363636,0.0064935064935065,0.012987012987013,0.00324675324675325,0,0,0,0,0,0,0,0.0941558441558442
70,1440,0.215083798882682,0.0167597765363128,0.0195530726256983,0,0.00279329608938547,0.00279329608938547,0,0.00279329608938547,0.0195530726256983,0.0363128491620112,0.00279329608938547,0.0279329608938547,0,0,0,0,0.625698324022346,0.0111731843575419,0.0111731843575419,0,0.00279329608938547,0,0.00279329608938547,0,0,0,0,0
80,1561,0.10828025477707,0.0191082802547771,0.0222929936305732,0,0,0,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.0477707006369427,0,0.0445859872611465,0.00318471337579618,0,0,0.0127388535031847,0.656050955414013,0.0191082802547771,0.00636942675159236,0.0127388535031847,0,0,0.00318471337579618,0,0,0,0,0.035031847133758
90,1681,0.424418604651163,0.0116279069767442,0.0174418604651163,0,0,0,0,0,0.00872093023255814,0.0290697674418605,0.00290697674418605,0.0232558139534884,0,0,0,0.0116279069767442,0.465116279069767,0.00290697674418605,0,0.00290697674418605,0,0,0,0,0,0,0,0
100,NA,0.374603174603175,0.0603174603174603,0.019047619047619,0,0.00634920634920635,0,0,0,0.00317460317460317,0.133333333333333,0,0.073015873015873,0,0,0,0.0507936507936508,0.257142857142857,0,0.00634920634920635,0,0,0,0,0,0,0,0,0.0158730158730159
110,NA,0.316582914572864,0.0125628140703518,0.0125628140703518,0,0,0,0,0,0.0150753768844221,0.0326633165829146,0.00251256281407035,0.0226130653266332,0,0.0050251256281407,0,0.00251256281407035,0.5678391959799,0.0050251256281407,0.0050251256281407,0,0,0,0,0,0,0,0,0
120,NA,0.188741721854305,0.033112582781457,0.00662251655629139,0,0,0,0,0,0,0.0264900662251656,0,0.0165562913907285,0,0,0,0.0033112582781457,0.725165562913907,0,0,0,0,0,0,0,0,0,0,0
130,NA,0.263565891472868,0.0103359173126615,0.00775193798449612,0.00258397932816537,0.00258397932816537,0,0,0.00258397932816537,0.00258397932816537,0.0129198966408269,0,0.0180878552971576,0.00258397932816537,0,0,0.00775193798449612,0.656330749354005,0,0.00516795865633075,0,0,0.00258397932816537,0.00258397932816537,0,0,0,0,0
135,NA,0.316923076923077,0.0738461538461539,0.0184615384615385,0,0.00923076923076923,0,0,0,0,0.0338461538461538,0,0.0276923076923077,0,0,0,0.00923076923076923,0.498461538461538,0,0.00307692307692308,0.00307692307692308,0,0,0,0,0,0,0,0.00615384615384615
