"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Abies.balsamea","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Populus.tremuloides.type","Taxus","Populus.balsamifera.type","Juniperus.communis.Thuja.occidentalis.type","Fagus","Ranunculaceae.undiff.","Rosaceae","Acer.saccharum","Fraxinus.nigra.type","Tsuga.canadensis","Thalictrum","Juniperus.type","Nemopanthus.mucronatus","Ulmus","Fraxinus.pennsylvanica.type","Onagraceae","cf..Diapensia.lapponica","Juglans.cinerea","Viburnum.edule","Carya.ovata","cf..Oxyria.digyna","Morus.rubra.type","Brassicaceae","Ribes","Acer.rubrum"
5,423,0.00221729490022173,0.024390243902439,0.135254988913525,0.00221729490022173,0.00443458980044346,0.195121951219512,0.00665188470066519,0.00886917960088692,0.00665188470066519,0.00665188470066519,0.361419068736142,0.0221729490022173,0.0110864745011086,0.00221729490022173,0.00221729490022173,0.00221729490022173,0.00886917960088692,0.00443458980044346,0.00221729490022173,0.024390243902439,0.0288248337028825,0.00221729490022173,0.135254988913525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,845,0,0.0174216027874564,0.109756097560976,0,0.00348432055749129,0.207317073170732,0.00871080139372822,0.0139372822299652,0.0121951219512195,0,0.397212543554007,0.0174216027874564,0.00348432055749129,0.00174216027874564,0,0.00174216027874564,0.0121951219512195,0.00522648083623693,0,0.0121951219512195,0.0278745644599303,0.00696864111498258,0.137630662020906,0.00174216027874564,0.00174216027874564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1268,0,0.0252873563218391,0.108045977011494,0.00459770114942529,0.00919540229885057,0.154022988505747,0.0183908045977011,0.00689655172413793,0.00689655172413793,0,0.519540229885057,0.00459770114942529,0.00459770114942529,0.00459770114942529,0,0,0.0137931034482759,0.00229885057471264,0,0.0114942528735632,0.0436781609195402,0,0.0574712643678161,0,0,0.00229885057471264,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1554,0,0.0207006369426752,0.159235668789809,0.00318471337579618,0.00318471337579618,0.210191082802548,0.0143312101910828,0.00796178343949045,0.00796178343949045,0,0.315286624203822,0.0143312101910828,0.00477707006369427,0,0,0,0.00796178343949045,0,0.00159235668789809,0.0207006369426752,0.035031847133758,0.0207006369426752,0.135350318471338,0.00636942675159236,0,0,0,0.00636942675159236,0.00159235668789809,0.00159235668789809,0.00159235668789809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1702,0,0.0089585666293393,0.113101903695409,0,0.00223964165733483,0.19036954087346,0.013437849944009,0.0145576707726764,0.0078387458006719,0,0.434490481522956,0.0526315789473684,0.00559910414333707,0.00447928331466965,0.00111982082866741,0.00111982082866741,0.0078387458006719,0.00223964165733483,0,0.0123180291153415,0.0347144456886898,0.00223964165733483,0.0862262038073908,0.00111982082866741,0,0,0,0.00335946248600224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1851,0,0.0174880763116057,0.104928457869634,0,0.00476947535771065,0.17329093799682,0.00794912559618442,0.0111287758346582,0.00794912559618442,0.00158982511923688,0.43879173290938,0.0174880763116057,0.00158982511923688,0.00158982511923688,0,0,0.0127186009538951,0.00317965023847377,0,0.0349761526232114,0.0397456279809221,0.00158982511923688,0.112877583465819,0,0,0,0,0.00158982511923688,0.00158982511923688,0,0,0.00317965023847377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1999,0,0.0306122448979592,0.073469387755102,0,0.00612244897959184,0.13469387755102,0.0142857142857143,0.00612244897959184,0.00612244897959184,0,0.587755102040816,0.0102040816326531,0.00204081632653061,0.00204081632653061,0.00204081632653061,0,0.00816326530612245,0.00204081632653061,0,0.0224489795918367,0.0326530612244898,0.0102040816326531,0.0469387755102041,0,0,0,0,0,0,0,0,0,0.00204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2148,0,0.00727272727272727,0.192727272727273,0,0.00181818181818182,0.167272727272727,0.00545454545454545,0.0127272727272727,0.00181818181818182,0,0.452727272727273,0.00363636363636364,0.00181818181818182,0.00727272727272727,0.00181818181818182,0.00181818181818182,0.0109090909090909,0.00181818181818182,0,0.0345454545454545,0.0290909090909091,0.00545454545454545,0.0527272727272727,0,0,0,0,0,0,0.00181818181818182,0,0,0,0.00181818181818182,0.00181818181818182,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0
45,2296,0,0.0150753768844221,0.130653266331658,0.00251256281407035,0.00251256281407035,0.108040201005025,0.0100502512562814,0.0050251256281407,0.00753768844221105,0,0.515075376884422,0.0050251256281407,0.00251256281407035,0.00251256281407035,0.00251256281407035,0.00251256281407035,0.00753768844221105,0.0050251256281407,0,0.0552763819095477,0.0452261306532663,0.00753768844221105,0.0678391959798995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2445,0,0.0049079754601227,0.153374233128834,0.00122699386503067,0.00368098159509202,0.185276073619632,0.0122699386503067,0.00736196319018405,0.00122699386503067,0,0.482208588957055,0.00368098159509202,0,0.00245398773006135,0,0.00122699386503067,0.00613496932515337,0.00122699386503067,0.00122699386503067,0.0404907975460123,0.0331288343558282,0.00245398773006135,0.0429447852760736,0,0.00122699386503067,0,0.00122699386503067,0.00368098159509202,0,0,0.00245398773006135,0,0,0,0,0,0.0049079754601227,0,0,0,0,0,0,0,0,0,0,0
55,2593,0,0.00961538461538462,0.144230769230769,0.00384615384615385,0.00961538461538462,0.126923076923077,0.0153846153846154,0.0134615384615385,0.00384615384615385,0,0.488461538461538,0.0346153846153846,0.00384615384615385,0.00384615384615385,0,0.00192307692307692,0.0134615384615385,0.00192307692307692,0,0.0307692307692308,0.0288461538461538,0.00192307692307692,0.0576923076923077,0,0,0,0,0,0,0,0,0.00384615384615385,0,0,0.00192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2742,0,0.025062656641604,0.155388471177945,0.0075187969924812,0.0050125313283208,0.177944862155388,0.0150375939849624,0.0100250626566416,0.0050125313283208,0,0.380952380952381,0.0300751879699248,0.0025062656641604,0,0,0,0.0025062656641604,0,0,0.0200501253132832,0.0075187969924812,0.0200501253132832,0.12280701754386,0,0,0,0,0.0025062656641604,0,0,0,0.0025062656641604,0,0,0.0025062656641604,0,0.0025062656641604,0.0025062656641604,0,0,0,0,0,0,0,0,0,0
65,2890,0,0.0172711571675302,0.191709844559585,0,0.00172711571675302,0.195164075993092,0.0120898100172712,0.00863557858376511,0.00518134715025907,0,0.369602763385147,0.0276338514680484,0,0,0,0.00172711571675302,0.00518134715025907,0.00172711571675302,0,0.0241796200345423,0.0120898100172712,0.00863557858376511,0.115716753022453,0.00172711571675302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3039,0,0.0103270223752151,0.223752151462995,0,0.00516351118760757,0.180722891566265,0.0103270223752151,0.00860585197934595,0,0,0.435456110154905,0.00172117039586919,0.00344234079173838,0.00172117039586919,0.00172117039586919,0,0.00344234079173838,0.00344234079173838,0.00172117039586919,0.0275387263339071,0.0223752151462995,0.00172117039586919,0.0499139414802065,0,0,0,0.00172117039586919,0,0,0,0.00172117039586919,0.00172117039586919,0,0,0,0,0,0.00172117039586919,0,0,0,0,0,0,0,0,0,0
75,3187,0,0.0375,0.2125,0.00357142857142857,0.00714285714285714,0.160714285714286,0,0.0196428571428571,0,0,0.4,0.00178571428571429,0.00178571428571429,0.00535714285714286,0,0,0.00535714285714286,0.00357142857142857,0,0.0446428571428571,0.0285714285714286,0.00892857142857143,0.05,0,0.00178571428571429,0,0,0.00178571428571429,0,0,0,0.00178571428571429,0,0,0,0,0.00357142857142857,0,0,0,0,0,0,0,0,0,0,0
