"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dryopteris.type","Equisetum","Ericaceae","Fraxinus.americana","Fraxinus.nigra","Humulus","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
340,5269,2,0,0,0,48,0,2,0,0,3,0,63,0,0,0,0,1,2,0,0,0,0,1,0,3,0,1,1,0,0,0,0,4,1,0,0,0,0,1,19,151,17,0,6,2,0,6,1,0,3,0,0,0,1,1,0,0,0,0,2
360,5581,1,0,0,0,38,1,4,0,0,6,2,54,0,0,0,0,1,7,2,0,0,0,0,0,0,0,3,1,1,0,0,4,0,5,0,0,0,0,0,13,178,39,0,2,0,0,1,5,1,0,0,0,0,0,7,1,0,0,2,1
370,5737,1,0,0,0,31,0,1,0,0,3,2,43,0,0,0,0,1,4,4,0,6,0,0,0,1,0,2,1,0,0,0,5,1,3,0,0,0,0,7,11,144,62,0,3,1,0,2,5,1,2,0,0,0,0,13,1,0,0,2,1
380,5893,3,0,0,0,22,1,2,0,0,6,2,35,0,0,0,0,2,4,2,0,4,0,0,0,2,0,2,1,0,0,0,3,3,2,0,0,0,0,3,9,160,115,1,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
390,6048,5,0,0,0,19,2,3,0,0,8,0,44,0,0,0,0,0,8,8,0,4,0,1,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,2,10,165,64,1,6,4,2,1,8,0,1,0,0,0,0,9,0,0,0,1,0
400,6204,1,1,0,0,36,4,4,0,0,3,1,66,0,0,0,0,2,15,1,0,2,0,0,0,2,0,3,1,0,0,0,2,3,1,0,0,0,0,2,17,123,53,0,6,3,0,3,5,0,2,0,0,0,0,3,0,0,0,2,0
410,6360,3,0,0,0,43,3,4,0,0,3,0,51,0,0,0,0,1,8,2,0,2,1,0,0,2,0,3,1,0,0,1,0,0,3,0,0,0,0,3,13,158,21,0,0,6,0,1,5,0,1,0,0,0,0,4,0,0,1,2,0
420,6494,0,0,0,0,36,2,3,0,0,10,1,47,0,0,0,0,3,8,4,0,1,0,1,1,1,0,3,2,0,0,0,0,0,3,0,0,1,0,2,14,168,3,1,6,20,0,1,7,0,3,1,1,0,0,4,0,0,2,0,0
440,6762,5,0,0,0,30,3,5,1,0,7,0,63,1,0,0,0,6,21,9,1,3,1,0,3,6,0,5,1,1,1,0,3,2,5,0,0,0,0,4,15,196,0,0,8,12,0,4,8,0,2,0,0,0,0,8,0,0,0,3,2
460,7030,1,1,0,0,37,5,4,0,0,8,3,77,0,0,0,0,2,22,6,0,3,2,0,2,2,0,6,3,0,0,0,0,2,0,0,0,0,0,1,6,136,3,0,12,6,1,3,7,0,2,1,0,0,0,10,0,0,2,2,0
480,7298,3,0,0,1,42,5,7,0,0,9,1,65,0,0,0,0,1,8,6,0,2,0,0,0,0,0,3,4,0,0,0,2,1,1,0,0,0,0,0,14,155,3,0,5,4,0,2,1,0,3,1,0,0,0,6,0,0,3,0,2
500,7566,0,0,0,0,42,4,7,0,0,3,1,60,0,0,0,1,0,4,2,0,1,0,0,0,1,0,3,11,1,0,0,0,1,1,0,0,0,0,0,21,170,0,0,6,9,0,1,3,0,2,0,0,0,0,4,0,0,0,1,0
510,7700,0,0,0,0,57,12,6,0,0,8,1,60,0,0,0,0,0,10,8,0,2,1,0,1,3,0,3,3,1,0,0,3,0,3,0,0,0,0,3,20,150,3,0,2,16,0,2,2,0,2,2,0,0,0,14,0,0,0,3,1
520,7833,0,0,0,0,70,3,0,0,0,3,2,40,0,0,0,0,0,8,9,0,0,2,0,0,2,0,2,0,0,1,0,1,0,2,0,0,0,0,0,23,180,0,0,5,8,0,4,3,1,1,0,0,0,0,3,0,0,0,3,2
530,7967,0,0,0,0,40,1,3,0,0,8,0,16,0,0,0,0,1,12,8,0,0,2,0,0,0,0,3,0,0,0,0,3,0,11,0,0,0,0,2,26,197,0,0,4,6,0,1,2,0,4,0,0,0,0,4,0,0,0,2,2
540,NA,0,0,0,0,1,5,9,0,0,13,2,26,1,0,0,0,0,5,3,0,1,1,0,0,0,0,3,1,1,0,0,3,0,12,0,0,0,0,2,45,241,0,0,1,16,0,4,3,0,0,0,0,1,0,0,0,0,0,2,1
550,NA,0,0,0,0,2,3,11,0,0,14,1,15,0,0,0,0,0,6,6,0,1,0,0,0,0,0,4,0,0,0,0,9,0,8,0,0,0,0,0,47,210,0,0,3,19,0,4,1,0,2,1,0,0,0,0,0,0,1,4,1
560,NA,1,0,0,0,0,1,1,0,0,4,3,34,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,6,0,12,0,1,0,0,3,35,210,0,0,2,8,0,0,7,0,2,0,0,1,0,1,0,0,0,3,0
570,NA,0,0,0,0,0,2,4,0,0,9,1,52,0,0,0,0,1,5,10,0,0,1,0,0,1,0,2,0,0,0,0,10,1,23,0,0,0,0,2,62,164,0,0,10,20,1,3,6,0,5,0,0,0,0,3,1,0,0,8,0
580,NA,0,0,0,2,1,2,3,0,0,9,2,40,0,0,0,0,0,7,14,0,0,2,0,0,3,0,2,1,1,0,0,22,0,0,0,0,0,0,3,109,64,1,0,4,11,0,2,24,0,2,0,0,0,0,0,0,0,0,13,0
590,NA,1,0,0,1,3,4,4,0,0,25,3,20,0,0,0,0,0,10,16,0,3,0,0,0,3,0,1,1,1,0,0,15,0,0,1,0,0,0,0,123,48,2,0,6,8,0,4,19,0,3,0,0,0,0,1,0,0,0,7,1
600,NA,0,0,0,0,3,2,11,0,0,16,1,16,0,0,0,1,0,14,10,0,0,0,0,0,1,0,2,2,0,0,0,9,0,0,0,0,0,0,1,142,58,2,1,3,10,0,1,12,0,3,0,0,2,0,2,0,0,0,4,2
610,NA,0,0,0,0,2,5,4,0,0,21,1,36,1,0,0,0,0,26,26,0,1,0,0,1,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,60,60,0,0,9,12,2,2,14,0,3,0,0,3,0,0,0,0,0,15,2
620,NA,2,2,0,0,0,4,5,0,1,39,4,29,3,0,0,1,0,20,49,0,2,2,2,1,8,0,6,0,0,0,0,1,0,0,0,0,0,0,0,36,77,0,0,10,7,0,3,18,0,13,0,0,0,0,1,0,0,0,24,1
630,NA,1,0,0,0,4,7,4,0,0,23,1,37,1,1,0,0,0,13,31,0,0,1,0,0,5,0,8,0,0,0,0,2,0,0,0,0,0,0,1,44,78,0,0,5,7,0,0,12,0,9,0,0,1,0,4,0,0,0,18,1
640,NA,0,0,0,0,2,6,6,0,0,42,4,15,0,0,0,0,0,4,53,0,7,0,0,0,5,0,15,0,0,0,0,0,1,0,0,0,0,0,0,54,81,0,0,10,12,0,1,7,3,11,0,0,1,0,2,0,0,0,12,3
650,NA,0,0,0,1,2,1,3,0,0,21,9,39,0,3,0,0,1,0,21,0,3,1,0,1,26,0,9,0,0,0,0,1,0,0,0,0,0,0,3,35,110,2,0,4,14,0,3,12,3,7,1,0,2,0,0,1,0,0,20,8
660,NA,0,0,0,0,1,4,0,0,0,27,3,34,0,2,0,0,0,7,12,0,2,1,0,0,4,0,17,0,0,0,2,0,0,0,0,0,0,0,1,43,130,0,2,10,17,0,1,13,0,4,0,0,0,0,0,0,0,1,18,12
