"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Onagraceae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
5,90,0,0,0,0,7,88,0,0,0,3,0,28,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,2,0,0,0,0,2,0,0,0,119,47,73,0,0,21,2,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
25,450,1,0,1,0,15,110,0,0,3,0,0,42,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,2,1,3,0,0,0,1,0,0,2,1,0,0,206,49,106,0,1,28,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,1,0
50,900,0,0,0,0,9,60,0,2,1,2,0,50,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,191,21,88,0,0,23,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
75,1349,0,0,0,0,15,94,0,1,2,0,0,43,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,114,37,72,0,0,15,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,4
100,1799,0,0,0,0,24,116,0,0,5,0,0,57,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,2,0,0,0,197,20,96,0,6,18,0,0,0,0,0,0,0,1,0,0,19,0,0,2,0,0,0,0,0,0
125,2249,0,0,0,0,29,156,0,1,2,0,0,53,0,0,0,0,2,3,0,0,0,1,0,2,0,0,1,2,0,1,0,3,0,0,1,0,0,0,0,1,0,0,97,32,76,0,9,26,1,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
150,2699,0,0,0,0,24,185,0,1,5,0,0,55,0,0,1,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,265,28,138,0,5,19,1,0,1,0,2,0,0,2,0,0,9,0,1,0,0,0,1,0,0,1
175,3148,1,0,0,0,23,145,0,0,4,2,0,66,0,1,0,0,0,2,0,0,0,4,0,1,0,0,0,1,0,1,0,4,0,0,0,1,0,0,1,0,0,0,176,42,59,0,5,10,1,0,0,0,3,0,0,2,0,0,9,0,0,2,0,0,0,0,0,1
200,3537,0,0,0,0,16,91,0,0,0,0,0,64,0,0,0,1,0,4,0,1,0,2,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,1,0,1,0,113,16,42,0,8,11,0,0,0,0,3,0,0,1,0,0,10,0,0,0,0,0,0,0,2,0
225,3781,0,1,1,0,13,162,2,2,0,1,0,91,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,2,1,0,0,0,0,1,0,116,32,28,0,5,7,0,0,0,1,0,1,0,3,0,0,10,0,0,1,0,0,0,0,0,3
250,4026,0,0,0,0,9,152,0,0,2,0,0,97,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,3,0,4,1,4,0,1,0,0,0,0,1,0,0,0,137,27,41,0,2,12,0,1,2,0,2,0,0,1,0,0,8,0,0,0,0,0,2,0,2,2
275,4271,0,0,0,0,18,196,0,2,5,0,0,200,0,0,0,0,0,8,0,0,0,4,0,1,0,0,1,6,0,4,1,5,0,2,2,2,0,0,2,0,0,0,304,52,34,0,8,5,3,0,1,0,3,0,0,3,0,0,10,0,0,0,0,1,1,1,1,0
300,4516,1,0,0,0,14,117,0,0,3,0,0,29,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,11,0,0,4,5,0,0,0,0,0,0,5,0,0,7,226,42,21,0,1,8,2,0,0,0,3,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0
325,4876,0,0,0,0,1,122,1,0,0,0,0,79,0,1,0,0,0,3,0,0,1,2,0,0,0,0,0,4,0,0,2,6,0,0,0,1,0,0,3,0,0,0,149,36,33,0,4,5,4,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0
350,5504,1,0,0,0,12,100,1,0,3,0,0,111,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,4,0,0,3,3,0,0,0,3,0,0,1,0,0,4,126,29,15,0,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0
375,6132,0,0,0,0,2,172,1,0,4,1,0,104,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9,0,2,1,5,0,1,1,2,0,0,0,0,0,2,223,28,11,0,7,2,2,0,7,0,0,0,0,0,0,0,5,3,0,0,0,0,1,1,0,1
400,6761,0,0,0,0,6,197,3,1,3,0,0,118,0,0,0,1,0,1,0,0,0,3,0,2,0,0,1,3,0,3,1,3,0,1,1,3,2,0,1,1,0,3,202,26,10,0,2,3,1,2,3,0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,1,3
425,7389,0,0,0,0,6,140,0,2,3,0,0,71,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,1,0,5,1,0,0,0,0,8,2,0,0,0,0,4,129,10,8,1,0,1,1,1,13,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,0
440,NA,0,0,0,0,2,194,1,2,3,0,0,76,1,0,0,0,2,7,0,1,0,3,0,3,0,0,1,28,0,22,7,12,0,4,1,2,6,0,0,0,1,4,60,5,10,0,12,4,3,8,132,3,0,1,2,14,0,5,13,1,0,0,0,0,1,0,3,3
450,NA,0,0,1,1,7,104,3,5,28,6,1,76,0,1,0,4,1,38,1,0,1,10,1,0,0,0,0,54,0,4,0,6,0,6,9,2,0,0,0,1,3,0,78,19,58,0,15,8,7,12,133,1,6,1,0,24,0,4,17,0,0,0,0,2,1,0,6,6
460,NA,1,0,0,0,3,105,8,26,37,4,0,82,0,2,0,0,0,23,0,1,0,1,0,2,1,1,2,0,0,0,0,2,1,15,4,2,0,1,0,0,1,1,52,20,95,0,22,41,11,0,3,1,6,0,0,4,0,0,60,0,0,0,0,0,2,1,12,11
475,NA,0,0,0,0,2,40,6,7,18,9,1,52,1,0,0,0,0,20,0,3,0,1,0,0,1,0,0,0,0,1,0,6,0,9,10,1,0,0,0,0,0,0,95,62,102,0,7,74,5,0,1,0,1,0,1,2,0,0,51,0,0,0,0,0,5,2,4,5
485,NA,0,0,1,0,0,69,2,14,17,1,0,47,0,1,0,2,1,15,0,0,0,0,0,4,1,0,3,2,1,1,0,0,0,7,9,2,0,0,0,0,1,0,69,31,87,0,12,56,6,0,3,1,4,0,0,4,0,0,43,0,0,0,0,1,2,0,4,10
500,NA,0,0,0,0,3,118,10,23,32,2,0,89,1,0,0,0,0,20,0,3,0,0,0,3,0,0,3,0,0,4,2,0,0,5,2,0,0,0,0,0,0,0,40,7,89,0,7,25,9,1,0,0,6,0,0,4,1,0,51,0,0,0,1,0,6,1,2,15
