"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Castanea","Cornus.canadensis","Cornus.sericea.type","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Cyperaceae","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum"
0,-43,385,8,2,52,102,2,0,0,0,9,0,68,1,1,7,1,1,1,34,1,44,0,6,0,0,0,16,0,8,0,0,2,1,0,0,2,14,1,0,0,1
0.5,-26,448,20,3,95,74,0,0,0,0,4,0,95,1,4,12,1,2,0,47,1,48,0,2,1,0,0,7,0,7,0,0,9,0,0,0,2,11,0,0,0,2
1,-9,343,15,1,48,60,0,0,0,0,15,0,90,1,9,10,1,1,0,34,0,12,0,5,2,0,0,3,1,17,0,0,5,0,0,0,1,11,0,0,0,1
1.5,8,402,2,1,89,73,0,0,0,0,4,0,84,4,1,4,0,2,0,65,0,20,0,1,1,0,0,12,0,21,1,0,3,0,1,0,5,6,0,0,0,2
2,25,396,24,2,80,80,1,0,0,0,4,0,101,0,0,0,1,1,3,56,0,20,0,2,0,0,0,4,0,11,0,0,0,0,0,0,1,5,0,0,0,0
2.5,42,439,14,1,115,113,0,0,0,0,4,0,86,0,0,1,0,1,0,38,0,14,0,13,0,0,0,4,0,18,0,0,7,0,0,0,5,5,0,0,0,0
3,59,381,14,1,49,80,0,0,0,0,2,0,54,4,1,1,0,0,0,86,0,34,1,1,2,0,1,17,0,8,1,0,4,0,0,0,12,7,0,1,0,0
3.5,75,342,24,2,32,64,0,0,1,0,1,0,48,2,2,0,1,0,0,74,0,33,0,1,1,0,0,24,0,8,0,0,0,0,0,0,5,19,0,0,0,0
4,92,376,20,2,58,84,0,0,0,0,9,0,59,1,2,0,1,1,1,70,2,31,0,2,0,0,1,7,0,12,0,0,7,0,1,0,4,1,0,0,0,0
4.5,109,366,16,0,56,85,0,0,0,0,3,0,58,1,0,2,0,1,0,62,0,34,0,9,0,0,0,11,0,12,0,0,2,0,0,0,1,12,0,0,0,1
5,126,359,24,1,23,108,0,0,0,1,10,0,46,2,0,2,0,0,0,69,0,32,0,0,0,0,2,17,0,9,0,0,1,0,0,0,6,6,0,0,0,0
6,160,355,16,0,28,73,1,0,0,0,5,0,52,0,6,0,0,1,2,78,0,38,0,2,0,0,0,33,0,8,0,0,0,0,0,0,3,7,0,0,0,2
7,194,331,24,1,25,82,0,0,0,0,1,0,31,1,1,0,2,0,2,58,0,39,2,7,1,0,0,36,0,9,0,0,1,0,0,0,4,3,0,0,0,1
8,228,347,12,2,13,72,0,0,0,0,0,0,39,1,0,0,0,2,6,121,0,27,0,1,1,0,0,34,0,7,0,0,1,0,0,0,4,4,0,0,0,0
9,262,343,6,0,21,85,0,0,0,0,2,0,42,1,2,2,0,1,0,76,0,70,0,3,1,0,0,18,0,3,0,0,0,0,0,0,8,2,0,0,0,0
10,296,324,7,1,5,99,0,2,0,0,2,0,38,3,2,0,0,0,0,95,1,26,0,3,1,1,3,18,0,4,0,0,1,0,0,0,9,3,0,0,0,0
11.5,346,330,26,4,16,91,0,0,0,0,4,0,40,4,0,0,1,0,0,64,2,30,0,7,2,0,0,35,0,1,0,0,1,0,0,0,2,0,0,0,0,0
13,397,367,46,1,24,105,0,0,0,0,0,0,42,3,0,1,1,0,0,46,0,28,0,4,0,0,0,54,0,3,0,0,1,0,0,0,6,1,0,0,1,0
15,465,346,17,0,20,74,0,0,0,0,4,0,27,8,1,1,0,4,0,67,0,74,0,1,0,0,0,42,0,1,0,0,0,0,0,0,3,1,0,1,0,0
16.5,516,358,29,0,7,107,0,0,0,0,0,1,40,1,4,1,0,0,3,66,1,29,0,7,1,0,0,47,1,3,0,0,1,0,0,0,9,0,0,0,0,0
