"sample.depths","sample.ages","Betula","Carya","Asteraceae.undiff.","Cyperaceae","Poaceae.undiff.","Platanus","Quercus","Rumex","Salix","Ulmus","Vitis","Zea.mays","Alnus","Acer","Ambrosia","Fraxinus","Juglans","Pinus","Amaranthaceae","Eucalyptus","Rhus","Fabaceae","Populus","Caryophyllaceae","Celtis","Fagus","Ostrya.Carpinus","Corylus","Liquidambar","Tsuga","Rosaceae","Plantago","Phlox","Nyssa","Cupressaceae","Iris","Parthenocissus","Picea","Thalictrum","Tilia","Portulaca","Urtica","Viburnum","Castanea","Polygonaceae.undiff.","Impatiens","Onagraceae","Dipsacus","Apiaceae"
30,64,0.00302114803625378,0.00302114803625378,0.0422960725075529,0.0241691842900302,0.0604229607250755,0.00302114803625378,0.0694864048338369,0.00302114803625378,0.178247734138973,0.0302114803625378,0.00906344410876133,0.00302114803625378,0.00302114803625378,0.00604229607250755,0.211480362537764,0.00604229607250755,0.00302114803625378,0.0120845921450151,0.157099697885196,0.172205438066465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,81,0.00936768149882904,0.00702576112412178,0.0608899297423888,0,0.0444964871194379,0,0.063231850117096,0,0.112412177985948,0,0,0,0.00234192037470726,0.0117096018735363,0.231850117096019,0.00936768149882904,0.00936768149882904,0.0163934426229508,0.199063231850117,0.215456674473068,0.00234192037470726,0.00234192037470726,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,98,0.00920245398773006,0.088957055214724,0.0736196319018405,0.0429447852760736,0.0460122699386503,0.0122699386503067,0.303680981595092,0,0,0.0306748466257669,0.00306748466257669,0,0,0,0.116564417177914,0.0306748466257669,0.0122699386503067,0.0122699386503067,0.0122699386503067,0.177914110429448,0,0.00306748466257669,0,0.00306748466257669,0.00306748466257669,0.0153374233128834,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,115,0.00442477876106195,0.0199115044247788,0.314159292035398,0.0265486725663717,0.0442477876106195,0,0.152654867256637,0,0.0110619469026549,0.0199115044247788,0,0,0.00221238938053097,0.00442477876106195,0.176991150442478,0.00442477876106195,0.00442477876106195,0.0176991150442478,0.0685840707964602,0.11283185840708,0,0,0,0,0.00442477876106195,0.0088495575221239,0.00221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,132,0.00258397932816537,0.108527131782946,0.0775193798449612,0.0568475452196382,0.0516795865633075,0.00516795865633075,0.34625322997416,0,0,0.0361757105943152,0,0,0,0.0103359173126615,0.136950904392765,0.0129198966408269,0.0129198966408269,0.0103359173126615,0.0180878552971576,0.0981912144702842,0,0.00775193798449612,0,0,0.00516795865633075,0,0.00258397932816537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,149,0.00238663484486874,0.0501193317422434,0.105011933174224,0.0548926014319809,0.0883054892601432,0.00954653937947494,0.300715990453461,0.00477326968973747,0,0.0143198090692124,0,0,0,0.0119331742243437,0.143198090692124,0.00477326968973747,0.0262529832935561,0.00954653937947494,0.0071599045346062,0.140811455847255,0,0.0071599045346062,0,0,0,0.00954653937947494,0,0.00238663484486874,0.00238663484486874,0.00238663484486874,0.00238663484486874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,166,0.0025,0.07,0.1075,0.0475,0.03,0.01,0.3475,0,0.005,0.02,0,0,0.0025,0.01,0.1575,0.0075,0.005,0.0075,0.0025,0.135,0,0.0075,0,0,0.005,0.0075,0.01,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,183,0.0123456790123457,0.058641975308642,0.0740740740740741,0.0648148148148148,0.0493827160493827,0.0185185185185185,0.320987654320988,0,0.00308641975308642,0,0,0,0,0.0123456790123457,0.141975308641975,0.0123456790123457,0.0216049382716049,0.00617283950617284,0,0.166666666666667,0,0.00617283950617284,0,0.00308641975308642,0,0.0246913580246914,0,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,200,0.00628930817610063,0.0974842767295598,0.0440251572327044,0.0188679245283019,0.0220125786163522,0.00314465408805031,0.544025157232704,0,0.00314465408805031,0.0283018867924528,0,0,0,0.00628930817610063,0.0377358490566038,0.00628930817610063,0.00943396226415094,0.0188679245283019,0.00314465408805031,0.122641509433962,0,0,0,0,0,0.0125786163522013,0.00314465408805031,0,0.00628930817610063,0.00314465408805031,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,284,0.0144508670520231,0.158959537572254,0,0.0115606936416185,0.00867052023121387,0.0260115606936416,0.485549132947977,0,0.00867052023121387,0.0115606936416185,0,0,0,0.00578034682080925,0.00867052023121387,0,0.0144508670520231,0.023121387283237,0.00289017341040462,0.19364161849711,0,0,0,0,0,0.0144508670520231,0,0,0,0.00289017341040462,0.00289017341040462,0,0,0,0.00578034682080925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,368,0.0122324159021407,0.168195718654434,0,0.00611620795107034,0.0091743119266055,0.0244648318042813,0.477064220183486,0,0.00305810397553517,0.018348623853211,0.00305810397553517,0,0,0.0122324159021407,0.0122324159021407,0.036697247706422,0.00305810397553517,0.0122324159021407,0,0.174311926605505,0,0,0,0.00611620795107034,0,0.018348623853211,0,0,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,452,0.0171919770773639,0.160458452722063,0.00286532951289398,0.0257879656160458,0.00573065902578797,0.0143266475644699,0.467048710601719,0,0,0.0200573065902579,0,0,0.00286532951289398,0.00859598853868195,0.00286532951289398,0.0286532951289398,0.00859598853868195,0.0200573065902579,0,0.191977077363897,0,0,0,0.00573065902578797,0,0.0114613180515759,0,0,0,0.00286532951289398,0,0,0,0,0,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0
150,536,0.0110497237569061,0.0911602209944751,0.00828729281767956,0.0386740331491713,0.00276243093922652,0.00552486187845304,0.406077348066298,0,0,0.0220994475138122,0.00276243093922652,0,0,0,0.0193370165745856,0.00276243093922652,0.0165745856353591,0.0110497237569061,0.00552486187845304,0.320441988950276,0,0,0.00276243093922652,0.0110497237569061,0.00276243093922652,0.0138121546961326,0,0,0,0.00276243093922652,0,0,0,0.00276243093922652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,620,0.0110192837465565,0.181818181818182,0,0.0358126721763085,0.0165289256198347,0.0110192837465565,0.473829201101928,0,0,0.0275482093663912,0,0,0,0.00550964187327824,0.0110192837465565,0.0358126721763085,0.0192837465564738,0.0137741046831956,0,0.140495867768595,0,0,0,0.00550964187327824,0.00275482093663912,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0.00275482093663912,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0
190,704,0.0185758513931889,0.142414860681115,0,0.0340557275541796,0,0.0309597523219814,0.476780185758514,0,0.00309597523219814,0.021671826625387,0.00309597523219814,0,0,0.00619195046439629,0.0185758513931889,0.021671826625387,0.0123839009287926,0.0185758513931889,0.00619195046439629,0.145510835913313,0,0,0,0.00928792569659443,0.00309597523219814,0.021671826625387,0,0,0,0,0,0,0,0,0,0,0,0.00309597523219814,0.00309597523219814,0,0,0,0,0,0,0,0,0,0
