"sample.depths","sample.ages","Abies","Alnus.viridis.type","Artemisia","Betula","Corylus","Ericaceae","Picea","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Alnus.incana.type","Cyperaceae","Fagus","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tsuga","Myrica","Populus","Acer.rubrum","Ambrosia.type","Amaranthaceae","Cornus","Thalictrum","Apiaceae","Rosaceae.undiff.","Rubus.chamaemorus","Epilobium","Shepherdia","Ranunculus","Fabaceae","Caryophyllaceae","Polygonum"
400,-26,0.00288184438040346,0.201729106628242,0.00288184438040346,0.276657060518732,0.00288184438040346,0.0547550432276657,0.389048991354467,0.0576368876080692,0.00576368876080692,0.00576368876080692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,655,0.0196078431372549,0.218487394957983,0.00280112044817927,0.336134453781513,0.0252100840336134,0.0476190476190476,0.238095238095238,0.0112044817927171,0,0,0.00840336134453781,0.0364145658263305,0.00280112044817927,0.00840336134453781,0.00560224089635854,0.00560224089635854,0.0112044817927171,0.00560224089635854,0.00280112044817927,0.00280112044817927,0.00560224089635854,0.00560224089635854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,1335,0.00636942675159236,0.203821656050955,0,0.299363057324841,0.0159235668789809,0.0573248407643312,0.292993630573248,0.0127388535031847,0.00318471337579618,0.0191082802547771,0.00318471337579618,0.0159235668789809,0.00318471337579618,0.00955414012738853,0.0127388535031847,0.00318471337579618,0,0,0.00318471337579618,0,0.0254777070063694,0.00955414012738853,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0
460,2016,0.0228758169934641,0.150326797385621,0,0.349673202614379,0,0.0326797385620915,0.313725490196078,0.00326797385620915,0.00326797385620915,0.00326797385620915,0.00326797385620915,0.0588235294117647,0,0,0.0196078431372549,0.0130718954248366,0.00326797385620915,0,0,0,0.00980392156862745,0.00326797385620915,0,0.0065359477124183,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0
480,2580,0.0269461077844311,0.236526946107784,0,0.305389221556886,0,0.0329341317365269,0.272455089820359,0,0,0.0119760479041916,0.0029940119760479,0.0419161676646707,0,0,0.029940119760479,0.00598802395209581,0.00598802395209581,0.00598802395209581,0,0.0029940119760479,0.00598802395209581,0.00898203592814371,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0
500,3027,0,0.208860759493671,0,0.335443037974684,0,0.0443037974683544,0.208860759493671,0.0253164556962025,0,0.0379746835443038,0,0.0379746835443038,0,0,0,0.0316455696202532,0,0.0126582278481013,0,0,0.0569620253164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,3474,0.0218068535825545,0.190031152647975,0.00311526479750779,0.364485981308411,0,0.0124610591900312,0.311526479750779,0.00311526479750779,0.00311526479750779,0.00311526479750779,0.00311526479750779,0.0124610591900312,0,0,0.0311526479750779,0.0280373831775701,0.00311526479750779,0.00311526479750779,0,0,0.00623052959501558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,3921,0.0162162162162162,0.232432432432432,0.00540540540540541,0.313513513513514,0,0.0486486486486487,0.248648648648649,0.0162162162162162,0.0108108108108108,0.00540540540540541,0,0.0540540540540541,0,0,0.00540540540540541,0.0216216216216216,0.00540540540540541,0,0,0,0.0162162162162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,4447,0.0217391304347826,0.130434782608696,0.0062111801242236,0.369565217391304,0.0279503105590062,0.0186335403726708,0.301242236024845,0.0062111801242236,0,0.0031055900621118,0.0031055900621118,0.0186335403726708,0,0,0.0341614906832298,0.0186335403726708,0.0062111801242236,0.0031055900621118,0,0.0031055900621118,0.0186335403726708,0,0,0.0031055900621118,0,0,0.0062111801242236,0,0,0,0,0,0,0,0,0
580,5050,0.0297619047619048,0.160714285714286,0,0.31547619047619,0,0.0119047619047619,0.327380952380952,0.0595238095238095,0,0.00595238095238095,0,0.00595238095238095,0,0,0.0238095238095238,0.0535714285714286,0,0,0,0,0,0,0,0,0,0,0.00595238095238095,0,0,0,0,0,0,0,0,0
