"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Aquifoliaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Huperzia.lucidula","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix.laricina","Liquidambar","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Quercus","Rosaceae","Sphagnum","Tilia","Tsuga","Ulmus","Unknown..monolete.","Unknown..trilete.","Unknown.Indeterminable"
0,-44,6,5,2,6,1,0,4,0,19,0,0,2,1,145,1,0,1,0,0,2,9,0,0,0,2,0,0,0,0,0,0,1,1,0,12,13,30,69,1,1,2,0,0,17,0,0,1,2
1,-32,2,0,1,0,0,0,1,0,23,0,0,0,0,175,0,0,9,1,1,4,11,1,0,0,0,0,0,0,3,0,0,0,0,0,18,14,6,71,2,5,0,0,0,9,1,0,0,2
2,-19,5,4,3,0,3,0,0,0,14,1,0,0,0,158,0,0,2,0,0,10,7,3,0,0,1,0,0,0,1,0,0,0,0,0,21,3,6,76,2,4,0,0,0,20,3,1,0,1
3,-7,7,5,3,3,2,0,0,1,11,0,0,0,0,168,0,0,0,0,0,6,19,2,0,0,1,0,0,0,0,0,0,0,0,0,15,11,5,71,0,8,0,0,0,12,3,1,0,5
4,6,1,5,4,0,1,0,0,0,11,0,0,0,0,182,0,0,0,0,0,25,8,0,0,0,0,0,0,0,1,0,1,0,0,0,16,2,7,55,1,4,0,0,0,22,0,0,0,1
5,18,4,1,4,1,0,0,0,0,14,0,0,0,0,118,0,0,0,0,0,5,13,2,0,0,0,0,0,0,0,0,0,0,0,1,13,30,8,107,0,6,0,0,0,8,4,0,1,0
6,31,4,0,3,3,3,0,0,0,18,1,0,0,3,150,0,0,0,1,0,0,14,2,0,0,1,1,0,0,0,0,0,0,1,0,18,10,5,84,6,3,0,0,0,18,2,0,0,1
7,43,3,2,3,2,0,0,0,2,7,0,0,0,0,175,0,0,1,1,0,9,22,1,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,77,1,3,0,1,0,16,0,2,1,2
9,68,4,3,4,2,3,0,1,0,14,1,0,1,1,167,0,0,0,4,0,21,15,0,1,0,0,0,0,1,0,0,0,0,0,0,19,10,19,28,1,8,0,0,0,22,4,2,3,6
11,93,5,2,1,0,3,0,0,1,32,1,0,0,0,167,0,0,0,7,0,22,23,2,0,0,0,0,0,0,0,0,0,0,0,0,25,1,8,32,4,3,0,2,0,34,3,0,3,5
12,107,0,0,5,3,2,1,0,1,5,0,0,2,0,132,1,0,0,14,0,0,34,0,1,0,11,1,0,0,0,0,0,0,0,1,51,3,3,44,2,10,0,0,1,17,4,1,0,8
18,201,3,1,3,0,0,1,0,0,2,1,1,1,0,128,1,1,9,8,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,7,31,9,11,38,0,15,0,9,0,31,9,1,4,7
24,294,1,3,6,5,1,1,1,0,0,0,0,0,0,101,0,0,1,2,0,0,30,2,0,0,4,3,1,0,1,1,0,0,0,0,55,9,12,36,0,9,0,0,1,44,5,0,1,4
30,412,1,0,4,3,0,0,0,0,2,0,0,0,0,112,2,0,0,5,0,0,25,0,3,0,1,0,0,0,0,0,0,0,0,3,36,2,23,55,0,11,0,0,0,58,3,0,0,0
36,651,1,1,3,2,1,0,0,0,1,0,2,0,0,126,1,0,1,8,0,2,40,0,1,1,1,0,0,0,0,0,0,0,0,2,69,4,13,31,0,7,0,0,0,50,5,0,0,7
42,889,0,0,1,0,3,0,1,0,0,0,0,2,3,106,1,0,0,8,0,1,41,0,0,0,1,1,0,0,0,0,0,0,0,1,34,4,8,43,0,12,0,0,0,62,3,0,1,9
44,968,1,1,3,3,2,0,1,0,0,1,2,0,0,106,0,0,2,5,0,0,32,0,4,0,0,1,0,0,0,0,0,0,0,1,37,2,8,49,1,7,0,0,1,55,3,1,0,12
46,1048,0,0,2,2,3,0,1,0,0,2,0,0,0,168,2,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,4,20,0,0,49,0,6,0,0,4,32,3,0,0,14
48,1127,0,1,0,1,4,0,0,0,0,0,0,0,0,227,0,0,0,2,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1,0,21,0,12,0,1,1,21,0,0,1,6
