"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Cabomba","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus.pennsylvanica.type","Herbs.undiff.","Ilex","Isoëtes","Iva","Juglans.cinerea","Juglans.nigra","Lemnaceae","Liquidambar","Lycopodium.type","Magnolia","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae.Vitaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Selaginella","Shrubs.undiff.","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown","Urtica.type","Vitis"
170,5,0,0,0,0,0,12,0,0,0,37,0,0,3,0,0,6,0,0,0,0,1,0,2,117,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,2,0,0,0,0,0,91,0,20,0,0,0,0,31,0,6,0,0,0,0,0,0,0,0,0,1,0,0
175,173,0,0,0,1,0,5,0,0,1,6,0,2,5,0,0,2,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,124,0,7,0,1,0,0,38,0,19,0,1,0,0,10,1,0,0,0,0,0,0
180,337,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,10,0,1,0,0,1,2,0,0,0,0,0,1,0,222,1,12,0,3,1,0,89,0,4,0,1,0,0,0,0,0,0,1,0,0,0
200,938,0,0,0,0,0,0,0,0,0,1,0,0,77,0,0,6,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,212,0,8,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220,1481,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,7,0,0,0,0,0,216,0,26,0,1,0,1,80,0,0,0,2,0,0,0,1,0,0,2,0,0,0
240,2006,0,0,0,2,0,0,0,0,0,1,0,0,15,0,0,10,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,7,1,1,0,2,0,190,0,11,0,1,0,1,52,0,1,0,0,0,0,0,0,0,0,1,0,0,0
252,2329,0,1,1,1,0,1,0,1,1,1,0,0,17,0,0,6,0,0,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,0,0,0,1,8,0,0,0,0,3,33,0,12,2,0,0,1,0,190,0,7,0,0,0,1,86,0,0,0,1,0,0,0,0,0,0,1,0,0,0
265,2700,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0,4,0,1,2,0,0,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,4,0,0,0,0,0,206,1,10,0,0,0,1,70,0,0,0,1,0,0,0,0,0,0,1,0,0,0
279,3134,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,8,0,1,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,18,0,2,1,0,0,1,0,160,0,26,0,1,0,0,87,0,16,0,4,0,0,0,0,0,0,2,1,0,0
295,3695,0,0,0,3,0,1,0,0,0,1,0,1,0,1,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,1,0,164,2,15,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,4,0,0,0
