"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Anacardiaceae","Pinus","Populus","Amaranthaceae","Caprifoliaceae","Plantago","Prunus.Sorbus","Myrica","Cerealia","Fraxinus.nigra.type","Nyssa","Apiaceae","Corylus","Celtis","Diospyros.type","Rhamnaceae","Acer.negundo","Thalictrum","Salix","Cornus","Cupressaceae","Ilex","Rubiaceae.undiff.","Galium","Polygonum","Tilia","Rhamnaceae.Vitaceae.undiff.","Taxus","Abies","Urtica.type","Alnus.viridis.type","Morus","Sanguisorba","Shrubs.undiff.","Moraceae.undiff.","Caryophyllaceae"
20,29,296,2,4,36,45,1,41,7,1,2,2,6,3,4,1,1,2,1,3,1,4,6,73,2,6,3,4,1,1,24,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,70,298,0,2,8,93,0,19,5,13,17,7,3,0,5,10,2,0,5,0,2,9,1,57,7,4,0,2,0,1,15,0,1,0,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,119,318,2,1,8,86,0,29,4,14,4,11,4,0,11,22,1,0,4,0,1,5,0,58,8,6,1,2,0,1,25,0,0,0,1,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,179,331,4,2,5,28,0,23,8,6,8,3,9,1,1,45,1,1,1,0,2,12,3,79,6,14,3,1,0,0,55,0,0,0,1,0,2,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,254,349,0,4,2,10,0,32,5,0,17,1,9,3,2,60,0,2,4,1,1,7,0,60,0,49,1,1,0,0,72,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,347,292,0,0,18,1,0,22,10,7,1,8,11,3,0,9,0,2,0,1,1,5,1,103,0,24,2,3,0,0,52,0,0,0,0,1,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,438,381,1,1,3,0,0,25,11,5,3,1,12,0,0,84,0,0,0,0,3,1,1,153,0,26,1,5,0,0,32,6,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,563,312,0,2,7,0,0,20,11,7,3,2,20,0,0,13,1,0,1,0,0,3,1,155,0,21,0,5,0,0,37,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,715,299,4,3,7,1,0,33,17,5,7,0,15,2,1,0,1,0,0,0,1,5,0,132,0,22,0,5,0,0,34,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,886,295,3,1,17,0,0,29,10,6,5,0,9,1,2,10,0,0,3,1,3,0,0,124,0,13,2,2,0,0,45,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
