"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Humulus.lupulus","Hydrophyllum.virginianum","Impatiens","Iva.annua","Iva.xanthifolia","Juglans","Juniperus.Thuja","Lamiaceae","Larix.laricina","Liliaceae","Lycopodiaceae","Lythrum.alatum","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae.type","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..Cretaceous.","Utricularia","Viburnum.lentago","Vitis","Xanthium"
155,1175,3,0,1,12,12,1,12,1,1,0,16,3,0,53,0,0,1,0,1,10,13,0,0,1,0,1,0,5,1,0,0,0,0,0,0,0,8,0,2,2,1,0,0,0,44,0,3,13,16,65,0,0,30,0,8,1,1,79,0,1,0,0,3,0,0,0,0,3,11,0,12,6,0,0,0,0,0
165,1267,2,0,0,5,9,3,7,1,0,0,9,0,0,48,0,0,0,1,0,8,16,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,41,0,6,5,6,47,0,0,15,0,10,4,1,70,0,1,0,0,1,0,0,0,0,0,10,1,26,6,0,1,0,0,0
195,1543,0,0,0,1,15,8,12,0,0,0,12,4,0,72,0,0,0,0,1,8,19,0,0,0,0,1,1,1,4,1,0,0,0,1,0,0,5,0,5,0,0,0,2,0,29,0,4,8,9,31,0,0,16,0,12,2,0,100,0,1,0,0,3,1,0,0,1,4,8,1,19,0,0,0,0,0,0
215,1727,6,0,0,0,8,4,2,0,0,0,5,3,0,37,0,0,0,0,0,4,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,4,13,76,0,0,15,0,3,0,0,135,0,0,0,0,0,0,0,0,0,0,5,0,17,10,0,1,0,0,1
235,1911,3,1,0,1,7,2,4,1,0,0,18,1,0,32,0,0,0,0,0,10,23,0,0,1,0,2,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,2,11,6,42,0,0,22,0,6,0,0,172,0,0,0,0,4,0,0,0,1,0,3,0,9,5,0,0,0,0,1
255,2095,1,0,0,0,13,4,9,0,0,0,18,6,0,37,0,0,0,0,0,4,20,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,17,0,4,10,14,62,0,0,39,0,6,0,0,128,0,2,0,0,4,0,0,0,0,1,5,0,12,5,0,0,0,0,0
275,2279,0,0,1,2,11,10,12,0,0,0,28,11,0,47,0,0,0,1,0,7,31,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,2,0,2,0,0,0,7,1,18,0,4,11,7,70,0,0,40,0,4,0,0,112,1,0,0,0,2,0,0,0,1,0,4,7,14,4,0,0,0,0,0
295,2463,1,0,0,1,7,4,8,0,0,0,17,4,0,48,0,0,0,0,0,4,29,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,0,7,6,24,111,0,0,25,0,1,0,0,64,0,0,0,1,6,0,0,0,0,1,7,1,15,6,0,0,0,0,0
315,2647,1,0,0,0,12,5,24,0,0,0,26,3,0,53,0,0,0,0,0,1,30,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,4,0,0,0,0,0,22,0,5,9,17,104,0,0,16,0,1,0,0,76,0,0,0,0,1,3,0,0,0,2,4,1,10,0,0,0,0,0,0
335,2831,1,0,0,1,16,3,11,0,0,0,25,9,0,56,0,0,0,0,0,5,39,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,41,0,4,3,5,52,0,0,44,0,2,0,0,119,0,0,0,0,6,1,0,0,1,0,3,3,16,0,0,0,0,0,0
355,3015,1,1,0,1,8,5,8,1,1,0,22,4,0,62,0,0,0,0,0,8,33,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,21,0,8,16,6,69,0,0,28,0,3,0,0,99,0,0,1,1,2,0,0,0,0,1,6,4,12,0,0,0,0,0,0
375,3199,0,0,0,1,15,5,5,0,0,0,16,9,0,66,0,0,0,0,0,10,36,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,39,0,0,5,4,55,0,0,31,0,3,0,0,92,0,0,0,0,3,0,0,0,1,0,7,2,13,4,0,0,0,0,0
385,3291,0,0,0,2,8,9,3,2,0,0,29,5,0,77,0,0,0,0,0,4,33,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,4,0,4,38,0,0,30,0,2,0,0,120,0,0,0,0,4,1,0,0,1,2,8,2,19,0,0,0,0,0,1
405,3475,2,0,0,1,14,9,6,1,0,0,33,10,0,53,1,0,1,0,0,9,41,0,1,0,0,0,1,8,1,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,42,0,1,6,6,62,0,0,60,0,2,0,0,92,0,0,0,0,3,1,0,0,0,3,6,9,19,5,0,0,0,0,1
415,3567,2,0,0,4,14,14,7,2,0,0,35,7,0,52,0,0,0,0,0,11,44,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,46,0,0,17,9,63,0,1,43,0,3,1,0,71,0,0,0,0,2,0,0,0,3,0,3,2,20,0,0,0,0,0,0
435,3752,0,0,0,1,18,4,9,2,1,0,34,5,0,56,0,0,0,0,0,11,24,0,0,1,0,1,0,6,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,29,0,4,18,12,42,0,0,37,0,2,0,0,86,0,1,0,0,3,1,0,0,0,3,10,2,20,2,0,0,0,0,1
460,3982,1,0,0,0,10,0,9,1,0,0,24,13,0,51,0,0,0,1,0,8,30,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,48,0,4,4,18,51,0,0,36,0,2,2,0,143,0,0,0,0,1,0,0,0,0,2,11,0,15,6,0,0,0,0,0
475,4120,0,0,0,1,9,5,12,0,0,0,28,8,1,51,0,0,0,0,0,10,29,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,28,0,5,2,23,75,0,0,29,0,0,0,0,105,0,0,1,0,6,0,0,0,0,2,14,3,14,11,0,0,1,0,2
485,4212,2,1,0,0,7,8,11,2,0,0,31,11,0,35,0,0,0,0,0,2,37,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,45,0,3,11,15,38,0,0,53,0,2,0,0,41,0,0,0,0,7,1,0,0,0,1,8,2,11,0,0,0,0,1,0
510,4442,2,0,0,1,21,7,6,0,1,0,54,12,0,35,0,0,1,0,0,11,60,1,0,0,0,1,0,5,2,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,39,0,3,2,12,51,0,0,51,0,2,0,0,97,0,0,0,0,6,2,0,0,0,4,10,4,18,13,0,0,0,0,0
530,4626,0,0,0,0,17,14,14,0,0,0,35,11,0,53,0,0,0,0,0,6,41,1,1,0,0,0,0,2,1,0,1,0,0,1,2,2,0,0,0,0,0,0,4,0,40,0,2,3,7,49,0,0,57,0,2,1,1,107,0,0,0,0,2,4,0,0,0,0,5,4,13,3,0,0,0,1,1
540,4718,1,1,0,0,21,10,19,1,0,0,52,12,0,39,0,0,1,0,0,7,28,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,14,0,3,8,8,52,0,0,64,0,6,1,3,137,0,0,0,1,7,0,0,0,0,1,2,7,11,11,0,0,0,0,1
550,4810,3,0,0,1,12,7,17,2,0,0,23,9,0,41,0,0,0,0,0,6,48,1,2,0,0,1,0,2,1,1,0,0,0,1,0,0,4,0,0,0,0,0,2,0,22,0,5,9,11,49,0,0,72,0,5,2,0,138,0,0,0,0,8,2,0,0,1,1,5,3,9,0,0,0,0,0,1
560,4924,0,0,0,0,22,12,13,1,0,0,47,14,0,27,0,0,0,0,0,3,84,1,0,0,0,1,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,20,0,0,8,0,56,0,0,142,0,4,6,1,129,0,0,0,0,3,1,0,0,0,1,1,5,19,0,0,0,0,1,0
585,5229,0,0,0,0,11,6,9,0,0,0,35,9,0,21,0,0,0,0,0,4,61,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,7,0,2,2,4,36,0,1,125,0,1,0,0,80,0,0,0,0,3,1,0,0,0,0,0,3,2,0,0,0,0,0,0
600,5412,0,0,0,0,10,14,11,1,0,0,46,11,1,2,0,1,0,0,0,3,64,1,4,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0,1,4,2,31,0,0,106,0,1,4,0,84,0,0,0,1,7,3,0,0,2,0,0,10,2,6,0,0,0,1,1
610,5535,0,0,0,0,8,10,12,3,0,0,32,12,0,8,0,0,0,0,0,8,72,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,2,1,2,49,0,0,76,0,1,0,1,139,0,0,0,0,1,1,0,0,0,1,1,2,7,0,0,0,0,0,0
620,5657,0,0,0,0,7,11,15,1,0,0,19,10,1,10,0,0,0,0,0,11,75,1,1,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,3,2,22,0,0,86,0,3,3,1,133,0,0,0,2,7,1,0,0,1,4,0,3,5,0,0,0,0,0,0
630,5779,0,0,0,0,5,14,21,1,0,0,43,11,0,11,0,0,0,0,0,3,64,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,4,0,1,1,2,32,0,0,62,0,3,0,0,138,0,0,0,0,1,0,0,0,0,0,0,4,4,15,0,0,0,0,0
645,5962,0,0,0,0,8,25,32,0,0,0,33,7,0,6,0,0,0,0,0,3,84,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,2,0,4,26,0,0,85,0,2,0,0,146,0,1,0,1,1,3,0,0,1,0,0,3,5,8,0,1,0,0,0
660,6145,0,1,0,0,5,9,29,1,0,0,27,16,0,3,0,0,0,0,0,4,51,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,4,0,2,3,1,21,0,1,53,0,0,7,2,152,0,0,0,0,1,1,0,0,0,0,0,2,2,6,0,0,0,0,0
685,6450,0,0,0,0,8,8,25,2,0,1,27,1,0,12,0,0,0,0,0,2,49,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,1,5,1,18,0,0,58,0,0,1,0,159,1,0,0,0,2,2,0,0,0,0,0,4,8,8,0,0,0,0,0
710,6755,0,0,0,1,5,3,23,2,0,0,46,11,0,6,0,0,0,0,0,0,39,0,2,1,0,0,0,2,1,0,0,0,0,1,1,0,4,0,0,0,0,0,6,0,4,0,2,4,1,26,0,0,83,1,2,11,1,75,0,0,0,0,11,0,0,0,0,0,0,7,6,0,0,0,0,1,0
735,7060,0,0,0,0,3,12,28,0,0,0,50,8,1,5,0,0,0,0,0,2,83,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,61,0,1,0,2,0,0,26,0,0,118,0,3,0,0,61,0,0,0,0,2,1,0,0,0,0,0,7,1,15,0,0,0,0,0
750,7243,0,0,0,0,5,20,19,0,0,0,47,9,0,6,0,0,0,0,0,4,125,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,2,2,32,0,0,8,0,4,1,0,101,0,0,0,0,3,1,0,0,0,1,0,10,10,8,1,0,0,0,0
765,7426,0,0,0,2,3,21,37,0,0,0,46,7,0,7,0,0,0,0,0,5,51,0,1,0,1,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,50,0,4,0,3,0,0,28,0,0,79,0,0,4,0,93,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0
785,7670,0,0,0,0,3,18,51,1,0,0,47,6,0,8,0,0,0,0,0,2,41,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,40,0,1,0,1,0,0,27,0,0,73,0,1,4,0,85,0,0,0,1,1,0,0,0,0,0,0,5,7,15,2,0,0,0,0
800,7853,0,1,0,0,7,13,76,1,0,0,28,4,0,4,0,0,1,0,0,3,66,1,0,0,0,0,0,0,13,0,0,0,0,13,0,0,1,0,0,0,0,0,17,0,0,0,1,0,1,12,0,0,40,0,4,6,0,139,0,0,0,0,3,0,0,0,1,0,0,5,3,1,3,0,0,0,0
835,8280,1,0,0,0,0,31,162,0,1,0,35,5,0,2,0,0,0,0,0,2,33,3,0,0,1,1,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,20,0,1,0,3,4,0,21,0,0,37,0,3,1,0,121,0,0,0,0,3,0,4,0,2,0,0,7,3,8,0,0,0,0,0
