"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Isoëtes","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-41,0,8,9,9,0,153,8,25,0,0,5,0,11,5,0,0,9,2,2,0,0,0,0,2,5,0,11,20,83,1,0,141,0,0,22,2,0,60,0,3,3,2,0,1,0,31,0,0,22,0,0,1,0,0,9,3,0,0,0,3,5,15,0
3,-37,0,6,10,8,0,144,5,24,0,2,3,0,27,10,0,0,1,0,0,0,0,0,0,6,5,2,13,21,59,0,0,157,1,0,26,3,0,46,0,5,2,0,0,0,0,33,1,0,9,0,0,0,0,2,0,5,0,6,1,6,0,13,0
5,-30,0,9,6,8,0,132,3,47,0,2,8,0,12,0,0,0,6,2,2,2,0,1,0,3,3,0,17,24,78,2,3,134,3,0,27,14,0,46,0,2,2,0,0,0,0,26,0,1,20,0,0,0,0,2,5,2,0,3,0,11,3,10,0
7,-24,0,9,8,9,0,152,2,29,0,0,3,0,20,5,0,0,11,0,3,0,0,0,0,2,5,4,8,29,55,2,3,147,1,0,28,6,2,54,2,0,2,2,0,0,0,28,0,1,14,0,0,0,0,3,3,3,0,6,0,12,0,18,0
9,-20,0,14,8,3,0,139,6,19,0,0,3,0,14,2,2,0,3,2,0,0,0,0,1,16,2,0,18,46,67,3,0,133,2,0,45,5,0,54,0,2,2,0,1,0,0,32,0,1,18,0,0,0,0,3,3,6,0,5,0,3,5,10,0
11,-15,0,2,6,5,0,126,11,21,3,0,3,3,27,2,0,0,5,0,3,0,59,1,0,2,2,2,41,12,43,0,0,149,3,0,0,6,0,43,0,2,0,5,0,0,0,43,0,4,9,0,0,0,0,2,9,8,0,7,0,6,3,17,1
13,-7,0,9,16,5,0,119,5,17,3,0,7,2,17,5,5,0,0,0,3,0,0,0,0,10,3,0,10,22,59,2,0,153,3,2,41,12,0,38,2,3,0,0,0,0,0,28,0,1,22,0,0,0,0,2,3,0,0,2,0,3,5,14,0
15,9,0,10,8,10,0,135,5,45,0,0,5,2,21,13,2,2,4,2,0,0,0,0,0,13,3,4,8,24,64,2,0,148,0,0,19,10,0,56,0,8,0,2,0,0,0,55,2,1,43,0,0,0,0,2,8,2,0,0,0,5,5,18,0
17,30,2,8,12,14,0,118,3,50,0,0,6,0,35,6,2,0,8,2,2,0,0,0,0,16,2,2,24,17,82,0,0,130,0,0,23,3,0,59,0,3,2,3,0,0,2,38,0,2,51,0,0,0,0,3,8,3,0,0,0,5,2,12,0
19,42,0,9,16,11,0,85,2,56,3,0,0,3,14,3,2,0,6,0,3,0,0,0,0,8,0,7,11,19,105,0,0,133,3,0,39,5,0,53,0,2,0,2,0,0,0,45,0,0,45,0,0,0,0,2,2,5,0,0,0,3,3,20,0
21,53,0,5,6,12,0,96,8,44,0,0,0,0,30,8,2,0,2,0,2,0,0,0,0,2,0,14,26,12,87,0,0,140,1,0,44,6,0,73,0,5,2,5,0,0,1,36,0,1,49,3,1,0,0,0,3,5,0,2,0,2,6,11,1
23,65,0,3,12,3,0,96,12,51,1,0,5,0,23,2,0,0,0,2,3,2,0,0,0,3,3,8,50,16,66,0,1,122,0,1,36,6,0,43,3,3,0,5,0,0,2,29,0,1,54,0,0,0,0,0,6,8,0,3,1,3,2,11,0
25,77,0,7,15,10,0,83,3,46,1,1,6,0,30,3,3,0,2,0,2,0,0,1,0,3,3,5,40,15,86,3,2,154,0,0,33,3,2,56,1,3,0,3,0,0,0,62,0,2,55,0,0,0,0,2,6,9,0,2,0,12,5,10,2
27,98,0,2,5,17,0,89,3,34,0,0,6,2,31,6,3,0,3,2,3,0,0,0,0,8,2,9,48,12,84,3,0,146,0,0,35,9,0,40,0,2,0,2,0,0,0,50,0,0,38,0,0,0,0,4,5,8,1,0,0,9,8,6,1
29,118,0,2,6,11,0,53,8,57,1,1,5,0,42,3,1,0,5,0,1,0,0,0,0,9,2,9,14,6,104,0,0,154,2,0,49,3,0,2,0,2,2,0,0,20,0,35,0,0,30,0,0,0,2,1,5,11,0,3,0,11,2,9,1
31,138,0,6,8,6,0,83,7,65,1,1,4,0,28,6,3,0,4,1,0,0,0,0,0,10,5,3,15,55,51,0,0,132,0,0,46,7,0,0,25,5,1,4,0,0,0,40,0,0,37,0,0,0,0,0,9,21,0,4,0,5,2,6,0
33,158,1,4,6,15,0,67,9,42,0,3,2,2,42,9,0,0,4,0,1,0,0,1,0,3,2,1,48,22,71,2,0,134,0,2,36,6,0,19,2,6,0,0,0,0,1,28,0,1,27,1,0,0,0,0,7,10,0,9,0,10,2,7,0
35,178,0,8,15,12,0,58,8,50,1,0,9,2,43,8,0,0,8,0,3,0,0,0,0,15,3,6,32,14,64,3,0,145,0,0,35,5,0,24,0,3,0,2,0,0,0,23,0,1,20,0,0,0,0,3,6,11,2,7,0,8,11,18,0
37,198,0,4,15,6,0,80,3,50,1,0,2,0,43,6,2,0,4,0,3,0,0,0,0,6,3,4,30,24,61,0,2,148,0,0,40,5,0,24,2,3,2,2,0,0,0,13,0,0,18,0,0,0,0,1,9,22,0,0,0,3,3,11,0
39,270,0,2,14,8,0,93,5,21,0,0,2,0,39,5,0,2,3,2,1,0,0,0,0,11,3,2,50,15,70,1,0,140,1,0,49,5,0,3,1,0,1,3,0,0,1,6,0,0,0,0,0,0,0,0,3,14,0,3,0,2,6,9,0
41,394,0,2,8,5,1,103,10,13,0,5,2,2,61,2,1,0,0,0,3,0,0,0,0,0,2,3,55,21,63,5,0,121,0,2,42,3,0,2,1,0,0,2,0,0,0,2,1,0,3,0,0,0,0,0,2,11,0,0,0,0,5,0,0
43,492,0,4,11,8,0,73,5,14,0,0,0,2,41,5,2,0,8,0,2,0,0,0,0,3,5,4,61,15,81,3,0,135,1,0,57,6,0,8,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,8,0,0,0,2,2,8,0
45,562,0,2,10,5,0,75,5,17,0,3,0,2,47,6,3,0,2,0,8,0,0,0,0,8,3,3,57,24,69,0,2,119,2,1,73,3,0,3,0,1,0,3,0,0,0,5,0,0,5,0,0,0,0,1,1,11,2,0,0,2,0,14,1
47,632,0,2,11,8,0,84,8,8,1,2,2,0,47,6,0,0,0,0,3,0,0,0,0,3,0,4,62,28,74,0,1,118,1,1,56,8,0,2,1,1,0,3,0,0,0,3,0,0,3,0,0,0,2,0,3,6,0,0,0,1,0,16,0
49,702,0,3,13,5,0,76,14,11,0,0,2,0,42,3,2,0,0,0,0,0,0,0,0,6,5,7,57,16,76,2,0,120,0,2,60,11,0,2,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,8,0
51,766,0,4,11,7,0,86,16,19,0,0,1,0,54,2,2,0,0,0,3,0,0,0,0,3,2,2,53,15,57,0,0,133,0,2,49,2,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,8,1,0,0,0,0,6,0
53,823,0,5,13,7,0,74,11,5,0,0,2,2,38,3,3,0,0,0,2,0,0,0,0,5,2,0,55,13,84,0,1,132,1,2,54,8,0,0,0,0,0,2,0,0,0,3,1,0,1,0,0,0,0,0,0,15,0,0,0,1,0,13,1
55,880,0,3,16,22,1,69,8,22,0,0,0,2,42,6,1,0,3,0,2,0,0,0,0,6,6,4,56,24,58,1,2,131,0,2,53,8,0,0,2,0,0,2,0,0,0,2,0,0,3,1,0,0,2,0,2,14,0,0,0,1,0,7,2
57,937,0,4,13,9,0,98,16,19,0,2,7,0,52,2,3,2,1,0,0,0,0,0,0,10,4,5,45,13,77,0,0,115,0,0,41,2,1,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,2,6,0,0,0,3,2,11,1
59,994,0,5,9,6,0,79,6,9,0,0,4,0,65,3,3,0,1,0,2,0,0,0,0,5,4,4,47,18,81,1,0,123,0,1,56,3,0,3,2,2,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,5,0,1,0,1,2,8,1
61,1051,0,5,13,3,1,97,6,14,0,1,0,0,35,3,0,1,5,0,0,0,0,0,0,7,2,4,43,14,80,4,0,129,0,2,57,3,0,2,0,2,1,3,0,0,0,6,0,0,2,0,0,0,0,3,5,13,3,0,0,3,0,6,0
63,1108,0,2,15,6,1,74,7,9,0,0,0,1,68,3,2,0,0,0,1,0,0,0,0,12,2,4,54,7,76,2,0,123,0,1,54,7,0,3,0,0,0,2,0,0,1,4,0,1,2,0,0,0,0,0,5,6,0,2,0,0,2,9,0
65,1165,0,2,16,5,0,83,13,9,0,0,6,1,43,10,1,3,0,0,4,0,0,0,0,7,2,8,35,16,77,3,0,126,0,2,58,2,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,12,0,2,0,2,1,9,0
67,NA,0,2,12,10,0,74,6,17,0,0,3,1,36,4,3,0,2,0,1,0,0,0,0,12,1,4,51,26,81,3,0,107,0,0,74,5,0,2,2,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,3,0,1,0,4,2,5,0
69,NA,0,2,10,3,1,60,10,7,0,0,2,0,48,5,3,0,0,1,2,0,0,0,0,5,3,1,51,21,76,2,0,145,1,1,54,3,0,1,1,1,0,2,1,0,1,2,0,0,0,0,0,0,1,1,2,12,0,0,0,2,2,13,0
