"sample.depths","sample.ages","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna","Osmunda","Decodon.verticillatus","Myriophyllum","Nuphar","Sagittaria","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-7,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,6,0,1,14,2,7,24,1,0,31,0,3,118,0,0,1,2,0,2,0,9,0,20,0,5,0,0,0,30,0,0,0,0,0,0,4,1,0,38,9
10,300,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,10,3,5,6,0,0,17,0,6,71,0,2,4,0,17,1,1,25,2,17,0,32,0,0,0,21,0,0,0,0,1,0,2,3,0,52,3
20,642,0,2,0,0,0,0,0,2,1,0,0,5,0,0,0,2,0,3,28,0,7,12,1,0,21,4,0,114,0,4,0,0,3,1,0,13,3,3,0,19,0,0,0,16,0,0,0,0,0,0,0,2,0,34,4
29,949,0,1,1,0,0,5,0,0,0,0,0,19,0,0,0,4,1,1,11,3,4,9,0,1,29,0,2,76,0,1,6,0,4,0,0,16,0,6,0,8,0,0,0,9,1,0,0,0,0,0,2,0,1,76,3
40,1275,0,0,0,0,0,3,0,0,0,0,0,20,0,1,0,2,0,0,18,0,12,22,0,0,19,0,2,144,0,0,0,0,0,1,0,12,0,6,0,5,1,0,0,14,0,0,0,0,0,0,0,0,0,36,1
50,1562,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,1,0,0,14,0,17,17,0,0,18,0,0,153,0,1,1,0,0,0,0,4,1,9,0,2,0,0,0,22,0,0,0,0,0,0,2,4,0,25,0
60,1850,0,0,3,0,1,2,0,1,0,0,0,11,0,0,0,4,0,0,23,1,13,7,0,0,26,0,1,111,0,5,3,0,0,0,0,7,3,12,0,4,0,0,0,18,0,1,2,0,0,0,3,1,1,34,3
70,2137,0,0,0,0,1,3,0,2,0,0,0,25,0,0,0,4,0,1,24,0,8,7,0,0,25,0,0,87,0,2,1,0,0,1,0,12,0,23,0,1,0,0,0,37,0,1,1,0,0,1,0,0,0,26,6
80,2424,0,1,0,0,0,4,1,1,0,0,0,22,0,0,1,5,0,3,13,2,16,15,0,1,31,0,1,113,0,5,1,0,0,2,0,11,5,30,0,2,0,0,0,42,0,1,1,0,0,0,5,0,0,37,6
95,3776,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,8,0,3,4,0,1,0,1,0,3,0,6,2,6,0,1,0,1,0,111,0,0,0,0,0,0,74,0,0,10,2
112,4021,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,4,5,0,0,18,0,1,5,0,1,0,0,1,17,0,8,5,105,0,5,0,0,0,98,0,0,0,2,0,0,4,0,0,7,3
127,4237,0,1,0,0,1,1,0,1,0,0,0,3,0,0,0,4,0,0,0,0,3,5,0,0,19,0,0,7,0,0,1,0,0,4,0,6,8,73,0,3,0,0,0,86,0,0,0,0,0,0,11,0,0,13,0
147,4525,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,3,0,0,20,0,0,24,0,0,1,0,0,1,1,6,0,128,0,5,0,0,0,81,0,0,1,1,0,0,14,3,0,11,1
167,4813,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,20,0,0,10,0,0,1,0,0,2,0,9,1,155,0,1,0,0,1,78,0,0,0,0,0,0,13,0,0,8,2
187,5101,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,1,0,19,0,0,7,0,0,0,0,0,5,0,10,3,167,0,1,0,0,0,71,0,0,0,0,0,0,3,0,0,8,3
205,5361,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,9,0,3,6,0,2,0,0,0,1,0,20,1,201,0,0,0,0,0,66,0,0,0,0,0,0,6,0,0,11,3
220,5577,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,1,0,0,0,0,0,32,2,212,0,1,0,0,0,48,0,0,0,0,0,0,0,0,1,8,0
228,5672,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,4,0,0,26,0,0,3,0,1,1,0,1,0,0,13,30,112,0,6,0,0,0,67,0,0,0,1,0,0,3,0,0,14,10
232,5719,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,10,0,1,7,0,2,0,0,2,4,0,15,1,170,0,2,4,0,0,71,0,0,0,0,0,0,2,1,0,1,3
238,5791,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,18,0,0,4,0,0,0,0,1,0,0,9,7,174,0,0,0,0,0,59,0,0,0,1,0,0,0,0,0,4,5
243,5850,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,7,0,0,16,0,0,4,0,1,3,0,3,0,0,8,17,225,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,3,4
248,5910,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,21,0,0,3,0,0,1,0,0,3,0,13,3,191,0,1,0,0,0,55,0,0,0,0,0,0,0,0,1,4,3
257,6017,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,6,1,0,7,0,2,2,0,0,0,0,3,0,0,18,12,199,0,3,0,0,0,49,0,0,0,0,0,0,0,1,1,2,3
263,6088,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,0,32,0,1,3,0,3,0,0,0,3,0,15,9,163,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,10,1
268,6147,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,4,0,0,0,0,3,0,0,10,8,205,0,3,0,0,0,43,0,0,0,0,0,0,0,0,1,6,5
277,6254,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,12,0,1,1,0,0,0,0,1,2,0,0,6,254,0,0,0,0,0,44,0,0,0,0,0,0,3,0,0,3,1
286,6361,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,8,0,0,12,0,0,0,0,0,0,0,5,9,50,0,3,0,0,0,179,0,0,0,0,0,0,2,0,0,1,6
