"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae.Taxaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Lamiaceae","Plantago","Poaceae","Polygonum","Nuphar","Nymphaea","Sagittaria","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown..monocolpate.","Unknown..periporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..triporate."
4,-16,3,2,15,11,0,0,1,0,0,0,8,0,1,2,30,1,7,9,4,1,155,110,0,0,1,2,0,20,0,3,4,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,3,0,0
7,7,1,0,7,14,0,0,0,0,0,0,7,0,1,2,16,0,0,1,0,4,166,89,0,0,3,3,0,20,0,1,5,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
11,37,0,0,3,12,0,0,0,0,0,0,6,0,0,1,11,0,0,0,1,6,150,104,0,0,2,3,0,15,0,2,5,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3
15,67,2,2,4,9,0,0,0,1,0,0,2,0,0,0,12,0,2,0,0,7,150,104,0,0,2,3,0,19,0,5,2,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2
19,97,0,3,5,5,0,0,0,0,1,0,1,0,0,0,10,0,3,0,0,5,146,105,0,0,1,3,0,20,0,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3
21,112,1,0,5,21,0,0,0,0,0,0,8,0,0,2,13,0,3,4,3,5,161,96,0,1,6,1,0,20,0,1,4,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0
23,127,0,0,1,13,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,7,200,65,0,0,4,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
25,142,0,0,1,15,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,7,213,55,0,0,0,0,0,3,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2
31,187,0,0,1,19,0,0,0,0,1,0,7,0,0,1,11,0,0,4,1,4,202,66,0,0,2,1,0,2,0,1,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
35,217,1,0,1,18,0,0,0,0,0,0,5,0,1,0,11,0,0,0,0,6,217,71,0,0,0,1,0,6,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
