"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Anacardiaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caprifoliaceae","Carya","Castanea","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Juglans.nigra","Larix","Lycopodium.type","Myrica","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae.undiff.","Pteridium.type","Quercus","Rhamnaceae.Vitaceae","Rubiaceae","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown"
0,0,0,2,0,1,0,14,0,0,0,0,7,0,5,9,6,0,0,12,0,1,0,0,1,1,1,1,0,0,0,9,1,1,0,58,2,10,4,150,1,59,0,0,0,0,1,0,0,0,0,1
5,67,0,4,4,4,1,11,0,1,1,0,11,1,8,18,1,1,0,10,1,0,1,0,0,2,3,2,0,0,0,9,0,1,0,45,2,14,1,140,1,84,0,0,0,0,0,0,0,2,0,0
10,133,0,3,0,0,0,15,0,1,0,1,5,1,8,18,0,0,0,6,1,0,2,0,2,2,0,0,0,0,0,2,0,3,0,42,1,9,0,175,0,156,0,0,0,0,0,0,0,1,2,1
20,776,1,2,1,0,0,1,0,1,0,1,2,0,4,11,0,0,0,0,2,1,3,1,0,8,0,0,0,0,0,16,0,4,0,46,0,5,2,186,1,306,0,0,0,0,1,0,1,2,0,0
25,1353,0,0,2,1,0,0,0,0,0,0,3,0,2,14,0,1,0,2,1,0,2,0,0,2,0,0,0,0,0,56,9,1,2,9,0,2,2,193,0,147,0,3,0,0,2,0,1,1,0,0
40,3082,0,0,0,10,0,2,0,1,0,0,8,0,2,13,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,21,1,2,0,23,0,7,2,192,0,159,0,0,0,0,0,0,0,6,2,0
50,4236,1,1,3,5,0,0,1,0,0,1,2,0,8,40,0,2,0,5,2,0,4,0,1,4,0,0,0,0,1,28,0,2,2,25,0,2,0,161,0,102,0,0,0,0,0,0,0,3,1,0
60,5389,2,2,0,5,0,1,0,0,0,1,7,0,6,2,0,1,0,5,2,0,2,0,0,0,3,0,0,0,0,35,0,0,3,40,0,8,0,162,1,45,1,0,0,0,0,0,0,12,2,0
70,6542,1,0,0,8,1,3,0,0,0,2,5,0,5,6,0,2,0,10,0,0,3,0,0,0,2,0,0,0,0,16,0,3,0,26,0,6,0,193,1,38,0,1,0,0,0,0,0,6,0,0
80,7695,0,1,0,3,0,0,0,0,0,1,9,2,2,2,0,2,0,32,0,0,2,1,0,0,4,0,0,1,0,14,0,0,1,30,0,4,1,175,1,36,0,0,0,0,2,2,0,10,0,2
85,8272,1,0,1,13,0,1,0,0,0,0,6,0,6,1,0,0,0,11,7,0,2,0,0,0,0,0,0,0,0,22,0,0,0,40,1,2,1,172,0,35,1,0,0,0,1,2,0,15,2,0
90,8848,1,1,1,9,0,0,0,0,1,1,6,0,3,12,0,1,0,12,3,0,2,0,0,0,1,1,0,0,0,17,0,3,0,62,1,5,0,147,1,48,0,2,0,4,0,0,0,9,1,0
95,9425,2,0,1,13,1,0,0,0,0,1,7,0,1,4,0,1,0,17,4,0,3,2,0,1,1,0,0,0,0,16,0,2,4,50,0,11,3,137,0,37,2,1,0,1,2,0,1,17,2,0
97.5,9713,16,0,1,3,2,0,0,0,0,2,16,1,0,1,0,35,0,28,3,0,1,1,2,0,2,0,0,0,1,3,0,9,13,90,0,12,0,48,0,2,2,6,0,0,0,3,0,3,1,2
100,10002,12,0,3,10,5,1,0,0,0,4,22,0,0,0,0,39,0,33,2,0,1,9,2,0,5,0,2,0,0,0,0,7,14,78,0,16,0,28,0,0,2,2,0,0,0,3,0,1,1,2
102.5,10290,12,0,0,5,1,0,0,0,0,5,30,1,0,0,0,47,0,16,1,0,1,3,0,0,1,0,0,0,0,0,0,12,13,103,0,11,0,23,0,0,5,6,1,0,2,2,0,4,2,0
105,10578,10,0,1,11,11,0,1,0,0,0,25,0,0,0,0,113,2,16,0,0,2,5,1,0,2,0,0,0,0,0,0,6,20,35,0,9,0,11,0,0,2,0,1,0,1,4,0,2,1,0
115,11731,7,0,1,13,11,0,1,0,0,5,25,0,0,0,0,110,0,22,3,0,4,4,0,0,1,0,0,3,0,0,0,5,16,29,0,15,1,18,0,0,2,4,0,0,1,5,0,0,1,0
125,12885,18,0,2,4,9,0,1,0,1,9,32,0,0,0,0,87,0,22,0,0,0,7,0,0,3,0,0,1,0,0,0,5,27,39,0,12,0,16,0,0,4,1,0,1,0,4,0,0,1,0
