"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Artemisia","Betula","Carya","Cupressaceae","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Amaranthaceae","Poaceae","Corylus","Fraxinus.nigra.type","Populus","Ilex","Apiaceae","Platanus","Juglans.nigra","Campanulaceae","Asteraceae.subf..Asteroideae.undiff.","Juglans.cinerea","Thalictrum","Ericaceae","Myrica","Galium"
67,2335,459,1,1,16,3,1,34,1,16,1,28,2,5,4,12,9,53,181,6,1,1,65,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2439,522,2,0,11,2,1,35,1,25,1,13,0,4,1,11,10,62,254,11,0,0,56,12,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
75,2612,465,2,0,8,1,4,41,0,12,3,21,0,3,7,7,22,51,224,10,0,0,34,4,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80,2786,529,1,1,9,1,2,39,1,22,1,14,0,3,4,11,6,72,272,14,0,1,38,6,4,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0
85,2959,483,2,0,10,3,3,40,0,20,1,14,1,5,1,4,18,59,245,12,1,0,26,5,6,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
90,3133,509,2,0,5,3,3,50,0,25,5,19,2,11,6,1,7,43,270,7,1,1,29,10,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
95,3283,514,2,0,6,0,2,27,3,21,1,10,0,1,3,6,7,45,332,13,0,0,15,8,7,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0
100,3411,476,1,1,6,2,1,25,0,17,1,8,1,2,7,4,9,24,322,16,0,2,8,10,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
105,3539,501,3,0,5,1,0,31,1,17,4,11,0,4,8,4,18,34,325,16,0,0,5,7,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
110,3667,482,2,0,4,0,1,19,2,18,2,2,0,0,7,8,21,48,317,10,1,1,4,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,3795,605,1,1,6,4,1,26,1,21,2,7,0,4,3,7,29,39,400,22,0,0,8,11,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
120,3923,540,3,0,3,5,3,13,1,15,2,7,1,5,6,8,29,27,365,16,0,1,9,6,8,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
125,4051,528,1,0,2,0,4,26,0,6,1,6,0,5,2,3,13,33,385,14,1,1,6,8,5,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0
130,4195,489,1,0,7,0,0,22,1,22,0,5,0,1,4,2,20,30,344,8,0,0,6,8,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
135,4487,457,2,0,5,0,2,13,2,18,1,1,1,4,7,8,25,31,308,14,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,4778,526,1,0,4,2,3,15,1,14,0,3,1,5,8,7,26,40,342,23,0,3,6,9,7,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0
145,5310,504,1,0,5,2,2,18,0,14,0,3,0,2,3,6,36,41,337,12,0,0,11,5,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
150,5841,554,1,1,3,1,4,13,0,14,2,5,0,4,1,3,37,26,396,13,0,0,12,7,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
155,6372,485,1,0,2,6,3,14,0,9,0,1,0,1,1,6,27,27,351,8,0,0,12,9,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,6816,510,1,0,4,1,1,12,0,8,1,0,1,1,5,1,40,32,358,17,0,0,9,10,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
167,7767,552,2,0,2,2,0,11,0,4,0,0,0,5,4,7,31,47,406,11,1,0,4,6,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
170,8123,473,0,0,0,1,0,4,0,8,0,3,0,5,3,2,35,13,371,9,0,0,3,9,2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
175,8717,528,1,0,2,3,1,7,1,3,2,1,0,3,3,0,36,62,385,8,0,0,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,9312,514,1,0,2,2,0,5,0,7,0,0,0,2,7,2,52,35,377,9,0,1,2,5,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0
185,9906,497,1,1,2,5,1,6,1,6,1,1,1,0,7,5,56,15,371,5,0,0,1,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,10500,549,0,0,4,1,4,4,2,4,5,1,0,0,2,2,31,22,438,13,0,0,2,9,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
195,11094,406,7,0,0,0,5,0,1,0,1,0,1,2,2,5,44,3,309,11,2,0,0,8,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
200,11324,432,2,0,2,6,3,17,0,0,2,0,0,2,5,20,25,1,307,18,0,0,0,14,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,11553,459,3,0,0,3,2,12,0,0,3,1,0,0,7,28,37,2,335,16,0,0,0,6,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
210,11782,525,5,0,0,0,5,5,1,0,1,0,0,4,3,48,82,5,349,11,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,12011,501,7,0,3,3,3,7,0,1,2,0,0,1,5,35,67,4,334,13,0,1,0,5,2,1,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0
