"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ledum.Chamaedaphne.calyculata","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Polygalaceae","Quercus","Ranunculaceae.undiff.","Salix","Tilia","Ulmus","Rosaceae.undiff.","Fraxinus.americana.type","Lamiaceae","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Andromeda.polifolia","Corylus.cornuta","Monotropa","Ilex.Nemopanthus","Pinus.strobus","Tsuga.canadensis","Viburnum.nudum","Picea.undiff.","Ericaceae.undiff.","Vaccinium.undiff.","Juglans.cinerea","Taxus","Amaranthaceae","Carya.ovata","Cupressaceae.cf..Thuja.occidentalis","Juniperus.communis.Thuja.occidentalis.type","Acer.pensylvanicum","Ambrosia.type","Larix","Populus.tremuloides.type","Pinus.banksiana.type","Vaccinium.angustifolium.type","Sambucus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Pinus.resinosa.type","Rubiaceae","Juniperus.type","Juglans.nigra","Rhamnus.alnifolia.R..frangula","Rumex.type","Alnus.viridis.type","Shepherdia.canadensis","Onagraceae","Plantago.undiff.","Prunus.serotina","Rhododendron.canadense","Caryophyllaceae","Cerealia","Prunus.pensylvanica","Vaccinium.uliginosum.type","Acer.spicatum","Caprifoliaceae.undiff.","Fabaceae","Brassicaceae","Asteraceae.subf..Cichorioideae","Andromeda.glaucophylla","Morus.rubra.type","Vaccinium.oxycoccos","Populus.balsamifera.type","Myrica.gale","Elymus.type"
20,1643,615,6,18,3,198,2,4,25,6,3,5,2,16,22,71,2,1,9,1,9,4,9,1,1,1,1,1,25,1,14,1,23,56,37,17,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3064,520,2,5,1,132,0,98,15,9,5,2,0,6,50,64,0,0,11,0,5,3,4,1,0,0,1,1,13,0,3,0,0,50,9,2,12,2,1,1,1,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4046,327,0,6,0,92,0,34,6,10,3,3,0,5,26,40,0,0,12,0,0,3,8,1,0,0,0,2,14,0,3,0,1,26,6,0,12,0,0,2,0,0,0,0,0,3,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4482,450,1,2,1,59,2,53,1,7,5,2,0,1,26,69,0,0,11,0,10,2,10,0,0,2,1,2,11,0,1,0,0,50,82,2,19,1,0,0,0,0,1,0,0,0,0,10,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4699,527,0,4,0,49,0,72,2,18,2,1,0,0,52,75,0,0,2,0,2,1,13,0,1,0,0,3,8,0,2,0,0,55,127,0,21,2,0,1,1,0,0,3,3,1,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4930,489,2,2,0,101,0,48,22,20,6,0,0,0,29,46,0,0,26,0,1,3,15,2,2,0,0,0,13,0,1,0,0,37,79,0,13,0,0,4,1,0,0,0,0,1,1,5,0,1,0,0,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5205,432,0,5,0,53,0,15,4,12,2,0,0,0,10,52,0,0,12,0,1,1,8,0,2,0,0,2,23,0,1,0,0,64,64,0,2,0,0,2,0,1,0,0,3,0,1,77,0,2,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5544,596,0,10,0,59,0,53,0,43,2,0,0,1,34,67,0,0,31,0,0,1,16,1,0,0,0,6,11,0,0,0,0,101,86,0,12,0,0,2,3,0,0,0,0,1,2,29,0,17,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5640,370,1,0,1,39,0,1,4,9,0,0,0,0,13,31,0,0,15,0,5,3,7,0,0,0,2,3,10,0,2,0,3,86,51,1,4,0,0,1,0,0,0,0,0,0,4,60,0,5,0,0,2,0,0,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5738,1397,1,65,2,164,0,4,2,3,2,10,0,8,72,149,0,0,40,0,41,4,13,1,0,0,0,11,31,0,11,0,16,208,247,2,14,0,0,1,0,0,2,0,0,1,6,160,14,30,0,2,0,1,1,45,0,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5837,1089,0,2,0,206,0,2,9,10,0,11,1,3,35,148,0,0,31,0,13,4,11,0,1,0,0,5,12,0,7,0,3,216,226,0,7,0,0,3,0,1,1,0,0,0,2,30,3,24,0,3,0,0,0,55,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5933,1136,0,15,0,130,1,7,0,8,0,5,0,2,28,135,0,0,36,0,14,1,9,0,0,0,0,9,30,0,3,0,5,282,259,0,2,0,0,2,1,0,0,0,0,0,0,62,0,48,0,1,0,2,0,33,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6110,942,1,105,1,128,0,8,0,26,3,0,0,2,107,92,0,0,39,0,13,2,14,0,1,0,3,6,15,0,19,0,29,146,113,2,6,0,0,2,5,1,0,0,0,0,1,10,1,14,0,5,1,3,1,5,1,0,0,0,0,3,0,0,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
200,6270,748,1,15,1,87,0,12,1,19,0,5,0,4,27,87,0,0,39,0,32,0,15,5,0,0,0,43,17,0,18,0,0,174,64,1,7,1,0,1,7,1,2,0,0,2,0,34,8,3,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0
210,6417,810,0,13,0,66,0,14,0,5,0,3,0,1,16,130,0,0,37,0,2,0,12,3,0,0,0,4,20,0,10,0,1,194,134,0,2,0,0,3,1,0,1,0,1,0,3,61,4,21,0,0,0,0,1,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6555,658,0,0,0,7,0,18,0,4,1,1,0,0,2,193,0,0,36,0,10,3,5,0,0,0,0,6,8,0,3,0,0,264,34,0,1,0,0,0,0,0,0,0,0,0,0,14,3,8,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
240,6813,464,0,1,0,26,0,57,0,3,2,0,0,2,0,124,0,0,42,0,3,0,7,0,1,0,0,0,3,0,1,0,0,157,12,0,1,1,0,0,0,0,0,0,0,4,0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
260,7056,636,1,4,0,28,0,116,0,7,1,1,0,2,1,225,0,0,50,0,2,0,18,1,0,0,4,0,0,0,4,0,0,137,17,0,0,0,0,0,0,1,0,0,1,6,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,7289,555,4,1,0,19,0,70,1,1,0,1,0,0,2,196,0,0,22,0,0,0,9,0,0,0,4,0,0,0,4,0,0,192,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,18,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,NA,630,1,32,2,35,0,148,0,4,0,73,0,1,0,128,0,0,18,0,26,0,15,0,0,0,4,2,1,0,0,0,0,105,4,0,0,0,0,0,1,0,0,0,0,0,0,3,4,10,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0
320,NA,387,0,19,1,14,0,11,1,2,2,94,0,1,2,37,0,0,12,0,34,0,15,0,0,0,4,1,0,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0,1,2,0,1,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
