"sample.depths","sample.ages","Abies","Cyperaceae","Nemopanthus","Picea","Taxus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Rosaceae.undiff.","Myrica","Pinus","Amaranthaceae","Poaceae","Ericales","Juniperus","cf..Myrica","Betula.greater.than.20.microm","Betula.less.than.20.microm","Asteraceae.subf..Cichorioideae","Juglans","Brassicaceae","Caryophyllaceae","Cornus","Caprifoliaceae","Corylus","Fagus","Quercus","Salix","Tsuga","Ranunculaceae.undiff.","Populus","Acer","Ulmus","Artemisia","Saxifragaceae","Rumex.type","Lamiaceae","Tilia","Primulaceae","Sanguisorba","Urticaceae"
55,2539,0.062706271,0.082508251,0.00330033,0.257425743,0,0.01980198,0.02310231,0.01650165,0.00330033,0.108910891,0.01650165,0,0.0330033,0.04620462,0.00660066,0.0330033,0.254125413,0.02310231,0,0,0,0.00330033,0,0.00330033,0,0,0,0,0,0,0,0,0.00330033,0,0,0,0,0,0,0,0
60,2772,0.043298969,0.103092784,0.008247423,0.228865979,0.002061856,0.010309278,0.028865979,0.020618557,0.002061856,0.107216495,0.002061856,0.002061856,0.016494845,0.059793814,0.010309278,0.103092784,0.224742268,0.004123711,0,0,0.006185567,0,0,0,0,0,0.010309278,0,0.002061856,0,0,0,0.004123711,0,0,0,0,0,0,0,0
65,3005,0.090604027,0.077181208,0.006711409,0.265100671,0,0.006711409,0.023489933,0.013422819,0.013422819,0.090604027,0.033557047,0,0.026845638,0.063758389,0,0.063758389,0.194630872,0.013422819,0,0.003355705,0,0,0,0.006711409,0.003355705,0,0.003355705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3145,0.120772947,0.169082126,0,0.198067633,0.004830918,0.019323671,0.009661836,0.024154589,0.004830918,0.043478261,0.033816425,0,0.009661836,0.019323671,0.019323671,0.053140097,0.217391304,0.019323671,0,0,0.014492754,0,0,0,0,0.009661836,0,0,0,0,0,0,0,0.004830918,0.004830918,0,0,0,0,0,0
70,3239,0.074712644,0.060344828,0.011494253,0.313218391,0.025862069,0.011494253,0.00862069,0.014367816,0.005747126,0.060344828,0.017241379,0,0.00862069,0.011494253,0.002873563,0.040229885,0.316091954,0.005747126,0,0,0,0,0,0,0.005747126,0,0,0,0,0,0.005747126,0,0,0,0,0,0,0,0,0,0
75,3419,0.075829384,0.066350711,0,0.222748815,0,0.023696682,0.014218009,0.014218009,0,0.023696682,0.018957346,0.004739336,0,0.028436019,0,0.018957346,0.44549763,0.023696682,0,0,0,0,0,0,0,0.004739336,0.004739336,0,0,0.004739336,0,0.004739336,0,0,0,0,0,0,0,0,0
85,3619,0.024489796,0.048979592,0.004081633,0.248979592,0.008163265,0.020408163,0.016326531,0.012244898,0.012244898,0.06122449,0.012244898,0,0.008163265,0.024489796,0,0.07755102,0.404081633,0.008163265,0.004081633,0,0,0,0,0,0,0,0.004081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3820,0.085,0.065,0,0.28,0.005,0.02,0.02,0.015,0.005,0.07,0.015,0,0.01,0.015,0.005,0.05,0.3,0.02,0,0,0.005,0.005,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
105,4020,0.069767442,0.016611296,0.009966777,0.219269103,0.033222591,0.049833887,0.033222591,0.009966777,0.009966777,0.083056478,0.019933555,0,0.006644518,0.013289037,0.003322259,0.073089701,0.332225914,0,0,0,0.003322259,0,0,0,0.003322259,0,0.006644518,0,0,0,0.003322259,0,0,0,0,0,0,0,0,0,0
115,4221,0.161512027,0.041237113,0.003436426,0.285223368,0.041237113,0.030927835,0.020618557,0.013745704,0.010309278,0.030927835,0.013745704,0,0,0.003436426,0,0.041237113,0.274914089,0.006872852,0,0,0.003436426,0,0,0,0,0,0.003436426,0.003436426,0,0.003436426,0.003436426,0,0,0,0,0.003436426,0,0,0,0,0
125,4422,0.080321285,0.016064257,0,0.172690763,0.044176707,0.048192771,0.032128514,0.004016064,0.02811245,0.064257028,0,0,0,0.004016064,0,0.060240964,0.409638554,0.008032129,0,0,0,0,0.004016064,0.004016064,0,0.004016064,0.004016064,0.004016064,0,0.008032129,0,0,0,0,0,0,0,0,0,0,0
135,4622,0.094488189,0.031496063,0,0.24015748,0.059055118,0.011811024,0.003937008,0.015748031,0.015748031,0.035433071,0.007874016,0,0.007874016,0.019685039,0,0.035433071,0.409448819,0,0,0,0,0.003937008,0,0,0,0,0,0.003937008,0,0,0,0,0,0,0,0,0.003937008,0,0,0,0
145,4823,0.055045872,0.041284404,0.004587156,0.325688073,0.018348624,0.013761468,0,0.018348624,0,0.04587156,0.018348624,0,0.004587156,0.004587156,0.009174312,0.041284404,0.348623853,0.009174312,0,0,0,0,0,0,0,0.009174312,0.018348624,0.004587156,0,0.004587156,0,0,0,0,0,0,0,0.004587156,0,0,0
155,5024,0.080701754,0.014035088,0.007017544,0.221052632,0.056140351,0.021052632,0.014035088,0.024561404,0.01754386,0.042105263,0.01754386,0,0.003508772,0.014035088,0,0.049122807,0.396491228,0,0.003508772,0.003508772,0.003508772,0,0,0,0,0,0.003508772,0.007017544,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5224,0.097122302,0.075539568,0.017985612,0.23381295,0.025179856,0.010791367,0.010791367,0.007194245,0.021582734,0.021582734,0.014388489,0,0,0.007194245,0,0.039568345,0.384892086,0.010791367,0,0,0.007194245,0,0,0,0,0,0.010791367,0.003597122,0,0,0,0,0,0,0,0,0,0,0,0,0
168,5284,0.114035088,0.030701754,0,0.184210526,0.00877193,0.00877193,0.01754386,0,0.01754386,0.021929825,0.021929825,0,0.004385965,0.004385965,0.013157895,0.039473684,0.425438596,0.035087719,0,0,0.021929825,0,0.004385965,0,0,0,0.004385965,0.00877193,0,0,0,0,0,0.004385965,0,0,0,0,0.00877193,0,0
175,5466,0.088785047,0.023364486,0,0.247663551,0.028037383,0.009345794,0.009345794,0.014018692,0.009345794,0.014018692,0.009345794,0,0.004672897,0.009345794,0,0.03271028,0.411214953,0.051401869,0,0,0.018691589,0,0,0,0,0,0.004672897,0.009345794,0,0,0,0,0,0,0,0,0.004672897,0,0,0,0
185,5875,0.107883817,0.024896266,0.004149378,0.282157676,0.049792531,0,0.012448133,0,0.004149378,0.029045643,0.020746888,0,0.008298755,0.008298755,0,0.045643154,0.390041494,0.004149378,0,0,0.004149378,0,0,0,0,0,0.004149378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
