"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Asteraceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Populus","Amaranthaceae","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Cupressaceae","Platanus","Juglans","Picea","Larix","Rumex","Myrica","Abies","Liquidambar","Castanea"
40,NA,337,20,17,8,2,1,4,11,25,1,1,19,33,118,4,1,7,8,12,1,3,1,2,15,18,5,0,0,0,0,0,0,0,0,0,0
50,NA,332,16,9,17,2,3,1,30,4,1,3,7,60,121,2,0,5,8,8,1,3,0,3,21,3,0,1,2,1,0,0,0,0,0,0,0
60,NA,343,12,9,10,5,0,1,19,6,1,2,4,47,160,1,0,6,4,5,2,6,0,2,17,15,2,2,0,1,4,0,0,0,0,0,0
70,NA,449,15,28,13,8,5,1,33,5,4,3,11,74,158,3,0,8,10,16,2,1,0,4,37,2,0,4,4,0,0,0,0,0,0,0,0
80,NA,329,4,4,12,4,3,1,11,19,0,3,10,29,162,2,0,8,3,7,5,2,0,1,19,15,3,0,0,0,0,1,1,0,0,0,0
90,NA,344,8,16,22,1,0,1,25,12,2,4,11,34,145,3,0,3,5,5,2,7,0,0,21,8,4,1,0,2,1,0,0,1,0,0,0
100,NA,331,5,11,16,5,4,1,22,11,1,0,13,27,117,2,0,4,5,15,2,7,0,1,20,26,10,2,1,0,2,0,0,0,1,0,0
110,NA,340,3,9,16,3,1,3,28,31,4,5,8,47,97,4,0,2,11,8,4,5,0,1,22,17,6,1,0,2,0,0,0,1,0,1,0
120,NA,454,15,31,14,4,6,1,13,129,2,1,4,36,103,4,1,2,7,4,2,5,2,5,47,9,0,3,1,2,0,1,0,0,0,0,0
140,NA,312,10,9,7,7,2,2,17,4,2,1,21,29,111,2,0,4,15,12,3,9,0,2,22,14,1,1,3,1,0,0,0,0,0,0,1
150,NA,359,11,15,33,6,2,0,3,0,3,4,10,143,76,2,0,1,5,6,1,1,0,2,17,16,0,0,1,1,0,0,0,0,0,0,0
160,NA,348,4,6,21,3,2,5,5,0,0,2,4,35,196,2,1,4,4,9,1,7,0,1,9,18,4,3,1,0,1,0,0,0,0,0,0
170,NA,330,9,11,15,1,3,1,15,7,1,7,12,29,134,1,0,1,7,19,0,4,0,2,19,17,8,2,3,2,0,0,0,0,0,0,0
180,NA,318,22,17,5,5,2,1,17,2,4,0,14,36,117,2,1,3,7,2,1,7,1,7,24,16,2,3,0,0,0,0,0,0,0,0,0
190,NA,360,4,3,21,1,4,0,16,3,1,1,15,21,181,0,0,7,9,15,2,7,0,1,20,18,5,1,1,2,0,1,0,0,0,0,0
200,NA,300,5,23,12,4,7,2,9,4,0,2,3,40,106,2,0,2,19,3,2,6,0,1,33,7,4,0,1,2,0,0,0,0,1,0,0
210,NA,323,5,19,9,1,1,2,15,1,1,0,8,27,165,0,1,1,4,5,0,5,0,1,15,28,5,1,1,2,0,0,0,0,0,0,0
270,NA,322,7,6,1,2,4,1,86,2,0,1,5,31,96,1,2,0,7,8,1,4,1,4,43,1,3,2,1,2,0,0,0,0,0,0,0
290,NA,306,7,9,2,1,6,1,69,0,1,0,6,33,93,0,1,0,11,5,0,2,0,2,43,8,4,0,0,0,1,0,0,0,0,0,1
320,NA,364,16,14,2,2,9,0,69,0,0,0,9,30,121,0,1,0,13,10,0,4,1,1,43,14,2,1,1,1,0,0,0,0,0,0,0
340,NA,317,21,13,2,1,8,0,49,0,1,2,11,35,89,1,2,0,12,3,2,2,0,3,48,5,0,7,0,0,0,0,0,0,0,0,0
360,NA,333,23,20,5,1,7,0,44,0,0,1,7,49,99,2,1,0,10,5,1,5,0,1,31,11,3,5,0,2,0,0,0,0,0,0,0
380,NA,309,5,10,1,1,6,1,38,0,0,1,16,48,115,1,2,0,12,6,0,6,1,2,14,16,3,3,0,1,0,0,0,0,0,0,0
397,6235,305,7,16,1,2,3,2,23,0,0,1,17,52,95,0,0,0,35,5,4,7,1,4,16,7,2,2,0,3,0,0,0,0,0,0,0
420,6815,366,13,10,3,10,1,1,23,0,0,4,25,66,126,1,0,0,36,5,1,8,0,4,13,6,2,3,0,5,0,0,0,0,0,0,0
440,7320,363,21,10,2,3,2,0,12,0,0,2,27,74,108,1,4,0,45,9,3,5,1,5,15,7,0,4,1,2,0,0,0,0,0,0,0
460,7825,328,20,15,1,1,1,1,14,0,0,0,26,88,77,4,3,0,28,6,2,9,1,3,15,10,0,0,0,2,0,1,0,0,0,0,0
480,8330,383,19,12,3,5,5,5,14,0,0,0,34,109,99,2,1,0,32,17,2,8,0,5,6,0,1,2,0,2,0,0,0,0,0,0,0
500,8835,329,15,4,2,6,1,2,8,0,0,6,29,77,76,4,0,0,32,8,3,12,3,5,12,11,1,7,0,3,1,0,0,0,1,0,0
520,9340,325,19,8,7,4,2,4,12,0,0,0,13,81,85,2,0,0,39,10,4,7,1,3,3,5,10,4,0,2,0,0,0,0,0,0,0
540,9635,415,6,6,5,4,2,3,7,0,0,2,19,202,50,1,1,0,51,7,2,11,0,0,11,12,7,2,1,2,0,1,0,0,0,0,0
560,9859,400,4,10,8,5,2,7,8,0,0,3,20,161,69,0,1,0,48,4,3,8,0,1,4,27,4,1,0,1,1,0,0,0,0,0,0
