"sample.depths","sample.ages","upland.sum","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Abies","Larix","Pinus.strobus","Pinus.banksiana.P..resinosa","Pinus.undiff.","Betula.greater.than.20.microm","Betula.less.than.20.microm","Populus.undiff.","Populus.tremuloides.type","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Quercus","Ulmus","Ostrya.Carpinus","Acer.undiff.","Acer.rubrum.type","Acer.negundo.type","Acer.saccharum.type","Celtis","Juglans.nigra","Juglans.cinerea","Salix","Shepherdia.canadensis","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Cornus.canadensis","Cornus.sericea.type","Corylus","Juniperus.Thuja","Ericaceae","Myrica","Tilia","Morus.rubra","Dryas","Poaceae","Ambrosia.type","Artemisia","Carya","Eupatorium","Polygonum.undiff.","Polygonum.aviculare.type","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Apiaceae","Brassicaceae","Chenopodiineae.undiff.","Iva.undiff.","Iva.xanthifolia","Dalea.purpurea","Platanus","Rumex","Sarcobatus.vermiculatus","Thalictrum","Urtica","Humulus","Cyperaceae.undiff."
1,64,417,26,15,63,2,1,35,63,118,23,0,8,0,0,0,10,0,1,0,0,0,0,0,0,0,3,0,4,28,0,0,4,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17,1911,466,30,8,60,0,5,50,71,143,27,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,7,0,4,21,0,0,6,0,0,0,0,0,0,15,2,1,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
37,3078,572,20,13,41,0,15,69,81,146,33,1,3,0,1,0,14,3,0,0,0,0,0,0,0,0,20,0,22,30,0,0,5,2,0,0,0,0,0,11,8,8,0,0,0,0,7,2,0,0,15,0,0,0,0,0,1,0,0,0,1
57,3757,440,4,13,15,0,4,62,76,205,10,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,8,0,0,10,0,0,1,0,0,0,0,0,0,5,7,2,0,0,0,0,3,0,0,1,5,0,0,0,0,0,1,0,0,0,0
77,4436,553,10,0,8,0,2,79,91,174,39,1,6,0,0,0,14,0,6,0,0,0,0,0,0,0,16,0,5,24,2,0,9,4,0,0,0,0,0,27,16,2,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0
97,5114,512,0,1,7,0,1,49,59,227,11,0,3,0,0,0,34,5,0,0,0,0,0,0,0,0,7,0,0,14,0,0,1,4,0,0,0,0,0,25,27,9,0,0,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0
117,5793,489,2,5,6,0,3,41,71,235,9,0,2,0,1,0,17,5,1,0,0,0,0,0,0,0,11,0,0,12,0,0,4,4,0,0,0,0,0,12,21,7,0,0,0,0,2,0,0,0,14,0,0,0,0,0,1,0,0,0,3
137,6472,602,7,0,3,1,2,91,88,147,26,0,2,0,0,0,8,2,3,0,0,0,0,0,0,0,19,0,2,18,0,1,5,13,1,0,0,0,0,29,68,10,0,0,0,0,8,0,0,0,43,0,2,0,0,0,0,0,0,0,3
157,7208,532,7,4,9,0,1,68,84,205,23,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,9,0,1,11,0,0,2,5,1,0,0,0,0,13,32,13,0,0,0,0,6,0,0,0,25,0,0,0,0,0,1,0,0,0,3
177,7959,548,3,7,11,0,2,57,108,188,15,0,2,0,0,0,5,2,1,0,0,0,0,0,0,0,13,0,7,0,0,0,2,9,0,0,0,0,0,10,50,4,0,0,0,0,12,1,0,0,37,0,0,0,0,0,0,0,0,0,2
197,8710,605,34,2,7,0,5,85,142,203,23,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,1,8,1,0,0,0,0,6,24,2,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,2
217,9460,560,87,11,39,0,5,17,127,79,17,1,20,0,0,0,21,23,7,0,0,0,0,0,0,0,28,0,1,3,0,0,5,10,0,0,0,0,0,7,27,2,0,0,0,0,1,0,0,0,21,0,0,0,0,0,1,0,0,0,0
237,NA,550,15,14,48,0,10,4,39,93,47,6,14,1,1,0,43,93,0,1,0,0,0,0,0,0,19,1,0,0,0,0,18,22,0,0,0,0,0,6,15,6,2,0,0,0,6,1,0,0,21,0,0,0,0,0,0,0,3,0,1
257,NA,422,37,3,31,0,4,12,84,110,11,1,14,0,0,0,11,15,5,0,0,0,0,0,3,0,9,0,2,2,0,0,5,8,0,0,0,0,0,15,14,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0
277,NA,436,18,15,17,0,2,15,72,70,24,1,11,0,0,0,35,16,7,2,0,0,0,0,0,0,17,0,10,1,1,0,4,5,2,0,0,0,0,13,22,8,1,0,0,0,6,0,0,0,36,0,0,0,0,1,3,0,1,0,0
297,NA,346,12,7,14,0,2,0,29,58,5,1,17,0,0,0,23,35,0,1,0,0,0,1,0,0,22,0,0,2,0,0,3,21,0,0,0,0,0,15,17,10,1,0,0,1,2,1,1,0,38,0,0,0,0,0,3,2,1,0,1
317,NA,397,13,1,36,0,2,7,111,116,4,0,10,0,0,0,15,8,0,0,0,0,0,0,0,0,6,0,2,1,0,0,3,8,0,0,0,0,0,15,16,4,1,0,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,1
337,NA,405,13,9,20,0,3,17,109,130,18,1,6,0,0,0,17,20,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,6,0,0,0,0,0,8,3,0,6,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,1,0
357,NA,408,27,11,38,2,8,1,52,64,41,4,13,0,0,0,10,16,1,1,0,5,0,0,0,0,21,0,0,0,0,0,9,18,1,0,0,0,0,17,12,6,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,2,3,2,3
377,NA,498,81,5,45,0,2,3,39,75,52,11,29,0,1,0,28,34,10,0,0,0,0,0,0,0,23,0,1,1,0,0,11,10,0,0,1,0,0,10,9,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1
397,NA,401,39,12,29,0,0,10,66,80,53,0,7,0,0,0,13,27,2,0,0,3,0,0,0,0,2,0,0,1,0,0,1,25,0,0,0,0,0,7,10,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,3,0,1
437,NA,458,20,6,42,0,2,15,99,61,8,3,11,0,1,0,29,15,1,0,0,0,0,0,0,0,20,0,3,0,0,0,2,20,0,1,1,0,0,10,33,2,2,0,0,0,4,0,0,0,45,0,0,0,0,0,1,0,0,0,1
477,NA,384,14,4,18,0,2,2,65,81,4,0,11,1,0,0,18,25,0,0,0,1,0,0,0,0,34,0,0,1,0,0,0,15,1,0,0,0,0,11,41,3,0,0,0,0,2,2,0,0,22,0,0,0,0,1,0,2,0,0,3
497,NA,510,97,11,33,0,3,16,111,68,15,4,9,0,0,0,15,23,1,0,0,0,0,0,0,0,16,1,1,2,2,0,6,14,0,2,0,1,0,9,9,5,0,1,0,0,5,0,0,0,26,0,1,0,0,0,3,0,0,0,0
557,NA,437,49,8,27,0,1,14,86,38,15,1,6,0,1,0,28,23,4,1,1,0,0,0,0,0,26,0,1,1,0,1,8,17,1,0,1,0,0,13,16,3,0,0,0,0,5,2,0,0,35,0,0,0,0,0,1,0,0,3,0
577,NA,469,54,17,83,0,10,3,41,87,10,1,5,0,1,1,18,43,0,0,0,2,0,0,0,0,13,0,1,0,0,0,2,17,0,0,0,0,0,14,18,7,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3
617,NA,424,45,11,30,0,4,8,73,63,7,3,11,0,5,0,18,21,2,0,0,0,0,0,0,0,20,0,0,0,0,0,3,16,0,0,0,0,1,7,37,4,0,0,0,0,7,0,0,0,24,1,0,0,0,0,0,0,0,0,3
637,NA,451,33,23,42,0,7,15,74,74,14,0,4,0,0,0,12,31,1,0,0,0,0,0,0,0,12,0,1,0,0,0,2,11,0,0,0,0,0,15,47,7,2,0,0,0,4,1,0,0,17,0,0,0,0,0,2,0,0,0,0
677,NA,504,74,17,79,0,5,15,97,82,9,0,6,0,7,0,21,10,8,1,0,0,0,0,1,0,13,0,0,1,0,0,4,11,0,0,0,0,0,8,6,2,5,0,0,0,1,1,0,0,16,0,0,2,0,0,0,0,0,0,2
737,NA,468,76,18,26,0,5,8,88,51,9,7,7,0,6,1,18,37,5,3,0,1,0,0,0,0,16,1,0,2,0,0,8,18,0,0,0,0,0,16,9,3,0,0,0,0,7,0,1,0,20,0,0,0,0,0,0,0,0,1,0
797,NA,472,26,6,25,0,2,17,117,86,14,4,14,0,16,0,23,46,5,1,0,0,0,2,0,2,7,0,0,0,0,0,10,15,0,0,0,0,0,6,5,0,3,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,2,2,2
