"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Myrica","Populus","Poaceae","Aquifoliaceae","Tilia","Castanea","Corylus","Salix","Asteraceae.subf..Asteroideae.undiff.","Carya","Rosaceae.undiff.","Thalictrum","Juglans","Amaranthaceae.undiff.","Sanguisorba","Taxus","Trees.undiff.","Platanus","Sarcobatus.vermiculatus","Rhamnaceae.Vitaceae","Shepherdia"
0,50,436,13,8,1,235,1,3,2,14,7,1,1,56,14,10,8,6,2,9,4,16,7,1,3,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,167,392,16,1,0,198,0,4,0,18,3,3,1,51,14,17,3,14,0,25,5,8,7,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,402,409,22,3,0,218,0,7,0,11,4,2,2,54,13,8,10,10,0,16,2,14,6,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,637,453,20,0,0,272,1,5,0,22,2,0,1,11,27,26,9,8,0,14,2,6,15,4,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,872,415,11,0,0,210,0,5,0,31,3,1,2,14,23,42,5,7,0,15,4,17,11,9,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
88,1084,388,24,0,1,205,0,2,0,17,4,1,6,47,16,10,8,7,0,23,1,4,5,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
108,1238,437,16,1,0,221,0,3,0,35,3,0,6,22,12,26,11,10,0,36,2,16,8,3,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,1315,487,7,0,0,300,4,5,0,36,8,2,4,12,19,20,12,11,0,14,7,8,11,1,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1392,400,16,0,0,208,0,5,0,31,3,1,3,10,25,23,3,12,0,28,2,19,3,2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
148,1547,397,19,1,1,237,0,4,0,31,2,2,3,3,14,15,8,6,0,23,2,14,5,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
168,1701,406,7,0,0,217,0,3,1,21,2,0,6,12,13,35,12,12,0,16,3,23,8,6,3,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
185,1832,323,19,0,0,173,0,2,0,24,1,2,1,10,23,30,1,6,0,18,1,5,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1987,412,19,0,1,232,1,3,0,29,5,1,2,5,25,20,6,4,0,20,4,13,11,3,1,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,2141,290,6,0,0,171,0,3,0,19,1,0,2,2,12,15,9,7,1,17,1,7,10,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
245,2295,368,11,0,0,182,0,2,0,31,5,0,2,3,21,36,6,7,0,20,5,12,10,6,0,3,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,2450,417,14,0,1,222,1,3,0,19,2,1,4,9,29,33,5,5,0,31,7,6,9,8,3,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
285,2604,366,12,0,0,181,2,5,0,30,2,2,1,7,11,23,15,8,0,25,4,14,12,5,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
305,2759,342,12,0,1,181,1,3,0,34,1,0,2,7,14,34,6,4,0,22,1,3,8,3,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
