"sample.depths","sample.ages","Abies","Acer.saccharum","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Dryopteris.type","Equisetum","Fagus","Fraxinus.nigra","Fraxinus.undiff.","Impatiens","Indeterminable","Juglans.cinerea","Larix","Nuphar","Ostrya","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rumex","Sagittaria","Salix","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus"
0,0,2,15,0,49,1,31,1,0,1,0,24,3,3,4,1,5,11,0,1,3,4,3,1,5,14,0,3,0,5,0,37,27,0,1,1,9,0,0,6,13,0,0,0,4,6,2
10,31,0,3,0,0,13,55,0,0,5,1,1,0,0,0,1,9,15,15,9,4,1,5,0,0,14,0,4,0,1,3,66,13,0,0,22,3,0,0,4,0,1,0,1,4,1,2
40,126,1,3,0,167,2,43,0,0,20,0,8,0,6,0,0,7,14,1,21,2,6,4,0,0,16,0,3,0,9,0,35,36,0,1,10,5,1,1,37,0,0,1,0,6,2,6
60,836,3,3,0,10,0,0,2,0,0,0,13,1,0,0,0,1,3,0,2,2,4,3,1,0,19,0,14,0,1,2,71,1,0,0,2,4,0,0,3,0,0,0,4,19,4,2
80,1763,2,3,7,4,0,3,2,0,1,0,7,1,0,0,0,5,5,4,9,3,3,0,0,0,22,1,20,0,4,0,50,3,0,0,6,3,0,0,1,0,0,0,3,10,0,3
120,3616,1,2,1,0,0,1,0,0,0,0,2,1,0,0,2,1,4,3,17,1,4,0,0,0,26,0,48,0,2,1,45,1,0,0,2,5,0,0,0,0,0,0,3,5,0,5
140,5144,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,20,2,1,1,0,0,8,0,6,0,1,0,58,0,0,0,1,2,0,0,1,0,0,0,3,37,0,1
170,6708,0,2,0,1,0,3,0,0,0,0,2,1,0,0,1,1,4,0,6,2,1,1,1,0,15,1,11,0,0,0,39,0,0,0,0,5,0,0,2,0,0,0,3,26,0,4
200,7668,0,2,0,0,0,0,0,2,3,0,1,0,0,0,1,2,6,0,10,0,2,1,0,0,11,0,15,0,3,0,62,0,1,0,0,3,0,0,3,0,0,0,3,42,0,3
240,8203,0,0,0,0,2,0,1,4,4,0,1,0,0,0,0,3,2,1,14,1,1,0,0,0,11,0,11,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,19,0,1
260,8471,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0,0,1,0,0,3,0,0,0,2,2,107,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1
280,8738,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,1,0,0,1,0,0,7,0,2,1,3,0,81,8,0,0,0,2,0,0,0,0,0,0,0,4,2,3
320,9273,1,0,0,2,0,0,0,0,0,0,5,0,0,1,1,1,14,0,0,1,1,1,0,0,12,0,7,0,2,4,74,1,0,0,0,8,0,0,1,0,0,0,1,8,0,3
360,9809,2,2,0,0,0,0,0,0,5,0,5,0,0,0,2,5,11,0,1,0,2,1,0,0,12,0,6,1,2,3,122,1,0,0,0,7,0,0,1,0,0,0,1,10,2,2
400,NA,1,2,2,3,2,1,0,0,2,0,2,0,0,0,1,3,6,0,7,1,0,0,0,0,11,0,7,0,3,3,75,1,0,0,3,3,0,0,2,0,0,0,0,9,0,2
422,NA,2,0,0,0,0,6,0,0,3,0,2,1,0,1,0,3,2,0,4,1,0,0,0,0,3,0,5,0,0,2,99,1,0,0,14,3,0,0,1,1,0,0,0,3,0,3
440,NA,2,0,0,0,0,1,0,0,4,0,6,1,0,0,0,5,10,0,1,2,2,0,0,0,20,0,13,0,1,8,68,0,0,0,0,6,0,0,0,0,0,0,0,2,1,1
470,NA,5,0,0,0,1,2,0,0,8,0,11,1,0,0,1,5,19,0,1,4,0,0,0,0,12,0,10,0,3,10,90,10,1,0,5,4,0,0,5,0,0,0,0,0,4,3
480,NA,3,0,0,2,0,2,0,0,5,0,6,0,0,0,0,1,10,0,1,0,0,0,0,0,3,0,7,0,2,10,65,4,0,0,5,3,0,0,1,0,0,0,0,2,1,3
485,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,7,16,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
