"sample.depths","sample.ages","Acer.negundo","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Ceanothus","Celtis","Cephalanthus","cf..Menyanthes.trifoliata","Chamaecrista","Clethra","Combretaceae.Melastomataceae","Cupressaceae.undiff.","Cyperaceae","Cyrilla.racemiflora","Dryopteris.type","Equisetum","Fabaceae","Fagus","Fraxinus","Geranium","Hydrocotyle.type","Ilex","Indeterminable","Iva.frutescens.type","Iva.xanthifolia","Juglans.nigra","Lechea","Lemna","Liliaceae","Liquidambar","Magnolia","Moraceae","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Planera.aquatica","Platanus","Poaceae.undiff.","Polygonella.polygama.type","Polygonum.amphibium.type","Populus","Pseudolycopodiella.carolinianum","Pteridium.type","Quercus","Ranunculus","Rhamnaceae.undiff.","Rhus","Rosaceae","Rumex","Rutaceae","Sagittaria","Salix","Sambucus","Secale.type","Selaginella","Serenoa","Symplocos","Taxodium","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..undiff.","Utricularia","Vitis"
480,2,0,0,0,1,11,0,0,30,2,1,7,0,0,0,0,0,0,0,0,2,2,15,0,1,0,0,1,1,0,0,0,2,1,0,0,0,4,0,13,0,0,21,6,0,0,8,0,0,4,1,446,0,0,0,0,17,2,1,2,0,0,169,0,0,1,0,2,0,3,1,0,1,0,0,0,6,0,0,1,2,5,0,0,0
496,43,0,1,1,2,8,1,0,17,2,1,11,0,0,1,3,1,1,0,0,2,5,14,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,10,7,0,0,2,0,0,0,0,630,0,0,0,1,18,0,0,0,9,0,142,0,0,0,0,2,0,1,0,0,0,0,0,1,10,0,0,0,0,5,0,1,2
512,84,0,0,4,5,11,2,0,25,1,0,3,0,0,1,1,1,1,0,0,1,10,12,0,0,0,0,1,2,0,2,1,1,1,1,0,0,0,0,6,2,1,3,3,0,0,3,0,0,3,0,507,0,0,0,0,25,3,0,1,5,2,85,0,0,3,0,1,0,1,3,1,1,0,0,0,22,1,0,0,2,5,2,0,3
528,389,0,0,0,0,0,0,0,7,1,0,7,0,1,0,0,0,0,0,0,1,8,5,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,5,0,0,1,6,1,1,2,0,0,4,0,321,0,0,0,0,9,0,0,0,0,1,65,0,0,1,1,0,0,0,1,0,0,0,0,0,11,0,1,0,2,5,0,0,0
558,1454,0,0,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,3,1,2,0,0,0,2,0,219,0,0,0,0,8,0,0,0,0,1,54,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0
574,2022,0,0,1,0,0,0,0,9,0,1,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6,0,0,4,7,6,0,4,1,0,7,0,335,0,1,0,0,14,0,0,0,2,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,2,2,0,0,0
590,2590,0,0,2,1,0,0,0,18,0,3,6,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,0,0,5,0,0,0,4,0,0,3,0,372,0,0,0,0,59,1,1,0,0,0,84,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,2,2,0,0,1
606,3158,0,0,0,3,10,2,0,37,1,0,14,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,5,0,0,1,10,0,10,0,0,0,2,0,435,0,0,0,0,82,0,0,0,0,0,136,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,2,6,0,0,0
622,3726,0,0,0,1,0,6,0,21,2,0,5,0,0,0,0,0,0,0,2,0,0,25,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,1,18,0,3,3,0,0,2,0,152,0,136,0,0,64,1,0,0,0,0,96,1,0,2,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,3,0,0,1
650,4720,0,0,4,1,1,5,0,12,1,0,3,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,2,0,193,0,0,1,0,30,0,0,0,1,0,54,0,0,0,0,0,0,24,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0
666,5288,1,0,0,1,3,2,2,15,0,0,12,0,3,0,0,1,1,0,0,0,1,6,0,0,0,0,0,2,0,9,0,3,1,0,0,0,0,0,3,0,0,2,0,0,2,3,0,0,2,0,384,1,0,0,0,38,0,1,1,0,0,106,0,0,0,0,0,0,53,1,0,0,0,0,0,1,0,0,0,4,11,0,1,0
674,5572,0,0,0,0,3,1,0,24,0,2,7,0,0,0,0,0,0,7,0,0,0,12,1,0,0,0,0,2,0,14,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,1,36,1,0,0,0,1,69,1,1,0,0,0,0,29,0,0,0,1,2,0,1,0,0,0,2,5,0,0,1
690,6140,0,0,1,1,3,1,7,29,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,9,0,0,1,1,1,0,1,2,0,2,0,124,5,227,0,0,62,0,0,0,2,0,95,0,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,0,4,8,0,3,0
706,6708,0,0,0,0,2,2,0,13,1,0,6,0,0,0,0,2,0,1,0,0,3,6,0,0,0,1,0,2,0,5,0,1,1,0,0,0,0,0,3,0,0,2,0,0,6,1,2,0,1,0,255,0,0,0,0,18,1,0,1,0,1,87,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1
722,7276,0,0,0,0,3,0,2,8,1,0,7,1,0,0,0,0,0,0,0,0,4,4,2,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,3,0,0,1,0,0,5,1,0,0,0,0,480,2,0,0,0,46,0,0,0,0,0,125,0,0,0,0,0,2,3,0,0,0,1,0,1,1,0,0,0,5,10,0,0,1
756,8483,0,0,2,65,2,16,3,31,1,2,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,12,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,0,202,0,0,0,0,44,5,1,0,0,0,123,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
764,NA,0,0,0,22,9,1,2,9,0,0,8,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,3,0,0,36,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,6,0,0,136,0,0,0,1,43,0,1,0,0,4,98,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0
773,NA,0,0,0,6,5,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,34,0,3,0,0,3,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
