"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Boraginaceae","Botrychium","Brasenia.schreberi","Brassicaceae","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","Cornus","Corylus","Crataegus.type","Cupressaceae","Cuscuta","Cyperaceae","Drosera","Dryas.type","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Huperzia.lucidula","Ilex","Impatiens","Indeterminable","Indeterminable.undiff.","Isoëtes","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopus.type","Menyanthes.trifoliata","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Parnassia","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Rhus","Ribes","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sambucus","Saxifraga.type","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Utricularia","Viburnum","Vitis","Xanthium"
25,200,0,0,0,0,0,1,2,0,11,0,0,0,3,0,25,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,4,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,3,1,13,0,7,0,0,1,0,4,11,0,0,0,0,0,5,0,1,0,0,0,0,22,0,0,0,8,0,0,0,2,2,0,0,0,0,4,0,0
80,1829,0,1,0,0,0,1,2,0,0,0,1,0,0,0,18,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,13,0,1,0,0,10,0,18,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,3,14,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,22,0,0,0,1,0,0,0,0,0,2,0,0
120,3014,0,2,0,0,0,0,2,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,7,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,3,2,16,0,0,0,1,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,9,0,0,0,1,0,0,0,0,0,2,0,0
180,4791,0,1,0,0,0,1,4,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,20,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,10,1,1,7,1,0,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,5,0,0,0,5,0,0,0,0,0,1,0,0
200,5383,0,2,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,14,0,2,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,1,1,13,1,1,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,21,0,0,0,1,0,0,0,1,0,0,0,0
220,5718,0,0,0,0,0,1,5,1,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,1,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2,1,12,2,1,0,0,0,0,14,26,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
240,5928,0,3,0,0,0,1,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
280,6348,0,11,0,0,0,0,21,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,12,0,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,14,0,0,0,2,12,2,0,0,0,1,0,0
320,6769,0,0,0,0,0,2,106,0,0,0,0,0,2,0,11,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,4,0,0,0,0,12,0,0,0,1,3,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,3,0,0,1,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,33,2,0,0,0,0,0,0
340,6971,0,4,0,0,0,2,15,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,2,2,0,0,0,0,0,0
360,7096,0,2,0,0,0,1,62,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,10,1,0,0,0,0,0,1,29,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,1,2,2,0,0,0,1,0,0
380,7221,0,2,0,0,0,2,54,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,7,0,1,0,0,2,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,12,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,12,0,0,0,2,2,4,0,0,0,1,0,0
420,7471,0,1,0,0,0,0,149,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,7,0,0,0,0,17,2,1,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,2,0,1,0,10,23,2,1,0,0,1,0,0,45,0,0,3,0,1,0,0,1,0,0,0,0,3,1,0,0,21,0,0,0,1,7,4,0,0,0,1,0,1
440,7596,0,1,0,0,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,4,1,0,0,0,2,0,0
460,7721,0,2,0,0,0,0,83,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,7,1,1,0,0,0,0,0,19,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,4,1,0,0,0,6,5,0,0,0,0,0,0
480,7809,0,0,0,0,0,0,53,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,8,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,15,1,1,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,13,1,0,0,1,10,3,0,0,0,2,0,0
520,7945,1,4,0,6,0,0,102,0,2,0,0,0,0,0,40,0,0,0,1,0,0,3,0,0,33,1,0,0,2,0,9,0,0,1,0,34,5,5,0,0,4,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,4,1,0,0,1,6,33,1,1,0,0,2,0,7,83,0,0,6,0,0,0,0,1,1,0,0,0,6,0,0,0,31,0,1,0,2,11,8,0,0,1,2,0,0
540,8012,0,3,0,2,0,0,91,1,1,0,0,0,3,0,35,0,0,1,0,0,0,1,0,0,16,0,2,0,0,0,7,0,0,2,0,30,5,3,0,0,5,0,13,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,2,2,1,4,4,0,0,2,14,48,2,1,0,0,3,0,5,110,0,0,6,0,2,0,0,0,0,0,0,0,8,0,0,1,54,1,0,0,4,8,4,0,0,0,2,1,0
560,8080,0,6,0,1,0,0,69,0,4,0,0,0,1,0,36,0,0,1,1,0,0,1,0,0,30,0,1,0,1,0,6,0,0,1,0,25,3,2,0,0,6,0,10,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,5,3,0,6,0,2,3,18,42,3,1,0,2,1,0,2,101,0,0,1,0,1,0,1,0,0,1,0,0,3,1,0,1,59,0,0,0,5,2,2,0,0,0,0,0,0
580,8402,0,5,1,0,0,0,23,1,4,0,0,0,2,0,43,0,0,4,0,0,0,1,0,0,34,0,1,0,0,0,4,0,0,0,0,29,3,2,0,0,1,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,7,2,1,5,1,2,2,22,47,1,3,0,1,0,0,4,132,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,2,87,1,1,0,3,3,2,0,2,0,1,0,0
615,9207,0,2,7,1,0,0,12,0,7,0,0,0,0,0,71,0,0,12,0,0,0,3,0,0,12,0,7,0,1,0,2,0,0,1,0,21,4,7,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,4,15,1,0,16,0,2,7,72,83,4,1,0,0,0,0,6,209,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,3,0,1,0,0,0,0,0,0
645,9896,0,2,6,0,0,0,8,0,1,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,5,6,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,6,0,1,13,0,0,5,51,94,2,3,0,8,2,0,12,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,3,3,1,0,1,0,0,0,0
675,10547,5,8,4,0,0,0,22,0,0,0,0,1,1,0,64,0,0,1,0,0,2,0,0,3,0,0,2,0,3,0,5,0,0,0,0,0,1,11,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,0,0,17,0,3,9,111,240,1,0,0,15,0,0,9,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,3,0,0,0,1,0,0,0,0
690,10775,8,4,3,6,0,4,56,0,0,0,0,0,0,0,123,0,0,1,0,0,0,1,0,0,0,0,5,2,0,0,4,0,0,0,0,0,1,13,0,0,0,0,12,0,1,0,0,0,1,0,5,0,0,4,1,0,0,0,9,0,0,0,0,1,19,0,27,30,189,535,1,2,0,22,0,1,12,81,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,6,0,0,1,6,1,3,0,0,0,0,0,0
710,11078,23,0,7,0,0,0,97,0,1,0,0,2,3,0,203,0,0,2,0,0,1,2,0,1,0,0,12,0,1,0,15,0,0,6,0,0,2,19,1,1,4,0,10,0,12,0,0,0,1,0,2,0,0,19,2,0,0,0,31,1,0,0,0,1,12,0,72,47,127,418,0,13,0,27,1,1,8,84,0,0,0,1,0,0,0,4,0,0,1,0,19,3,3,0,7,0,1,0,11,2,4,15,1,0,2,0,0
740,11367,5,0,1,0,0,0,56,0,0,0,0,2,1,0,81,0,1,0,0,0,2,0,0,1,0,0,2,0,2,0,6,0,0,1,0,0,1,11,0,0,0,0,2,0,36,0,0,0,0,0,9,0,0,6,4,0,0,0,10,1,0,0,0,0,2,0,75,41,7,98,0,6,0,8,4,0,12,21,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0,0,3,1,0,0,3,2,5,0,1,0,0,0,0
780,11836,6,0,0,0,0,0,58,0,1,1,0,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,1,0,0,0,0,0,0,0,0,11,0,88,0,0,0,0,0,7,0,0,5,0,0,0,0,13,0,0,0,0,0,8,0,300,8,12,52,0,11,0,3,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,7,0,0,2,2,3,1,4,0,0,0,0,0
820,12555,5,0,0,0,0,0,25,2,2,0,0,3,10,0,31,0,0,0,0,0,1,1,0,0,0,0,8,0,2,0,12,0,0,2,0,0,1,3,0,0,0,0,8,0,159,0,0,0,0,0,7,0,0,9,0,0,0,0,16,0,0,0,0,0,6,0,273,26,2,96,0,9,0,2,0,0,2,16,0,0,0,0,0,0,2,5,0,0,0,0,4,1,0,0,0,0,0,0,2,3,4,0,1,0,0,0,1
850,13094,7,0,0,0,0,0,9,1,1,1,0,2,1,1,21,0,0,0,0,0,1,1,0,0,0,0,1,1,16,0,24,0,0,2,0,1,1,9,0,0,0,0,4,0,139,0,0,0,0,0,0,0,0,8,1,0,0,0,32,5,0,0,0,0,17,0,137,17,3,58,0,9,0,11,6,0,0,27,0,0,0,0,0,0,0,7,0,0,0,0,8,2,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0
880,13668,1,0,0,0,0,0,3,0,3,1,0,0,5,0,28,0,0,0,0,0,7,0,1,0,0,0,0,0,4,0,23,1,0,2,0,0,0,4,0,0,0,0,15,0,38,0,0,0,0,0,0,0,0,8,0,0,0,0,12,7,0,0,0,0,13,0,306,15,0,59,0,15,0,8,1,0,3,15,1,0,0,0,0,0,0,11,0,0,0,0,3,5,1,0,0,1,0,0,0,1,10,0,1,0,0,0,0
920,14529,2,0,0,0,0,0,4,0,0,0,0,5,3,0,20,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,21,0,0,0,0,0,1,2,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,4,26,0,0,0,0,9,0,351,16,0,25,0,7,1,16,7,0,2,14,0,0,0,0,0,0,0,2,0,0,0,2,3,5,1,0,0,1,0,0,0,0,5,0,1,0,0,0,0
940,14960,3,0,0,1,0,0,5,1,1,0,0,5,6,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,25,0,0,0,0,0,0,6,0,0,0,0,7,0,44,0,0,0,0,0,0,0,0,2,1,0,0,0,6,68,0,0,0,0,25,0,294,13,2,30,0,12,0,22,9,1,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,0,1,4,5,0,1,0,0,0,0
966,NA,0,0,0,0,0,0,11,0,1,0,0,22,4,0,23,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,72,0,0,3,0,0,0,2,0,0,0,0,6,0,87,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,35,11,0,40,0,25,0,6,4,1,1,9,0,0,0,0,0,0,2,19,0,0,0,0,0,2,3,0,0,0,0,0,0,0,7,0,0,0,1,0,0
980,NA,0,0,0,0,0,1,3,0,0,0,0,7,3,0,16,0,1,0,0,0,0,2,1,0,0,0,2,0,7,0,102,0,0,0,1,1,0,2,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,12,2,0,26,1,23,0,2,1,0,0,11,10,0,0,0,0,2,0,25,0,0,0,0,0,6,9,0,0,0,0,0,4,5,0,2,2,0,0,0,0
