"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Moraceae","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Rosaceae","Lycopodium","Osmunda","Pteridium","Sphagnum","Nymphaeaceae","Sagittaria","Typha"
1,-20,5,19,17,127,0,0,2,3,0,0,6,0,0,0,0,0,0,3,6,8,9,35,0,5,21,1,1,42,2,18,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0
5,32,5,26,12,111,2,0,4,11,1,0,5,0,0,0,0,2,0,5,5,14,11,31,0,6,29,5,0,29,13,15,0,0,0,0,0,2,0,7,0,1,1,2,0,1,0,0,5
10,97,1,19,21,149,0,0,3,4,0,0,0,0,0,0,0,0,0,0,7,4,8,33,0,3,14,2,3,30,4,16,0,5,0,0,0,4,1,4,0,0,1,0,0,0,0,0,0
12,123,1,11,9,186,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,6,31,0,1,14,0,0,43,5,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,136,3,12,6,161,0,0,1,1,0,0,1,0,0,2,0,0,0,0,5,5,22,60,0,1,5,0,2,29,1,6,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,162,6,19,11,134,0,0,5,4,0,0,3,0,0,0,0,0,0,2,3,0,12,77,0,0,18,0,3,35,10,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,226,2,17,9,115,0,0,3,0,0,0,5,0,0,0,0,0,0,3,2,4,22,60,0,0,9,3,0,52,15,1,0,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
30,356,1,24,6,116,0,0,1,5,0,0,4,0,0,0,0,1,0,2,1,2,34,60,0,1,14,0,2,57,6,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
40,486,6,6,5,128,0,0,1,0,1,0,2,5,0,0,0,1,0,2,5,2,19,119,0,0,9,1,3,25,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
50,616,1,8,5,152,0,0,1,2,0,0,3,2,0,0,0,0,1,3,4,4,20,81,0,0,4,0,0,39,7,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
60,745,5,18,4,121,0,1,0,0,0,0,4,6,0,0,1,0,0,3,4,0,17,78,0,0,15,1,1,44,4,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
70,875,2,20,9,114,2,0,4,3,0,0,3,0,0,0,0,0,0,5,2,3,29,99,0,0,13,0,3,24,9,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
80,1005,2,9,8,144,0,0,1,0,0,0,4,0,0,0,0,0,0,3,1,1,16,75,0,0,11,0,0,38,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1135,3,16,7,90,0,0,0,0,1,1,1,0,0,0,0,0,0,7,1,2,41,111,0,0,14,2,3,17,10,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,1200,1,15,8,73,0,0,3,3,0,0,5,0,1,0,0,0,0,3,2,4,13,159,0,0,23,1,2,4,2,0,0,2,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0
100,1264,2,10,22,47,0,0,2,2,0,1,5,0,0,0,0,0,0,9,1,4,41,111,1,0,28,0,7,14,10,2,0,2,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0
110,1394,0,29,15,31,0,1,2,0,0,0,4,0,0,0,0,0,0,8,1,2,35,136,0,0,36,1,2,9,11,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,1459,1,35,10,47,0,0,1,0,0,0,3,0,0,0,0,0,0,5,1,3,19,153,0,0,31,0,3,9,9,1,0,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
120,1524,0,17,10,43,0,0,4,0,0,0,0,0,0,0,0,0,0,7,1,4,44,155,0,0,17,0,3,9,9,3,0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
128,1628,1,17,8,34,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,3,25,151,0,0,31,1,2,16,14,4,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
129,1641,5,13,6,36,0,1,2,3,0,1,4,0,0,0,0,0,0,3,1,4,36,131,1,2,14,0,4,49,6,2,0,8,1,0,0,5,0,2,0,0,1,0,0,1,0,0,0
130,1654,2,7,12,29,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,2,20,143,0,0,20,0,2,71,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,1667,1,17,23,31,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,15,148,0,0,18,1,2,48,11,4,0,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
132,1680,0,11,10,38,0,0,4,0,0,1,2,0,0,0,0,1,0,4,0,0,7,141,0,0,33,0,2,45,14,3,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
134,1706,2,18,8,59,0,0,1,0,0,0,4,0,1,0,0,0,0,3,1,1,24,153,1,0,18,0,2,12,8,6,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
136,1731,2,13,9,126,0,0,2,0,0,0,1,0,0,0,0,0,0,2,1,2,12,116,0,0,24,0,0,5,5,2,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0
138,1757,2,15,16,70,0,0,1,0,1,0,3,0,0,1,0,0,0,2,0,1,7,149,1,0,25,0,2,9,7,5,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
140,1783,2,3,9,68,0,0,1,1,0,0,4,0,0,0,0,0,0,2,0,5,29,158,0,0,25,1,1,4,5,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
142,1809,3,11,11,75,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,6,58,122,0,1,19,0,0,0,8,4,0,4,2,0,0,2,1,1,0,0,0,1,0,0,0,1,0
146,1861,2,9,11,35,0,0,3,4,0,0,1,0,0,0,0,0,0,4,0,1,69,152,0,2,24,0,2,0,8,1,0,5,1,0,0,0,0,0,0,0,1,0,0,1,2,0,2
150,1913,1,8,5,65,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,2,43,155,0,0,19,0,0,0,13,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0
155,1978,1,14,6,60,0,0,3,2,0,0,1,0,1,1,0,0,0,5,1,10,49,113,0,2,30,1,1,0,6,6,0,4,3,0,0,1,0,2,0,0,1,0,1,1,0,0,0
160,2043,2,8,5,53,0,0,1,3,0,1,3,0,2,0,0,0,0,1,0,3,69,146,0,0,15,1,1,0,6,2,0,4,1,0,0,4,1,1,0,1,0,0,0,0,1,0,0
165,2108,3,14,4,54,0,1,4,0,0,1,1,0,0,0,0,0,0,1,1,2,66,132,1,1,25,1,1,0,11,1,0,4,2,0,0,3,0,1,0,0,1,0,2,0,0,0,0
170,2173,4,8,2,34,0,0,2,0,0,0,2,0,0,0,0,0,0,10,0,10,141,110,0,3,13,1,2,0,12,7,0,4,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0
180,2302,0,1,8,61,1,0,2,0,2,0,4,0,0,0,0,0,0,0,0,3,24,160,0,1,16,0,1,0,23,9,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
190,2432,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,22,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2497,2,1,32,35,1,0,1,2,0,0,1,0,0,0,0,0,0,1,10,12,0,182,0,0,17,0,1,0,9,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
210,2692,2,1,6,22,1,0,1,1,1,0,8,0,1,0,0,0,0,0,23,19,2,210,0,0,13,0,0,0,14,7,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
226,2899,1,3,8,30,3,0,2,4,0,0,3,0,1,0,0,0,0,2,22,13,1,152,0,1,26,2,0,0,33,2,0,1,0,0,0,2,1,2,0,0,2,0,2,0,0,0,0
