"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,0.001104972,0.006629834,0.003314917,0,0.016574586,0.001104972,0,0.055248619,0.006629834,0.006629834,0,0,0.030939227,0.012154696,0,0.002209945,0.00441989,0.002209945,0.015469613,0.003314917,0,0,0.011049724,0.001104972,0,0,0.001104972,0,0.096132597,0.00441989,0.001104972,0,0,0.002209945,0.057458564,0.011049724,0.132596685,0,0,0.135911602,0,0.001104972,0,0,0,0.002209945,0.003314917,0,0.109392265,0.001104972,0.001104972,0.016574586,0.003314917,0,0.00441989,0.007734807,0.005524862,0,0,0.002209945,0,0.022099448,0.101657459,0.001104972,0,0,0.002209945,0.086187845,0.005524862,0,0,0.001104972
8,-35,0,0.005827506,0.005827506,0,0.016317016,0,0,0.055944056,0.002331002,0.003496503,0.001165501,0,0.029137529,0.009324009,0,0.001165501,0.003496503,0.003496503,0.009324009,0.005827506,0,0,0.011655012,0.003496503,0.001165501,0,0.001165501,0,0.074592075,0.009324009,0.003496503,0.002331002,0,0.004662005,0.05011655,0.003496503,0.162004662,0,0,0.145687646,0,0.003496503,0,0,0,0.003496503,0.006993007,0,0.094405594,0.002331002,0.001165501,0.011655012,0,0,0.002331002,0.01048951,0.002331002,0,0,0.001165501,0,0.022144522,0.092074592,0.003496503,0,0,0,0.099067599,0.015151515,0,0,0.002331002
16,-13,0.00109529,0.007667032,0.002190581,0,0.026286966,0,0,0.047097481,0.002190581,0.007667032,0.00109529,0,0.027382256,0.013143483,0,0,0.004381161,0.006571742,0.005476451,0.002190581,0,0.00109529,0.009857612,0,0,0,0,0,0.092004381,0.005476451,0.002190581,0,0,0.002190581,0.047097481,0.006571742,0.13033954,0,0.00109529,0.156626506,0.004381161,0.003285871,0,0,0,0.007667032,0.003285871,0,0.098576123,0.00109529,0,0.009857612,0,0,0,0.006571742,0,0,0,0.00109529,0,0.027382256,0.104052574,0.002190581,0,0,0.002190581,0.112814896,0.006571742,0,0,0
24,31,0,0.003061224,0.002040816,0,0.030612245,0,0,0.075510204,0.005102041,0.015306122,0.001020408,0,0.036734694,0.012244898,0,0.001020408,0.001020408,0.007142857,0.009183673,0.004081633,0.002040816,0.001020408,0.012244898,0,0,0,0.001020408,0,0.035714286,0.010204082,0.004081633,0,0,0.005102041,0.023469388,0.007142857,0.069387755,0.003061224,0,0.178571429,0.006122449,0,0,0,0.001020408,0.007142857,0.004081633,0,0.097959184,0,0,0.01122449,0.001020408,0.001020408,0.001020408,0.013265306,0,0,0,0,0,0.023469388,0.093877551,0.004081633,0,0,0,0.158163265,0.018367347,0,0,0.001020408
32,53,0,0.005506608,0.005506608,0,0.06277533,0,0,0.051762115,0.004405286,0.012114537,0.002202643,0,0.044052863,0.011013216,0,0,0.002202643,0.012114537,0.019823789,0.004405286,0.001101322,0,0.023127753,0.002202643,0,0,0,0,0.035242291,0.019823789,0,0,0,0.005506608,0.014317181,0.008810573,0.068281938,0.001101322,0,0.223568282,0.004405286,0,0,0,0.001101322,0.007709251,0.004405286,0,0.053964758,0,0.001101322,0.008810573,0,0,0.001101322,0.015418502,0,0,0,0,0,0.002202643,0.088105727,0.002202643,0,0,0.002202643,0.149779736,0.011013216,0,0,0.005506608
40,79,0.001219512,0.008536585,0.003658537,0,0.082926829,0.001219512,0,0.041463415,0.002439024,0.018292683,0,0,0.051219512,0.02804878,0,0,0.002439024,0.003658537,0.015853659,0.007317073,0,0,0.042682927,0,0,0,0.001219512,0,0.030487805,0.018292683,0.002439024,0,0,0.002439024,0.01097561,0.007317073,0.058536585,0.004878049,0,0.243902439,0.008536585,0,0,0,0.001219512,0.014634146,0.002439024,0,0.020731707,0,0,0.009756098,0,0,0,0.012195122,0.001219512,0,0,0.001219512,0,0.004878049,0.062195122,0.001219512,0,0,0,0.159756098,0.006097561,0,0,0.002439024
48,128,0,0.004032258,0.001344086,0,0.075268817,0,0,0.060483871,0.00672043,0.018817204,0.001344086,0,0.073924731,0.014784946,0,0,0.002688172,0.01344086,0.021505376,0.00672043,0.001344086,0,0.024193548,0,0,0,0,0,0.02688172,0.022849462,0.001344086,0,0,0.005376344,0.00672043,0.002688172,0.067204301,0.001344086,0.001344086,0.294354839,0.004032258,0,0,0,0,0.018817204,0.002688172,0,0.017473118,0,0.001344086,0.008064516,0,0,0,0.002688172,0,0,0,0.002688172,0,0,0.049731183,0.001344086,0,0,0.001344086,0.10483871,0.028225806,0,0,0
56,197,0,0.00388601,0.002590674,0,0.064766839,0,0,0.058290155,0.002590674,0.014248705,0.005181347,0,0.073834197,0.018134715,0,0.001295337,0.006476684,0.006476684,0.014248705,0,0,0,0.03238342,0,0,0,0,0,0.020725389,0.024611399,0.005181347,0,0,0.002590674,0.015544041,0.007772021,0.055699482,0.00388601,0,0.297927461,0.002590674,0,0,0,0,0.012953368,0,0,0.027202073,0,0,0.007772021,0.001295337,0,0.002590674,0.006476684,0,0,0,0,0,0.005181347,0.051813472,0.005181347,0,0,0,0.117875648,0.019430052,0,0,0.001295337
64,266,0,0.009077156,0.009077156,0,0.054462935,0.001512859,0,0.046898638,0.001512859,0.018154312,0.003025719,0,0.048411498,0.024205749,0,0,0.006051437,0.007564297,0.019667171,0.003025719,0.001512859,0,0.02269289,0,0.001512859,0,0,0,0.025718608,0.02118003,0.009077156,0,0,0.006051437,0.02269289,0.007564297,0.072617247,0.001512859,0,0.358547655,0.006051437,0.001512859,0,0,0,0.013615734,0.004538578,0,0.012102874,0,0,0.006051437,0,0,0.003025719,0.004538578,0,0,0,0,0,0.003025719,0.031770045,0.001512859,0,0,0,0.093797277,0.015128593,0,0,0
72,434,0,0.005484461,0.005484461,0,0.073126143,0,0,0.104204753,0,0.023765996,0.003656307,0,0.021937843,0.003656307,0,0,0.003656307,0.012797075,0.032906764,0.003656307,0.003656307,0,0.018281536,0,0.001828154,0,0.001828154,0,0.014625229,0.005484461,0.010968921,0,0,0.001828154,0.012797075,0,0.067641682,0.003656307,0,0.469835466,0.003656307,0,0,0,0,0.032906764,0.001828154,0,0.005484461,0,0.001828154,0.007312614,0,0,0,0.007312614,0.001828154,0,0,0.001828154,0,0,0.012797075,0.001828154,0,0,0,0.012797075,0.001828154,0,0,0
