"sample.depths","sample.ages","Ambrosia.type","Amorpha.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Cyperaceae","Fabaceae.undiff.","Ostrya.Carpinus","Plantago.major","Platanus","Quercus","Rumex","Salix","Sambucus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Fraxinus","Juglans","Pinus","Poaceae","Dalea","Rosaceae","Solanaceae","Abies","Ephedra.viridis.type","Humulus.type","Lamiaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Picea","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Sarcobatus.vermiculatus","Acer","Primulaceae","Ranunculaceae.undiff.","Vitis","Brassicaceae","Liquidambar","Malvaceae","Saxifragaceae","Thalictrum","Viburnum","Stachys.type","Corylus","Cupressaceae","Fagus","Viscaceae","Populus","Nyssa","Elaeagnus","Galium","Tilia","Castanea","Urtica.type","Euphorbiaceae","Tsuga","Scrophulariaceae","Morus","Rhamnus","Polemonium","Shepherdia.canadensis","cf..Hypericum"
15,1080,0.0278357689631176,0.00139178844815588,0.0125260960334029,0.00278357689631176,0.00139178844815588,0.00139178844815588,0.00974251913709116,0.720946416144746,0.00069589422407794,0.00069589422407794,0.00069589422407794,0.00556715379262352,0.0368823938761308,0.00069589422407794,0.00139178844815588,0.00208768267223382,0.0215727209464161,0.0069589422407794,0.00974251913709116,0.00208768267223382,0.00069589422407794,0.00069589422407794,0.0661099512874043,0.0633263743910926,0.00069589422407794,0.00069589422407794,0.00069589422407794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1411,0.0583190394511149,0,0.0188679245283019,0.0120068610634648,0.00343053173241852,0,0.113207547169811,0.216123499142367,0,0.00171526586620926,0,0.0120068610634648,0.0771869639794168,0,0.00514579759862779,0,0.0737564322469983,0.00857632933104631,0,0.00343053173241852,0.0137221269296741,0.00857632933104631,0.149228130360206,0.198970840480274,0,0,0,0.00171526586620926,0.00171526586620926,0.00171526586620926,0.00343053173241852,0.00343053173241852,0.00171526586620926,0.00514579759862779,0.00171526586620926,0.00171526586620926,0.00171526586620926,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1729,0.0421052631578947,0.00263157894736842,0.025,0.00789473684210526,0.00789473684210526,0,0.0907894736842105,0.376315789473684,0,0.00131578947368421,0,0.0131578947368421,0.0960526315789474,0.00131578947368421,0.00263157894736842,0,0.0644736842105263,0.00657894736842105,0.00921052631578947,0.00526315789473684,0.00131578947368421,0.00394736842105263,0.106578947368421,0.111842105263158,0.00131578947368421,0,0.00131578947368421,0,0.00131578947368421,0,0.00394736842105263,0,0,0.00394736842105263,0,0.00263157894736842,0,0.00263157894736842,0.00131578947368421,0.00263157894736842,0.00131578947368421,0.00131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2030,0.0584518167456556,0.00157977883096367,0.0300157977883096,0.0110584518167457,0.004739336492891,0,0.195892575039494,0.255924170616114,0,0.00789889415481832,0,0.0126382306477093,0.102685624012638,0.00315955766192733,0,0,0.0347551342812006,0.004739336492891,0,0.00789889415481832,0.009478672985782,0.00315955766192733,0.107424960505529,0.109004739336493,0,0,0,0,0,0,0.00157977883096367,0,0,0.00157977883096367,0,0.018957345971564,0,0.004739336492891,0,0.00315955766192733,0,0,0.00157977883096367,0.00157977883096367,0.00157977883096367,0.00157977883096367,0.00157977883096367,0.00157977883096367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2311,0.0777777777777778,0,0.0222222222222222,0.00793650793650794,0.00634920634920635,0,0.150793650793651,0.257142857142857,0,0.00476190476190476,0,0.00317460317460317,0.10952380952381,0.00317460317460317,0.00793650793650794,0,0.0412698412698413,0.0142857142857143,0.00317460317460317,0.00158730158730159,0.00158730158730159,0,0.0873015873015873,0.161904761904762,0.00158730158730159,0,0,0.00317460317460317,0,0,0.00317460317460317,0,0,0.00317460317460317,0,0.00317460317460317,0.00158730158730159,0.00476190476190476,0,0.00476190476190476,0,0,0,0,0,0,0.00158730158730159,0.00317460317460317,0.00158730158730159,0.00476190476190476,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2572,0.0764525993883792,0.00152905198776758,0.0198776758409786,0.0137614678899083,0.00458715596330275,0,0.160550458715596,0.32262996941896,0,0.00152905198776758,0,0.00458715596330275,0.0963302752293578,0.00305810397553517,0.00152905198776758,0,0.0351681957186544,0.0137614678899083,0,0.00611620795107034,0.00458715596330275,0.00458715596330275,0.0458715596330275,0.159021406727829,0.00305810397553517,0,0,0,0,0,0.00305810397553517,0,0,0.00305810397553517,0,0.00458715596330275,0.00152905198776758,0,0,0.00305810397553517,0,0,0.00305810397553517,0,0,0,0,0,0,0,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2818,0.0706605222734255,0.00153609831029186,0.0261136712749616,0.00460829493087558,0.00307219662058372,0,0.202764976958525,0.271889400921659,0,0.00153609831029186,0,0.010752688172043,0.104454685099846,0.00614439324116743,0,0,0.0829493087557604,0.00614439324116743,0,0,0.00307219662058372,0.00307219662058372,0.0706605222734255,0.098310291858679,0.00307219662058372,0,0,0,0,0,0,0,0,0.00307219662058372,0,0.0122887864823349,0.00153609831029186,0.00307219662058372,0,0.00460829493087558,0,0,0,0,0,0,0,0,0.00153609831029186,0,0,0,0.00307219662058372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3053,0.0828313253012048,0,0.0331325301204819,0.00451807228915663,0.00451807228915663,0,0.180722891566265,0.274096385542169,0,0.00602409638554217,0,0.00753012048192771,0.0737951807228916,0,0,0,0.036144578313253,0.0105421686746988,0.00150602409638554,0.00602409638554217,0.00150602409638554,0.00301204819277108,0.0783132530120482,0.174698795180723,0,0,0,0,0,0,0,0,0,0.00451807228915663,0,0.00602409638554217,0,0.00301204819277108,0,0.00451807228915663,0,0,0,0,0,0.00150602409638554,0,0,0,0,0,0,0,0.00150602409638554,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3284,0.085427135678392,0,0.0385259631490787,0.0083752093802345,0.0100502512562814,0,0.212730318257956,0.219430485762144,0.0016750418760469,0.0067001675041876,0,0,0.112227805695142,0.0083752093802345,0.0016750418760469,0,0.0653266331658292,0.0100502512562814,0.0033500837520938,0.0050251256281407,0.0050251256281407,0.0067001675041876,0.0720268006700168,0.11892797319933,0.0016750418760469,0,0,0,0,0,0,0,0,0.0033500837520938,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3516,0.0698466780238501,0,0.0442930153321976,0.00340715502555366,0.00681431005110733,0,0.163543441226576,0.248722316865417,0,0.00851788756388416,0,0.00170357751277683,0.0800681431005111,0.00851788756388416,0.00340715502555366,0,0.0374787052810903,0.0136286201022147,0,0.010221465076661,0.00851788756388416,0.00170357751277683,0.0596252129471891,0.206132879045997,0,0,0,0,0,0.00170357751277683,0.00340715502555366,0.00511073253833049,0,0.00340715502555366,0,0,0,0,0,0,0,0,0,0,0,0.00170357751277683,0,0,0,0.00170357751277683,0.00170357751277683,0,0.00170357751277683,0,0.00170357751277683,0.00170357751277683,0,0,0,0,0,0,0,0,0,0,0
