"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Caprifoliaceae.undiff.","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Ribes","Ulmus","Juniperus.type","Amaranthaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Picea.undiff.","Pinaceae","Betula.undiff.","Acer.rubrum","Artemisia","Salix","Asteraceae.subf..Asteroideae.undiff.","Rosaceae.undiff.","Cerealia","Castanea.dentata","Myrica.gale","Tsuga.canadensis","Larix","Ostrya.Carpinus","Liliaceae","Carya.ovata","Betula","Fabaceae.undiff.","Populus.tremuloides.type","Sambucus","Tilia","Rhamnus.alnifolia.R..frangula","Fraxinus.pennsylvanica.type","Juglans.cinerea","Brassicaceae","Thalictrum","Ranunculaceae.undiff.","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Taxus","Alnus.viridis.type","Saxifraga.cernua.type","Pinus.resinosa.type","Shepherdia.canadensis","Caryophyllaceae","Epilobium","Populus.balsamifera.type","Potentilla.palustris.type","Asteraceae.subf..Cichorioideae","Armeria.maritima","cf..Oxyria.digyna","Oxytropis.maydelliana.type","Polygonum.viviparum","Apiaceae","Koenigia.islandica","Viburnum.edule","Viburnum.alnifolium","Fraxinus.americana.type","Juglans.nigra","Campanula.type"
5,119,0.00520833333333333,0.0520833333333333,0.1171875,0.00260416666666667,0.0911458333333333,0.0260416666666667,0.00520833333333333,0.00520833333333333,0.0442708333333333,0.0078125,0.109375,0.0260416666666667,0.00520833333333333,0.00260416666666667,0.00260416666666667,0.00260416666666667,0.00520833333333333,0.00260416666666667,0.046875,0.00260416666666667,0.00520833333333333,0.0260416666666667,0.00260416666666667,0.0104166666666667,0.0078125,0.015625,0.369791666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,475,0,0.0451127819548872,0.0977443609022556,0,0.0432330827067669,0.0169172932330827,0.0037593984962406,0,0.0225563909774436,0.0150375939849624,0.144736842105263,0.0018796992481203,0.0037593984962406,0,0.0056390977443609,0,0.0018796992481203,0.0037593984962406,0.103383458646617,0,0.0169172932330827,0.0018796992481203,0.0451127819548872,0.0112781954887218,0.0112781954887218,0,0.360902255639098,0.0037593984962406,0.0075187969924812,0.0056390977443609,0.0018796992481203,0.0018796992481203,0.0018796992481203,0.0056390977443609,0.0131578947368421,0.0018796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,712,0,0.00766871165644172,0.0291411042944785,0,0.00153374233128834,0.00153374233128834,0.00613496932515337,0.00460122699386503,0.0337423312883436,0.00153374233128834,0.226993865030675,0.0122699386503067,0.00306748466257669,0,0,0,0,0,0.116564417177914,0,0.00306748466257669,0.0153374233128834,0.0153374233128834,0.00766871165644172,0,0.00920245398773006,0.478527607361963,0,0,0,0.0107361963190184,0,0,0,0,0.0107361963190184,0.00153374233128834,0.00153374233128834,0.00153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1068,0,0.0185873605947955,0,0,0.00929368029739777,0.00371747211895911,0.00929368029739777,0.00371747211895911,0.00371747211895911,0.0148698884758364,0.191449814126394,0.00929368029739777,0.00743494423791822,0,0.00185873605947955,0,0,0,0.20631970260223,0.00557620817843866,0.0185873605947955,0.0278810408921933,0.0650557620817844,0,0.0297397769516729,0.00371747211895911,0,0,0.00185873605947955,0,0,0,0,0,0,0.00557620817843866,0.0148698884758364,0,0,0.00185873605947955,0.345724907063197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1305,0,0.0729411764705882,0.00117647058823529,0.00117647058823529,0.0105882352941176,0.00352941176470588,0.0235294117647059,0.00117647058823529,0.00117647058823529,0.00117647058823529,0.103529411764706,0.0152941176470588,0.00470588235294118,0.00117647058823529,0.00117647058823529,0,0.00117647058823529,0,0.0647058823529412,0.00588235294117647,0.0141176470588235,0.00470588235294118,0.0305882352941176,0,0.0682352941176471,0.0117647058823529,0.529411764705882,0.00235294117647059,0.00117647058823529,0.00117647058823529,0.00117647058823529,0,0,0,0,0.0129411764705882,0,0,0,0.00117647058823529,0,0.00117647058823529,0.00235294117647059,0.00117647058823529,0.00117647058823529,0.00117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1661,0,0.0177215189873418,0,0,0.00126582278481013,0.00126582278481013,0.0291139240506329,0.00506329113924051,0.00379746835443038,0.0126582278481013,0.0772151898734177,0.00886075949367089,0.00759493670886076,0,0.00253164556962025,0,0,0,0.069620253164557,0.00506329113924051,0.0468354430379747,0.00379746835443038,0.060759493670886,0,0.0164556962025316,0.00506329113924051,0.549367088607595,0.00253164556962025,0.00253164556962025,0,0.00126582278481013,0,0.00126582278481013,0,0.0215189873417722,0.0443037974683544,0,0,0,0.00126582278481013,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1898,0,0.00772200772200772,0.00193050193050193,0,0.000965250965250965,0.00482625482625483,0.0212355212355212,0.000965250965250965,0.0028957528957529,0,0.0733590733590734,0.0772200772200772,0.0154440154440154,0,0.00386100386100386,0,0,0,0.0897683397683398,0.00193050193050193,0.0028957528957529,0.00965250965250965,0.0164092664092664,0,0.0444015444015444,0.0193050193050193,0.562741312741313,0.0028957528957529,0.00193050193050193,0,0,0,0,0,0,0.027027027027027,0,0.0028957528957529,0.000965250965250965,0.000965250965250965,0,0,0.00193050193050193,0,0.0028957528957529,0,0,0.000965250965250965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2136,0,0.00403225806451613,0.00201612903225806,0,0.0141129032258065,0.00201612903225806,0.0362903225806452,0.00403225806451613,0,0.00403225806451613,0.060483870967742,0.0120967741935484,0.0161290322580645,0,0.00604838709677419,0,0,0,0.0665322580645161,0.00806451612903226,0.0262096774193548,0,0.064516129032258,0,0.0241935483870968,0.00403225806451613,0.592741935483871,0.00201612903225806,0.00604838709677419,0,0.00201612903225806,0,0,0.00201612903225806,0.00403225806451613,0.0262096774193548,0,0.00806451612903226,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2492,0,0.0136986301369863,0.0045662100456621,0,0.0243531202435312,0.0015220700152207,0.0273972602739726,0.0015220700152207,0.0015220700152207,0,0.124809741248097,0.117199391171994,0.0030441400304414,0,0.0015220700152207,0,0.0015220700152207,0,0.0700152207001522,0.0015220700152207,0.0045662100456621,0,0.0030441400304414,0,0.0350076103500761,0.015220700152207,0.514459665144597,0.0045662100456621,0.0015220700152207,0,0,0.0015220700152207,0,0,0,0.0213089802130898,0,0,0,0,0,0,0.0015220700152207,0,0.0015220700152207,0,0,0,0.0015220700152207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2847,0,0.0133333333333333,0,0,0.0148148148148148,0.00444444444444444,0.0281481481481481,0.0148148148148148,0.00444444444444444,0,0.0592592592592593,0.0251851851851852,0.0251851851851852,0,0,0,0,0,0.0814814814814815,0.00740740740740741,0.0444444444444444,0,0.139259259259259,0,0.0103703703703704,0.00592592592592593,0.497777777777778,0.00148148148148148,0.00740740740740741,0,0.00148148148148148,0.00296296296296296,0,0,0,0.00148148148148148,0,0,0,0.00592592592592593,0,0,0,0,0,0,0.00148148148148148,0,0,0.00148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
