"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Arceuthobium","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Dalea.candida","Fabaceae.undiff.","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Rumex","Thalictrum"
0,-23,0.0123152709359606,0,0.0394088669950739,0.0246305418719212,0,0.266009852216749,0.00246305418719212,0,0,0.00246305418719212,0,0,0.00246305418719212,0.0246305418719212,0.00246305418719212,0.00492610837438424,0,0,0.00246305418719212,0,0.00738916256157635,0.0320197044334975,0.270935960591133,0.0147783251231527,0.00492610837438424,0.0295566502463054,0.00492610837438424,0,0,0.0812807881773399,0.0172413793103448,0,0.0911330049261084,0,0.0172413793103448,0.00738916256157635,0,0.00246305418719212,0,0,0,0,0,0.00492610837438424,0,0.0221674876847291,0.00738916256157635,0
12,313,0.0084985835694051,0,0.0424929178470255,0.0226628895184136,0,0.286118980169972,0,0,0,0.0056657223796034,0.0056657223796034,0,0,0.0198300283286119,0.0141643059490085,0.0084985835694051,0,0,0.0028328611898017,0.0028328611898017,0.0141643059490085,0.0481586402266289,0.280453257790368,0.0056657223796034,0,0.0396600566572238,0,0,0.0056657223796034,0.110481586402266,0.0169971671388102,0,0.0198300283286119,0,0.0028328611898017,0.0113314447592068,0,0,0.0056657223796034,0,0,0,0,0.0028328611898017,0,0.0084985835694051,0.0056657223796034,0.0028328611898017
20,536,0.0222841225626741,0.00278551532033426,0.0278551532033426,0.00835654596100279,0,0.353760445682451,0.00278551532033426,0,0.00278551532033426,0.011142061281337,0,0,0,0.0417827298050139,0.00557103064066852,0.0167130919220056,0,0,0,0,0.00835654596100279,0.0278551532033426,0.194986072423398,0.00278551532033426,0.0139275766016713,0.0362116991643454,0.00835654596100279,0,0,0.147632311977716,0.0362116991643454,0,0.00835654596100279,0,0.00835654596100279,0,0,0,0,0,0,0,0,0,0,0.00278551532033426,0.00835654596100279,0
30,816,0.00615384615384615,0,0.0461538461538462,0.00615384615384615,0,0.347692307692308,0,0,0,0.00923076923076923,0.00307692307692308,0,0,0.0553846153846154,0.00307692307692308,0.0123076923076923,0.00923076923076923,0,0.00923076923076923,0,0.0123076923076923,0,0.184615384615385,0,0,0.04,0,0,0,0.172307692307692,0.0584615384615385,0,0,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0.00923076923076923,0
40,1096,0.00285714285714286,0,0.0314285714285714,0.0171428571428571,0,0.245714285714286,0,0,0,0.00857142857142857,0.00857142857142857,0,0,0.128571428571429,0.0114285714285714,0.00285714285714286,0,0,0,0,0.0171428571428571,0.0514285714285714,0.122857142857143,0,0.0171428571428571,0.0285714285714286,0.0142857142857143,0,0,0.254285714285714,0.02,0,0,0,0.00285714285714286,0,0,0.00285714285714286,0,0,0,0,0,0.00285714285714286,0,0.00857142857142857,0,0
60,1655,0,0.00835654596100279,0.0612813370473538,0.00557103064066852,0,0.259052924791086,0,0,0,0,0,0,0,0.0863509749303621,0,0,0,0,0.00278551532033426,0,0.00835654596100279,0.0278551532033426,0.197771587743733,0,0.00278551532033426,0.0501392757660167,0.00278551532033426,0,0.0139275766016713,0.236768802228412,0.0278551532033426,0,0,0,0.00278551532033426,0.00557103064066852,0,0,0,0,0,0,0,0,0,0,0,0
80,2214,0.0124223602484472,0,0.0590062111801242,0.0186335403726708,0,0.347826086956522,0,0,0,0.0062111801242236,0,0,0,0.077639751552795,0,0.0031055900621118,0,0,0.0031055900621118,0,0.0062111801242236,0.0372670807453416,0.170807453416149,0,0.0062111801242236,0.0434782608695652,0.0031055900621118,0,0.0062111801242236,0.142857142857143,0.0403726708074534,0,0,0,0.0031055900621118,0,0.0031055900621118,0,0.0031055900621118,0,0,0,0.0031055900621118,0,0,0.0031055900621118,0,0
100,2774,0.012987012987013,0,0.0681818181818182,0.0194805194805195,0,0.288961038961039,0,0,0,0,0.00974025974025974,0,0,0.0584415584415584,0.0162337662337662,0.00324675324675325,0,0,0,0,0,0.0162337662337662,0.198051948051948,0.0064935064935065,0.012987012987013,0.0292207792207792,0.00324675324675325,0,0,0.198051948051948,0.0422077922077922,0,0.00324675324675325,0,0,0,0,0.0064935064935065,0,0,0,0,0,0,0,0.0064935064935065,0,0
120,3333,0.0324675324675325,0.012987012987013,0.0584415584415584,0.00974025974025974,0,0.292207792207792,0.00324675324675325,0,0,0.0194805194805195,0.00324675324675325,0,0,0.0649350649350649,0,0.0064935064935065,0,0,0.0064935064935065,0,0.0162337662337662,0.0487012987012987,0.25974025974026,0,0.00324675324675325,0.0227272727272727,0.00324675324675325,0,0,0.116883116883117,0.0194805194805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3612,0.00740740740740741,0.00740740740740741,0.0296296296296296,0.0222222222222222,0,0.325925925925926,0.00246913580246914,0,0,0,0.00987654320987654,0,0,0.0790123456790123,0,0.00987654320987654,0,0,0,0,0.0172839506172839,0.00740740740740741,0.333333333333333,0.00246913580246914,0,0.0222222222222222,0,0,0,0.054320987654321,0.0395061728395062,0,0.00246913580246914,0,0.0148148148148148,0,0,0,0.00246913580246914,0,0,0,0,0,0,0.00987654320987654,0,0
