"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","Cerealia","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex","Ilex.Nemopanthus.undiff.","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lonicera.canadensis","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonum.viviparum","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Quercus","Rhamnus.alnifolia.R..frangula","Rosaceae","Rumex.type","Salix","Sambucus","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Unknown.undiff.","Viburnum.lentago"
10,157,23,0,1,10,0,11,3,1,5,0,1,0,2,199,0,0,1,0,1,0,5,0,6,2,1,0,0,13,0,2,3,0,0,4,1,1,1,2,2,0,0,0,0,1,1,0,2,3,0,0,0,0,0,9,36,14,5,2,27,12,1,13,0,0,0,1,1,7,0,0,13,1,0,0,0,0,3,0,0,0,16,0,0,2,2,4,1,8,0
20,314,28,1,4,9,0,8,0,1,1,0,1,0,0,184,0,0,0,0,0,0,0,0,8,3,0,0,0,19,4,2,1,0,0,1,0,1,0,0,2,0,0,0,1,0,7,0,0,0,0,0,0,2,0,7,46,8,0,0,29,2,0,2,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,1,16,0,0,4,0,1,0,0,0
45,706,43,1,0,19,1,12,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,5,1,0,0,1,42,6,0,0,0,1,3,8,2,1,0,3,0,1,0,0,2,2,1,0,0,0,0,0,2,0,1,73,14,9,3,72,22,0,2,0,0,0,1,0,13,0,0,0,0,0,0,0,0,10,0,0,1,51,0,1,7,5,7,0,3,0
70,1098,36,0,0,14,0,5,0,0,0,1,1,0,0,309,0,0,1,0,0,0,0,0,28,1,0,0,0,36,2,6,0,0,0,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37,9,1,0,63,13,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,1,0,41,0,0,2,2,1,0,0,0
95,1490,40,0,1,12,0,9,1,0,0,0,0,0,0,345,0,0,1,0,1,0,0,0,1,4,0,0,1,24,4,1,0,0,0,3,11,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,38,6,7,0,92,15,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,4,0,0,0,51,0,0,3,1,4,0,1,0
120,1882,17,0,2,6,0,8,0,1,0,0,0,0,0,217,1,0,0,0,0,0,0,0,11,2,0,0,0,37,9,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,14,2,0,0,56,7,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,2,0,0,1,22,0,0,4,0,5,0,0,0
145,2274,16,0,2,7,0,15,2,1,0,0,0,1,0,290,0,0,0,0,1,0,0,0,2,2,0,0,1,31,7,2,4,0,0,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,10,4,3,1,89,20,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,2,22,0,0,2,1,5,2,0,0
170,2666,16,0,3,17,0,6,2,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,20,6,0,0,1,46,2,4,1,0,0,3,1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,3,1,4,75,17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,0,3,0,1,0
195,3058,12,0,2,30,0,9,0,0,0,0,0,1,0,217,0,0,0,0,0,0,0,0,2,7,0,0,1,37,4,2,1,0,0,2,1,1,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,20,3,1,0,157,13,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,23,2,0,5,1,5,1,0,0
220,3450,15,0,3,12,0,7,0,0,0,0,1,0,0,245,0,0,1,0,0,0,0,0,9,1,0,0,0,23,3,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,5,4,1,0,66,11,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,2,1,0,0,16,0,0,7,1,3,3,1,1
245,3842,22,0,2,10,0,11,1,0,0,0,0,0,0,159,0,0,1,0,0,0,0,0,4,4,0,0,0,29,10,0,1,0,0,4,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,30,4,6,0,193,11,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,1,1,0,0,0
270,4234,13,1,4,19,0,10,1,0,0,0,0,0,0,303,0,0,1,0,0,0,0,0,15,4,0,0,0,39,1,1,1,0,0,5,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,18,4,1,5,104,14,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0,0,14,0,0,3,0,2,2,0,0
295,4626,7,1,0,17,0,12,2,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,3,3,0,0,1,19,10,2,0,0,0,5,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,9,3,2,0,158,17,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,1,0,1,16,0,0,7,1,4,0,0,0
320,5189,17,0,1,13,1,7,0,0,0,0,3,1,0,343,0,0,0,0,0,0,0,0,10,3,0,0,2,11,6,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,2,1,1,46,9,0,2,0,1,0,1,0,16,0,0,0,0,0,0,0,0,1,2,0,0,66,0,0,6,1,2,1,5,0
345,5753,7,0,1,12,1,12,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,4,0,0,0,0,12,14,1,1,0,0,5,1,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,10,3,6,0,113,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,89,0,0,5,2,2,1,0,0
370,6316,10,0,1,14,0,5,1,0,1,0,1,1,0,245,0,0,0,0,0,0,0,0,19,1,0,0,0,8,4,1,0,0,0,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10,6,0,2,96,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,1,0,43,0,0,5,0,0,0,1,0
395,6880,5,0,0,8,0,7,1,0,1,0,1,0,0,212,0,0,1,0,0,0,0,0,6,3,0,0,0,9,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,3,12,0,196,27,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,1,33,0,0,6,0,0,1,0,0
420,7443,50,0,3,28,1,12,1,0,1,0,1,0,0,139,0,0,1,0,0,0,0,0,8,1,0,0,1,2,8,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,18,4,0,8,326,12,0,2,0,1,0,1,0,30,0,0,0,0,0,0,0,0,2,2,0,0,19,0,0,20,1,4,2,3,0
445,8007,15,1,2,13,0,21,5,0,1,0,2,0,0,162,0,0,0,1,0,0,0,0,8,4,0,0,1,3,10,1,0,0,0,2,4,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,7,0,2,31,11,21,2,162,15,0,0,0,2,0,1,0,22,0,0,0,2,0,0,0,0,1,5,0,0,19,0,0,5,4,2,3,0,0
470,8570,83,1,2,8,0,13,23,1,4,0,2,0,0,256,0,0,0,0,1,0,0,0,38,5,0,0,0,2,3,5,0,0,0,6,0,0,0,0,15,0,0,0,0,2,13,0,0,1,0,0,0,1,0,22,44,13,40,11,224,22,0,1,0,11,0,10,0,38,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,7,4,3,3,1,0
495,9134,34,0,0,3,1,4,18,0,0,0,1,1,0,196,0,0,0,0,0,0,0,0,2,3,0,1,0,2,8,0,0,0,0,3,1,0,1,0,5,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,16,3,17,0,101,11,0,2,0,11,0,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,1,0,0,3,0
510,9472,32,0,0,6,0,4,66,0,0,0,2,1,0,162,0,0,1,0,0,0,0,0,3,2,0,2,0,0,5,0,0,0,0,0,1,0,2,0,14,0,0,0,1,2,3,0,0,0,0,0,0,0,0,4,29,7,27,3,54,16,0,1,0,4,1,27,0,26,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,5,0,3,1,0,0
520,9697,80,0,0,2,1,25,92,1,0,0,1,1,0,197,0,0,2,0,0,0,0,0,8,1,0,0,0,1,5,2,0,0,0,4,1,0,0,0,12,0,0,0,5,0,16,0,0,0,0,0,0,1,0,36,19,9,7,2,57,6,0,0,0,9,20,35,0,30,0,0,0,6,1,0,0,0,0,0,0,0,8,0,0,6,1,4,0,21,0
535,10035,17,0,0,1,0,3,30,0,3,0,0,1,0,96,0,0,0,1,0,0,0,0,6,14,0,0,1,0,4,1,1,0,0,1,0,0,11,0,20,0,0,0,1,0,15,0,0,0,0,0,0,7,0,20,74,17,14,3,31,13,0,0,0,2,0,25,2,21,0,2,0,1,0,3,0,0,0,0,0,0,3,0,0,10,0,0,4,7,0
545,10261,15,0,0,1,1,0,17,1,1,0,1,1,0,81,0,0,2,0,1,0,0,0,5,4,1,0,0,2,2,0,0,0,0,1,0,0,4,1,5,0,0,0,3,0,1,0,0,0,0,0,0,3,0,9,76,10,7,0,37,6,0,1,0,2,0,25,5,9,0,0,0,1,0,0,0,0,1,0,1,0,4,1,1,4,0,7,3,0,0
555,NA,15,0,0,3,2,4,34,1,2,0,6,4,0,208,0,1,1,0,0,0,0,0,3,18,0,0,0,0,5,0,0,0,0,5,0,1,12,0,5,1,0,0,1,1,9,0,0,0,0,0,0,7,0,1,141,43,17,0,72,16,0,2,0,3,0,41,2,23,0,2,0,10,0,0,0,2,0,0,3,0,3,0,0,4,0,7,1,1,0
570,NA,6,0,0,1,0,4,10,0,0,0,1,1,0,238,0,0,0,1,0,0,0,0,43,76,2,0,1,0,0,0,1,0,0,6,0,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,16,17,8,21,1,27,9,0,17,0,0,0,2,0,6,0,3,0,20,0,0,0,0,0,0,2,0,3,0,0,5,3,4,4,87,0
585,NA,2,0,0,0,0,5,25,0,2,0,38,2,0,82,0,1,0,2,0,0,0,8,3,115,0,0,0,1,1,0,0,0,0,5,0,1,4,0,3,1,0,0,1,1,2,0,0,0,84,0,0,4,0,2,17,8,13,2,31,14,0,10,0,1,0,10,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,1,4,2,2,1,0
595,NA,5,0,0,0,0,7,10,0,0,0,33,5,0,47,0,0,0,4,1,0,0,5,3,97,0,0,1,0,1,0,0,0,0,15,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,18,5,15,0,23,12,0,2,0,0,0,0,1,7,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
600,NA,7,0,0,1,0,3,29,1,0,0,24,3,0,125,0,0,0,2,0,0,0,2,11,54,0,0,0,3,1,0,0,0,0,18,0,0,4,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,39,10,40,0,24,11,0,23,1,0,0,4,0,9,0,1,0,16,0,0,0,0,2,0,0,0,1,0,0,3,6,1,3,18,0
605,NA,17,0,0,6,1,2,34,1,1,0,12,2,0,176,0,0,0,0,0,0,0,2,4,31,0,0,0,1,7,0,0,0,0,3,2,1,4,0,4,0,0,0,2,0,4,0,0,0,0,0,0,5,1,2,41,12,13,0,62,30,0,18,0,0,0,20,1,16,0,4,0,6,0,2,0,0,0,0,0,0,3,0,0,5,2,4,1,0,0
610,NA,24,0,0,2,0,15,44,0,2,0,46,2,0,170,1,0,0,0,1,0,0,10,10,84,0,0,0,4,2,1,0,0,0,19,5,0,2,0,8,0,0,0,1,1,5,0,0,0,0,0,0,1,0,8,49,20,35,4,69,21,0,18,0,2,0,12,0,13,0,8,0,19,1,1,1,1,3,0,3,0,5,0,0,2,7,0,2,0,0
615,NA,13,0,0,4,0,1,3,0,0,0,5,2,0,47,0,0,0,0,0,1,0,0,7,28,0,0,1,1,2,1,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,36,7,36,0,24,4,0,6,0,0,0,4,0,6,0,9,0,9,0,0,0,0,0,0,1,0,2,0,0,3,7,1,1,1,0
690,NA,7,0,0,2,0,1,15,0,0,0,3,1,0,68,0,0,0,1,0,0,0,1,1,31,0,0,1,2,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,3,0,51,5,0,5,0,0,0,0,0,6,0,1,0,3,0,2,1,0,4,0,0,0,1,0,0,1,1,0,3,0,0
705,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
720,NA,2,0,0,0,0,0,1,0,1,0,0,0,0,30,0,0,0,1,0,0,0,0,2,1,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,2,0,8,5,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0
