"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Ericaceae","Fraxinus","Juglans","Juniperus","Larix","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Eupatorium","Poaceae","Rosaceae","Thalictrum"
2,52,0,0.0238907849829352,0.0204778156996587,0.255972696245734,0,0,0,0,0,0,0,0,0.0580204778156997,0.235494880546075,0.293515358361775,0.0204778156996587,0.00341296928327645,0.0853242320819113,0,0,0,0.00341296928327645,0,0,0,0,0,0
10,433,0.00213675213675214,0,0.00641025641025641,0.155982905982906,0,0,0,0,0,0,0,0,0.0341880341880342,0.335470085470085,0.36965811965812,0.0256410256410256,0.00213675213675214,0.0598290598290598,0,0.00213675213675214,0,0.00641025641025641,0,0,0,0,0,0
20,904,0.00206611570247934,0.00619834710743802,0.00619834710743802,0.171487603305785,0,0,0,0,0,0,0,0,0.0578512396694215,0.324380165289256,0.382231404958678,0.0227272727272727,0.00413223140495868,0.0185950413223141,0,0.00206611570247934,0,0.00206611570247934,0,0,0,0,0,0
30,1368,0,0.00422832980972516,0.0126849894291755,0.143763213530655,0,0,0,0,0,0,0,0,0.0211416490486258,0.363636363636364,0.384778012684989,0.0105708245243129,0,0.0528541226215645,0,0.00211416490486258,0,0.00422832980972516,0,0,0,0,0,0
40,1819,0.00232018561484919,0.00232018561484919,0.00696055684454756,0.245939675174014,0,0,0,0.00232018561484919,0,0,0,0,0.037122969837587,0.292343387470998,0.329466357308585,0.0255220417633411,0,0.0324825986078886,0,0.00696055684454756,0,0.0162412993039443,0,0,0,0,0,0
50,2255,0.00415800415800416,0.00207900207900208,0.0103950103950104,0.11018711018711,0,0,0,0.0124740124740125,0,0,0,0,0.0457380457380457,0.334719334719335,0.38045738045738,0.0145530145530146,0,0.079002079002079,0,0.00207900207900208,0,0.00415800415800416,0,0,0,0,0,0
60,2670,0.0021551724137931,0,0.0107758620689655,0.168103448275862,0,0,0,0.0129310344827586,0,0,0,0,0.081896551724138,0.286637931034483,0.368534482758621,0.021551724137931,0,0.0344827586206897,0,0.0107758620689655,0,0.0021551724137931,0,0,0,0,0,0
70,3061,0.00421052631578947,0.00421052631578947,0,0.130526315789474,0,0,0,0.00210526315789474,0,0,0,0.00210526315789474,0.0778947368421053,0.313684210526316,0.391578947368421,0.0189473684210526,0.00631578947368421,0.0357894736842105,0,0.0105263157894737,0,0.00210526315789474,0,0,0,0,0,0
80,3424,0.00392156862745098,0.0137254901960784,0.0137254901960784,0.088235294117647,0,0,0,0.00588235294117647,0,0,0,0.0117647058823529,0.0666666666666667,0.347058823529412,0.413725490196078,0.00392156862745098,0,0.00980392156862745,0,0.00588235294117647,0,0.0117647058823529,0,0.00392156862745098,0,0,0,0
90,3757,0.00410677618069815,0.0184804928131417,0.0205338809034908,0.112936344969199,0,0,0.00205338809034908,0.00616016427104723,0,0,0,0.00616016427104723,0.0841889117043121,0.301848049281314,0.386036960985626,0.0225872689938398,0,0.00410677618069815,0,0.00205338809034908,0,0.0205338809034908,0,0.00616016427104723,0.00205338809034908,0,0,0
100,4060,0.00423728813559322,0.0233050847457627,0.0148305084745763,0.135593220338983,0,0,0.0127118644067797,0.00423728813559322,0,0,0.00423728813559322,0.0148305084745763,0.0805084745762712,0.290254237288136,0.370762711864407,0.0254237288135593,0,0,0,0.00635593220338983,0,0.00847457627118644,0,0.00211864406779661,0.00211864406779661,0,0,0
110,4335,0.00675675675675676,0.0506756756756757,0.0101351351351351,0.118243243243243,0,0,0.00675675675675676,0.0101351351351351,0,0,0.0101351351351351,0.0236486486486486,0,0,0.685810810810811,0.0304054054054054,0.00675675675675676,0.0135135135135135,0,0.0202702702702703,0,0.00675675675675676,0,0,0,0,0,0
120,4585,0.00618556701030928,0.0185567010309278,0.0103092783505155,0.115463917525773,0,0,0.00206185567010309,0.00412371134020619,0,0,0.00618556701030928,0.00824742268041237,0.131958762886598,0.257731958762887,0.389690721649485,0.0350515463917526,0.00206185567010309,0.00412371134020619,0.00206185567010309,0.00206185567010309,0,0.00206185567010309,0,0.00206185567010309,0,0,0,0
130,4811,0.0128755364806867,0.0343347639484979,0.0107296137339056,0.105150214592275,0,0,0.00858369098712446,0.00214592274678112,0,0,0.00429184549356223,0.00643776824034335,0.130901287553648,0.253218884120172,0.38412017167382,0.0236051502145923,0,0.00429184549356223,0.00643776824034335,0.00214592274678112,0,0.00429184549356223,0,0,0,0.00214592274678112,0.00429184549356223,0
140,5016,0.0156599552572707,0.0201342281879195,0.0111856823266219,0.131991051454139,0,0,0.0156599552572707,0.00223713646532438,0,0,0.00671140939597315,0.0156599552572707,0.123042505592841,0.23489932885906,0.357941834451902,0.0357941834451902,0.0111856823266219,0.00671140939597315,0.00671140939597315,0.00223713646532438,0,0.00223713646532438,0,0,0,0,0,0
150,5201,0.00216919739696312,0.0195227765726681,0.0108459869848156,0.140997830802603,0,0,0.00433839479392625,0.00433839479392625,0,0,0.00216919739696312,0.017353579175705,0.13882863340564,0.225596529284165,0.364425162689805,0.0325379609544469,0.00433839479392625,0.0086767895878525,0.00433839479392625,0.00433839479392625,0,0.0108459869848156,0,0.00216919739696312,0.00216919739696312,0,0,0
165,5460,0.00222222222222222,0.0244444444444444,0.0111111111111111,0.131111111111111,0.00222222222222222,0.00222222222222222,0.00888888888888889,0.00222222222222222,0,0,0.00222222222222222,0.00888888888888889,0.0866666666666667,0.271111111111111,0.357777777777778,0.0311111111111111,0.00444444444444444,0.00666666666666667,0.00888888888888889,0.0133333333333333,0,0.00444444444444444,0,0.00444444444444444,0.00888888888888889,0.00222222222222222,0,0.00444444444444444
170,5553,0,0.012396694214876,0.00413223140495868,0.0723140495867769,0,0,0.0103305785123967,0,0,0,0.00206611570247934,0.00206611570247934,0.132231404958678,0.283057851239669,0.415289256198347,0.0392561983471074,0.00619834710743802,0,0.00619834710743802,0.0103305785123967,0,0.00413223140495868,0,0,0,0,0,0
175,5654,0,0.0126050420168067,0.00420168067226891,0.0609243697478992,0,0,0.00630252100840336,0.00210084033613445,0,0,0.00840336134453781,0,0.100840336134454,0.321428571428571,0.422268907563025,0.0273109243697479,0.00210084033613445,0.00630252100840336,0.0105042016806723,0.00420168067226891,0,0.00420168067226891,0.00210084033613445,0,0.00420168067226891,0,0,0
180,5767,0.0102880658436214,0.0205761316872428,0.00823045267489712,0.0761316872427984,0,0,0.0123456790123457,0.00205761316872428,0.00205761316872428,0,0.00205761316872428,0.00617283950617284,0.166666666666667,0.228395061728395,0.395061728395062,0.0205761316872428,0.00617283950617284,0.0308641975308642,0.00411522633744856,0,0,0.00205761316872428,0,0.00205761316872428,0.00411522633744856,0,0,0
185,5895,0.00712589073634204,0.0261282660332542,0.00475059382422803,0.118764845605701,0,0,0.00950118764845606,0,0,0,0.0118764845605701,0.0118764845605701,0.0950118764845606,0.242280285035629,0.33729216152019,0.0688836104513064,0.00475059382422803,0.0213776722090261,0.0166270783847981,0.00475059382422803,0,0.0118764845605701,0,0.00237529691211401,0.00237529691211401,0.00237529691211401,0,0
190,6041,0.00580270793036751,0.00580270793036751,0.00386847195357834,0.0657640232108317,0.00193423597678917,0.00193423597678917,0,0,0,0,0,0,0.147001934235977,0.284332688588008,0.431334622823985,0.02321083172147,0.00193423597678917,0.00386847195357834,0.011605415860735,0.00386847195357834,0,0.00580270793036751,0,0.00193423597678917,0,0,0,0
195,6208,0.00630252100840336,0.0189075630252101,0.00210084033613445,0.0567226890756303,0,0,0.00840336134453781,0,0,0,0.00420168067226891,0,0.121848739495798,0.283613445378151,0.40546218487395,0.0441176470588235,0.00420168067226891,0.0105042016806723,0.00840336134453781,0.0105042016806723,0,0.00630252100840336,0,0.00840336134453781,0,0,0,0
200,6395,0,0.0216450216450216,0.00216450216450216,0.0952380952380952,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00865800865800866,0,0,0.00432900432900433,0.00432900432900433,0.16017316017316,0.220779220779221,0.380952380952381,0.0541125541125541,0.0064935064935065,0,0.0108225108225108,0.00865800865800866,0,0.00865800865800866,0,0.00432900432900433,0.00216450216450216,0,0,0
210,6819,0,0.0171102661596958,0.00760456273764259,0.0342205323193916,0,0,0.00380228136882129,0.00760456273764259,0,0,0.00190114068441065,0.0133079847908745,0.182509505703422,0.250950570342205,0.433460076045627,0.032319391634981,0,0,0.00760456273764259,0.00760456273764259,0,0,0,0,0,0,0,0
220,7298,0,0.0112359550561798,0.00187265917602996,0.048689138576779,0.00187265917602996,0,0.00936329588014981,0,0,0,0.0131086142322097,0.00561797752808989,0.121722846441948,0.353932584269663,0.382022471910112,0.0224719101123595,0,0,0.0112359550561798,0.0112359550561798,0,0.00187265917602996,0.00187265917602996,0,0,0,0.00187265917602996,0
230,7818,0,0,0,0.0300187617260788,0.00187617260787992,0,0.00187617260787992,0.00187617260787992,0,0,0.00562851782363977,0.00562851782363977,0.165103189493433,0.292682926829268,0.457786116322702,0.0206378986866792,0.00187617260787992,0,0.0112570356472795,0.00187617260787992,0,0,0,0.00187617260787992,0,0,0,0
240,8362,0.0137795275590551,0.00984251968503937,0.00196850393700787,0.0511811023622047,0.00393700787401575,0,0.00393700787401575,0.00393700787401575,0,0,0.00984251968503937,0.00196850393700787,0.183070866141732,0.234251968503937,0.417322834645669,0.0255905511811024,0.00196850393700787,0,0.0177165354330709,0.00590551181102362,0,0.00590551181102362,0,0.00393700787401575,0.00393700787401575,0,0,0
250,8916,0.00547445255474453,0.0072992700729927,0.00364963503649635,0.0912408759124088,0,0,0.00182481751824818,0.0072992700729927,0,0,0.00912408759124088,0.0072992700729927,0.151459854014599,0.20985401459854,0.456204379562044,0.0145985401459854,0.00182481751824818,0,0.0109489051094891,0.0072992700729927,0.00182481751824818,0.0072992700729927,0.00182481751824818,0.00364963503649635,0,0,0,0
260,9465,0.0066079295154185,0.0066079295154185,0.00220264317180617,0.140969162995595,0,0,0.00881057268722467,0,0,0,0.00440528634361234,0.0066079295154185,0.215859030837004,0.156387665198238,0.372246696035242,0.0154185022026432,0,0,0.026431718061674,0.00881057268722467,0,0.0154185022026432,0,0.0066079295154185,0.0066079295154185,0,0,0
270,9993,0,0.00904977375565611,0.0248868778280543,0.0656108597285068,0,0.00226244343891403,0.00904977375565611,0,0,0.00226244343891403,0.0113122171945701,0,0.31447963800905,0.0588235294117647,0.373303167420814,0.0203619909502262,0,0,0.0271493212669683,0.0158371040723982,0,0.0294117647058824,0,0.0248868778280543,0.00904977375565611,0,0.00226244343891403,0
280,10490,0.0044543429844098,0.022271714922049,0.0133630289532294,0.140311804008909,0,0,0.0066815144766147,0.0044543429844098,0,0,0,0.0311804008908686,0.309576837416481,0.0334075723830735,0.342984409799555,0.0267260579064588,0.0022271714922049,0,0.044543429844098,0.0066815144766147,0,0.0089086859688196,0,0.0022271714922049,0,0,0,0
290,10965,0.00595238095238095,0.00793650793650794,0.00396825396825397,0.0396825396825397,0,0,0.00198412698412698,0.0119047619047619,0,0,0,0.0555555555555556,0.400793650793651,0.00793650793650794,0.408730158730159,0.0138888888888889,0,0,0.0198412698412698,0.00793650793650794,0,0.00992063492063492,0,0.00396825396825397,0,0,0,0
