"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Corylus","Elaeagnus","Asteraceae.subf..Cichorioideae","Picea","Quercus","Salix","Ulmus","Alnus","Fraxinus","Pinus","Amaranthaceae","Poaceae","Plantago","Shepherdia","Acer.spicatum","Asteraceae.subf..Asteroideae.undiff.","Polygonaceae","Thalictrum","Cyperaceae","Populus","Rosaceae","Juglans","Ostrya.Carpinus","Ephedra","Myrica","Cupressaceae","Ericaceae","Abies","Larix","Carya"
2,12,0.00282485875706215,0.172316384180791,0.104519774011299,0.0310734463276836,0.0112994350282486,0.00282485875706215,0.00847457627118644,0.0141242937853107,0.23728813559322,0.00282485875706215,0.00847457627118644,0.0254237288135593,0.019774011299435,0.0564971751412429,0.175141242937853,0.121468926553672,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,0,0.127868852459016,0.104918032786885,0.0229508196721311,0.00327868852459016,0.00655737704918033,0.00327868852459016,0.0229508196721311,0.272131147540984,0,0.00655737704918033,0.019672131147541,0,0.078688524590164,0.19672131147541,0.118032786885246,0.00327868852459016,0,0.00327868852459016,0.00655737704918033,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,0,0.139442231075697,0.109561752988048,0.0378486055776892,0,0.0099601593625498,0,0.0179282868525896,0.151394422310757,0.00597609561752988,0.00398406374501992,0.0199203187250996,0.0139442231075697,0.127490039840637,0.247011952191235,0.111553784860558,0.00398406374501992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,49,0,0.128540305010893,0.163398692810458,0.0305010893246187,0.0130718954248366,0.00435729847494553,0,0.0239651416122004,0.187363834422658,0.00871459694989107,0.00871459694989107,0.0108932461873638,0.0065359477124183,0.14161220043573,0.196078431372549,0.0718954248366013,0,0,0,0.00217864923747277,0,0.00217864923747277,0,0,0,0,0,0,0,0,0,0,0,0
10,61,0,0.0816831683168317,0.153465346534653,0.0272277227722772,0.0099009900990099,0.00742574257425743,0.00495049504950495,0.0173267326732673,0.190594059405941,0.0123762376237624,0.00247524752475248,0.0321782178217822,0.00247524752475248,0.111386138613861,0.180693069306931,0.143564356435644,0,0,0,0.00742574257425743,0,0.00495049504950495,0.00742574257425743,0.00247524752475248,0,0,0,0,0,0,0,0,0,0
12,74,0,0.0557768924302789,0.131474103585657,0.0318725099601594,0.0119521912350598,0,0,0.0258964143426295,0.237051792828685,0.0199203187250996,0,0.0398406374501992,0.00597609561752988,0.095617529880478,0.125498007968127,0.199203187250996,0,0,0,0.0199203187250996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,86,0,0.0796019900497512,0.144278606965174,0.0298507462686567,0.0099502487562189,0,0,0.0223880597014925,0.189054726368159,0.0149253731343284,0.0124378109452736,0.0199004975124378,0.00746268656716418,0.141791044776119,0.144278606965174,0.154228855721393,0.00248756218905473,0,0,0.00746268656716418,0,0.00248756218905473,0.0149253731343284,0.00248756218905473,0,0,0,0,0,0,0,0,0,0
16,98,0,0.054320987654321,0.145679012345679,0.037037037037037,0.0148148148148148,0,0.00246913580246914,0.0222222222222222,0.2,0.0148148148148148,0.00740740740740741,0.0296296296296296,0.00987654320987654,0.14320987654321,0.0987654320987654,0.192592592592593,0.00246913580246914,0,0,0,0,0.00493827160493827,0.0172839506172839,0.00246913580246914,0,0,0,0,0,0,0,0,0,0
18,117,0,0.0289017341040462,0.235067437379576,0.0385356454720617,0.00578034682080925,0,0.00192678227360308,0.0308285163776493,0.094412331406551,0.0289017341040462,0.0115606936416185,0.023121387283237,0.00385356454720617,0.186897880539499,0.0308285163776493,0.184971098265896,0.00385356454720617,0,0,0.0366088631984586,0,0.00770712909441233,0.0423892100192678,0.00192678227360308,0.00192678227360308,0,0,0,0,0,0,0,0,0
20,142,0,0.0290697674418605,0.213178294573643,0.0232558139534884,0.0232558139534884,0,0,0.0465116279069767,0.135658914728682,0.0135658914728682,0,0.0213178294573643,0.00193798449612403,0.186046511627907,0.0251937984496124,0.180232558139535,0.00387596899224806,0,0,0.0445736434108527,0,0.00775193798449612,0.0387596899224806,0.00581395348837209,0,0,0,0,0,0,0,0,0,0
22,166,0,0.0176848874598071,0.183279742765273,0.0289389067524116,0.0160771704180064,0.00160771704180064,0.00160771704180064,0.0337620578778135,0.160771704180064,0.0176848874598071,0.00964630225080386,0.0241157556270096,0.00482315112540193,0.213826366559486,0.0385852090032154,0.180064308681672,0.00160771704180064,0,0,0.0209003215434084,0,0.00160771704180064,0.0418006430868167,0,0,0.00160771704180064,0,0,0,0,0,0,0,0
24,191,0,0.0151975683890578,0.145896656534954,0.0151975683890578,0.0121580547112462,0,0,0.0486322188449848,0.158054711246201,0.00911854103343465,0.0151975683890578,0.0151975683890578,0.00911854103343465,0.288753799392097,0.0212765957446809,0.139817629179331,0,0,0,0.0151975683890578,0,0,0.088145896656535,0.00303951367781155,0,0,0,0,0,0,0,0,0,0
26,216,0,0.0360169491525424,0.103813559322034,0.038135593220339,0.0190677966101695,0.00423728813559322,0.00211864406779661,0.038135593220339,0.25,0.0148305084745763,0.0127118644067797,0.048728813559322,0,0.188559322033898,0.038135593220339,0.144067796610169,0.00211864406779661,0,0,0.00635593220338983,0,0.00423728813559322,0.048728813559322,0,0,0,0,0,0,0,0,0,0,0
