"sample.depths","sample.ages","upland.sum","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Larix.laricina","Juniperus.communis.Thuja.occidentalis.type","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Ericaceae","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Thalictrum","Ranunculaceae.undiff.","Onagraceae","Potentilla.palustris.type"
0,-45,634,5,1,0,0,0,0,0,561,0,63,0,2,2,0,0,0,0,0,0,0,0,0,0
5,202,320,61,17,6,0,1,23,0,16,0,8,0,3,180,0,1,1,1,1,0,0,0,0,1
10,450,359,68,7,5,0,1,6,0,12,2,14,1,4,231,3,3,1,0,0,1,0,0,0,0
20,945,420,52,5,14,1,2,7,2,23,0,10,3,4,290,3,1,0,2,1,0,0,0,0,0
30,1439,349,106,9,11,0,0,24,1,18,0,6,0,2,166,4,1,0,1,0,0,0,0,0,0
40,2130,313,101,31,4,0,1,0,0,27,0,10,0,12,111,2,0,1,1,0,0,11,1,0,0
50,2820,323,49,13,1,0,0,0,0,78,3,26,0,0,134,4,0,0,1,0,2,1,0,1,10
60,3511,305,73,11,2,0,0,2,0,13,0,17,0,0,180,4,2,1,0,0,0,0,0,0,0
