"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cyperaceae","Herbs.undiff.","Picea","Platanus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Juglans","Pinus","Amaranthaceae","Poaceae","Humulus","Carya","Alnus","Acer","Ostrya.Carpinus","Salix","Cornus","Celtis","Corylus","Cupressaceae","Populus","Tilia","Abies","Larix","Shepherdia.canadensis"
0,13,0.0428265524625268,0.0149892933618844,0.00642398286937901,0.209850107066381,0.0149892933618844,0.012847965738758,0.00642398286937901,0.0578158458244111,0.019271948608137,0.00428265524625268,0.00642398286937901,0.00214132762312634,0.0471092077087794,0.535331905781585,0.0171306209850107,0.00214132762312634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,497,0.0654627539503386,0.018058690744921,0.00225733634311512,0.155756207674944,0.00225733634311512,0.00225733634311512,0.00677200902934537,0.128668171557562,0.0293453724604966,0.00451467268623025,0.00225733634311512,0.00225733634311512,0.0474040632054176,0.471783295711061,0.0519187358916479,0,0.00225733634311512,0.00225733634311512,0.00451467268623025,0,0,0,0,0,0,0,0,0,0,0
16,978,0.0648535564853557,0.0125523012552301,0,0.167364016736402,0.0104602510460251,0.00836820083682008,0.00836820083682008,0.133891213389121,0.0167364016736402,0.00418410041841004,0,0.00418410041841004,0.0523012552301255,0.426778242677824,0.0627615062761506,0,0.0125523012552301,0.00418410041841004,0.00418410041841004,0.00209205020920502,0.00209205020920502,0.00209205020920502,0,0,0,0,0,0,0,0
24,1454,0.0944558521560575,0.0390143737166324,0.00205338809034908,0.209445585215606,0.0164271047227926,0,0.0225872689938398,0.158110882956879,0.0287474332648871,0.0082135523613963,0.00205338809034908,0,0.0492813141683778,0.283367556468172,0.0657084188911704,0,0.0102669404517454,0.00205338809034908,0,0.00205338809034908,0.00205338809034908,0,0.00205338809034908,0.00205338809034908,0,0,0,0,0,0
30,1806,0.0495689655172414,0.0258620689655172,0.00646551724137931,0.196120689655172,0.0107758620689655,0,0.0150862068965517,0.103448275862069,0.0280172413793103,0.0107758620689655,0.0021551724137931,0.00431034482758621,0.0344827586206897,0.368534482758621,0.0991379310344828,0,0.021551724137931,0.00646551724137931,0.00646551724137931,0.0021551724137931,0.0021551724137931,0,0,0.0021551724137931,0.0021551724137931,0.0021551724137931,0,0,0,0
35,2095,0.0831792975970425,0.0203327171903882,0.00924214417744917,0.321626617375231,0.0184842883548983,0.00184842883548983,0.011090573012939,0.125693160813309,0.0425138632162662,0.011090573012939,0.00184842883548983,0.00369685767097967,0.0499075785582255,0.151571164510166,0.133086876155268,0,0.00369685767097967,0,0,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0,0,0
40,2379,0.0769230769230769,0.0395604395604396,0.00659340659340659,0.191208791208791,0.021978021978022,0.0021978021978022,0.0175824175824176,0.186813186813187,0.0461538461538462,0.0197802197802198,0.0131868131868132,0.0043956043956044,0.043956043956044,0.153846153846154,0.136263736263736,0,0.0153846153846154,0.010989010989011,0,0.0043956043956044,0.0021978021978022,0,0,0,0.0043956043956044,0.0021978021978022,0,0,0,0
45,2658,0.0879345603271984,0.0306748466257669,0.00613496932515337,0.23721881390593,0.0122699386503067,0.00204498977505112,0.0102249488752556,0.102249488752556,0.032719836400818,0.0102249488752556,0.0102249488752556,0.00408997955010225,0.0265848670756646,0.261758691206544,0.130879345603272,0,0.00408997955010225,0.00408997955010225,0.00408997955010225,0.0102249488752556,0.00204498977505112,0,0,0,0.0102249488752556,0,0,0,0,0
50,2931,0.0741525423728814,0.0338983050847458,0.00847457627118644,0.194915254237288,0.0127118644067797,0,0.0169491525423729,0.141949152542373,0.0338983050847458,0.0233050847457627,0.00211864406779661,0.00423728813559322,0.0338983050847458,0.209745762711864,0.182203389830508,0.00211864406779661,0.0105932203389831,0.00423728813559322,0.00423728813559322,0.00211864406779661,0.00423728813559322,0,0,0,0,0,0,0,0,0
55,3198,0.0804123711340206,0.0268041237113402,0.00824742268041237,0.214432989690722,0.0123711340206186,0,0.0144329896907217,0.109278350515464,0.0247422680412371,0.0144329896907217,0.00206185567010309,0.0103092783505155,0.0268041237113402,0.298969072164948,0.131958762886598,0,0.00618556701030928,0.00618556701030928,0,0,0.00206185567010309,0,0.00206185567010309,0.00412371134020619,0.00206185567010309,0,0.00206185567010309,0,0,0
