"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Picea","Pinus.subg..Pinus","Quercus","Salix","Shepherdia.canadensis","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Populus","Poaceae","Juniperus","Ostrya.Carpinus","Polygonum.amphibium","Sarcobatus.vermiculatus","Thalictrum","Elaeagnus.commutata","Fraxinus.nigra","Ericaceae","Ranunculus","Iva.xanthifolia.type","Rosaceae","Lamiaceae"
545,NA,306,10,3,3,1,92,136,16,2,18,1,4,2,3,14,1,0,0,0,0,0,0,0,0,0,0,0
555,14581,345,17,1,0,0,144,129,20,0,10,0,2,1,0,15,0,1,1,1,1,1,1,0,0,0,0,0
565,14676,370,16,3,1,0,166,128,18,1,17,1,3,0,0,9,2,0,0,0,0,0,0,1,4,0,0,0
570,14724,462,29,1,2,0,262,132,10,0,11,0,3,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0
575,14772,522,20,1,1,0,322,142,13,0,4,0,2,0,0,15,0,0,0,0,0,0,1,0,0,1,0,0
585,14868,434,31,0,0,0,232,123,17,0,13,1,2,1,1,9,0,0,0,1,0,0,0,0,2,0,1,0
595,14964,396,18,1,0,0,195,129,16,0,20,1,1,2,1,9,0,0,0,1,0,0,1,0,0,0,0,1
605,NA,540,15,0,0,3,336,137,16,0,8,2,2,0,2,12,0,1,0,2,0,0,0,0,4,0,0,0
