"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Centaurea","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fabaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Onagraceae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonaceae.undiff.","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Potentilla.palustris.type","Prunus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix.herbacea.type","Salix.reticulata.type","Salix.undiff.","Salix.vestita.type","Saxifraga","Saxifraga.oppositifolia.type","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type"
5,288,0,0,0,0,0,66,0,1,15,3,0,63,0,1,1,1,1,0,1,0,0,248,0,0,0,0,30,0,0,0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,2,65,23,5,31,4,0,18,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,43,0,0,0,0,0,0,2,0,0,0
10,577,0,0,0,0,0,59,1,5,7,2,0,54,0,0,1,0,0,0,0,0,0,204,0,0,0,0,24,0,0,0,17,3,0,0,0,0,0,0,1,0,0,0,0,0,0,58,32,30,5,21,0,14,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,0,24,0,0,0,1,0,0,3,1,3,0
15,865,0,0,0,0,0,48,0,5,14,1,0,64,0,0,0,0,0,0,4,0,0,201,0,0,0,0,19,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,2,2,58,16,19,8,8,0,18,0,0,0,1,0,0,0,2,1,0,1,0,8,0,0,0,0,0,30,0,0,0,0,0,0,1,0,2,0
20,1153,0,0,0,0,0,50,0,1,4,3,0,38,0,0,0,0,0,0,4,0,0,163,0,0,0,0,5,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,22,25,7,12,0,17,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,2,7,0
25,1441,0,0,0,0,0,43,0,2,4,1,0,28,0,0,0,0,0,0,1,0,0,166,0,0,0,0,12,0,0,0,5,1,0,0,0,1,0,0,1,2,0,0,0,0,0,50,26,15,1,11,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0
30,1730,0,0,0,0,2,106,0,5,11,0,0,98,0,0,0,0,0,0,6,0,0,246,0,0,0,0,24,0,0,0,11,0,7,0,0,0,0,0,0,0,3,0,0,1,2,74,23,12,11,6,0,19,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,44,0,0,0,0,0,0,1,4,4,0
35,2018,5,0,0,0,2,182,0,10,12,0,0,122,0,0,0,0,0,0,7,0,0,398,0,0,0,0,32,0,0,0,11,7,0,7,0,0,0,0,4,1,0,1,1,0,0,94,42,19,35,26,0,36,0,0,0,14,2,0,0,2,0,1,0,0,8,0,0,0,2,0,58,0,0,0,0,0,0,2,10,0,6
40,2306,0,0,0,0,0,139,2,1,17,3,0,89,0,0,0,0,0,0,10,0,0,260,0,0,0,0,29,0,0,0,7,3,0,0,0,1,0,0,3,2,0,0,0,0,0,114,40,26,0,11,0,18,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,14,0,0,0,0,0,0,2,0,1,0
45,2595,0,0,0,0,0,111,1,3,11,0,0,58,0,0,1,0,0,0,6,0,0,145,1,0,1,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,6,7,3,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,1,1,0,0,0,1,3,4,0,0
50,2883,0,0,0,0,0,185,0,2,11,2,0,74,0,0,1,1,0,0,2,0,1,106,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,32,6,3,8,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,2,0,0
