"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","Cornus.sericea","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Dryas","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Lycopodium.obscurum.type","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.rubens.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae.undiff.","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhus.typhina","Rosaceae.undiff.","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.stellaris.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.nudum"
10,145,11,0,0,0,21,5,0,7,2,2,1,78,0,0,0,5,0,0,8,3,0,0,14,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,45,0,6,0,13,2,11,8,18,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,7,0,11,0
30,434,35,0,0,0,19,4,0,0,1,0,0,135,1,0,0,1,0,0,8,1,0,0,9,2,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,22,118,0,19,0,27,39,89,30,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,1,0,0,0
50,723,42,0,3,2,16,2,0,0,1,0,0,166,1,0,0,0,0,0,14,1,0,0,2,1,1,0,1,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,7,32,1,6,0,16,30,195,17,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,0,2,0
75,1084,32,0,1,1,6,2,0,0,1,0,0,126,0,0,0,0,0,0,19,2,0,0,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,19,42,0,11,0,18,10,71,13,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,0
100,1446,16,0,5,1,7,2,0,0,1,0,0,129,0,0,0,0,0,0,17,5,0,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,34,0,6,1,25,96,104,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,10,0
125,1807,17,0,1,0,1,1,0,0,0,0,0,68,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,6,31,0,3,0,30,18,111,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
150,2169,23,0,2,0,7,1,1,1,0,0,0,208,0,0,0,0,0,0,20,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,10,39,0,12,0,33,34,141,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,2,0,1,1,0,0,0
175,2530,8,0,0,0,6,0,0,0,1,0,0,206,0,0,0,0,0,0,3,3,0,0,1,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,38,0,12,0,25,12,101,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,1,1,0
200,2892,13,0,4,1,5,0,0,0,0,1,0,171,1,0,0,0,0,0,11,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,18,0,6,2,8,61,120,66,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0
225,3253,2,0,1,0,11,5,0,0,1,1,0,247,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,4,0,2,1,13,0,7,0,24,4,76,27,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,1,0
