"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Nuphar","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1,-28,9,0,2,19,4,21,0,0,9,1,109,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,37,36,27,0,1,0,0,9,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
10,-6,6,0,1,16,3,18,0,0,5,1,115,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,2,0,1,0,0,1,46,51,11,0,2,2,0,11,0,0,1,1,0,0,1,0,0,2,0,3,0,0,0
20,17,5,0,0,23,2,10,0,0,6,0,120,0,3,3,0,0,0,0,2,0,4,3,0,1,0,0,3,1,0,0,0,0,1,37,34,21,1,2,0,0,14,0,0,0,0,0,0,0,1,0,4,0,3,1,0,0
30,41,6,0,2,14,2,5,0,0,3,2,132,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,5,1,0,0,0,2,50,53,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0
40,65,6,0,1,14,1,6,0,0,5,1,110,2,1,2,1,0,0,0,0,0,0,2,0,0,1,0,5,3,0,0,0,0,0,47,50,34,0,1,1,0,7,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0
50,88,14,1,3,17,0,6,0,0,5,1,111,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,4,3,0,0,0,0,5,46,44,22,0,1,2,1,9,0,0,0,0,0,0,1,0,0,1,0,3,2,0,0
60,213,8,0,0,18,1,1,0,1,5,0,131,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,44,47,26,0,0,0,4,7,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0
80,666,5,0,1,24,0,0,0,0,0,1,145,0,0,1,3,0,0,0,1,1,0,2,0,0,0,0,1,1,2,0,0,0,0,34,52,11,0,1,0,0,7,0,0,0,0,0,0,2,0,2,5,0,3,0,0,0
100,1118,10,0,5,25,0,2,0,0,3,0,121,0,0,0,2,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,2,41,57,14,0,1,0,0,8,0,0,0,2,0,0,2,0,0,2,0,3,1,0,0
120,1571,11,0,1,20,1,1,0,0,3,1,124,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,1,4,1,0,0,1,37,43,24,0,0,0,1,6,0,0,0,0,2,0,2,0,0,2,0,11,0,0,0
140,2023,8,0,0,24,0,1,0,0,5,4,114,0,0,1,1,1,0,0,1,1,2,1,0,0,0,0,3,1,0,0,0,0,1,34,51,34,0,1,0,2,10,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0
160,2476,10,1,0,22,0,1,0,0,2,1,141,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,49,36,22,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
180,2928,9,0,1,14,0,2,0,0,2,0,131,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,45,43,34,0,3,0,0,3,0,0,0,1,0,0,0,0,0,4,0,3,2,0,0
200,3381,11,0,3,21,0,4,0,0,1,1,158,0,0,7,0,0,0,0,1,3,2,1,0,0,0,0,3,0,0,0,0,0,0,25,22,28,0,0,4,2,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
220,3833,8,0,2,21,1,1,0,0,1,1,132,0,1,5,5,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,33,29,43,0,2,0,2,11,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
240,4286,6,0,0,21,0,0,0,0,1,1,134,1,0,2,3,0,0,1,1,0,1,0,0,0,0,0,2,1,1,0,0,0,1,39,35,38,1,0,0,3,7,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
260,4738,5,0,1,10,0,1,0,0,0,0,170,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4,27,16,47,0,1,0,1,6,0,0,0,1,0,0,0,0,0,3,0,4,1,0,0
280,5191,7,0,0,12,1,3,0,0,2,2,150,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,32,31,39,0,0,1,1,9,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
300,5643,10,0,1,18,1,0,0,0,2,0,158,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,29,38,26,0,2,0,2,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
320,6096,6,0,1,28,1,0,0,0,2,1,128,0,1,9,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,26,40,35,0,0,0,1,12,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
340,6549,16,0,2,24,2,1,0,0,5,0,98,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2,43,34,48,1,2,0,3,12,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
360,6867,9,0,1,15,3,1,0,0,1,0,86,0,1,8,2,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,5,22,27,94,1,1,1,0,11,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0
380,7051,4,1,0,16,1,0,0,0,1,1,105,0,0,8,1,1,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,1,15,28,98,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
400,7235,1,0,1,23,2,2,1,0,4,1,85,1,0,7,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,8,35,113,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
420,7419,7,0,1,19,0,3,0,0,0,0,99,0,1,5,0,1,0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,15,36,90,0,1,0,1,15,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
440,7603,1,0,4,11,2,2,0,0,3,1,43,0,0,14,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,7,25,164,1,0,0,1,12,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0
460,7788,2,0,0,11,0,3,0,0,6,1,46,0,1,4,1,1,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,2,2,9,49,151,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
480,7972,2,0,1,6,1,1,0,0,2,0,40,0,1,2,2,1,1,0,0,0,4,3,0,0,0,0,2,0,1,0,0,0,6,8,18,194,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
500,8156,1,0,1,2,0,2,0,0,5,0,52,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,8,56,155,0,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
520,8340,6,0,0,2,6,4,0,0,5,1,97,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,11,45,84,1,3,1,5,15,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
560,NA,4,0,1,6,6,13,0,0,12,4,69,0,0,1,1,1,0,0,0,0,1,5,0,0,0,0,4,0,0,0,0,0,1,81,67,11,0,1,1,5,12,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0
580,NA,3,0,1,0,4,7,0,0,5,2,15,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,15,0,1,0,1,0,0,97,113,10,0,2,0,4,9,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1
600,NA,1,0,0,9,6,9,0,0,20,0,24,3,0,1,5,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,3,86,90,11,0,1,1,1,18,0,0,0,4,2,0,2,0,0,0,0,2,0,0,0
620,NA,0,0,1,1,1,3,0,0,3,0,15,2,0,1,10,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,141,90,10,0,1,0,4,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
630,NA,1,0,0,0,2,7,0,0,1,3,11,2,0,0,17,1,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,1,119,92,7,0,3,1,8,19,1,0,0,0,0,0,0,0,1,0,1,8,1,0,0
640,NA,0,0,0,1,2,12,0,0,16,1,19,0,0,1,30,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,2,80,94,5,0,2,4,3,21,0,0,0,3,0,0,0,0,0,0,0,5,1,0,0
650,NA,2,0,1,1,2,1,0,0,1,3,7,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,221,0,0,2,0,9,17,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
660,NA,0,0,2,1,8,5,0,1,14,5,22,0,0,2,11,1,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,1,18,115,2,0,10,0,9,53,0,0,0,1,1,0,3,0,0,0,0,25,1,0,0
