"sample.depths","sample.ages","Picea.mariana.type","Picea.glauca.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Abies.balsamea","Acer.saccharum","Tsuga.canadensis","Quercus","Ulmus","Fraxinus.pennsylvanica.type","Larix.laricina","Juniperus.communis.Thuja.occidentalis.type","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Ericaceae","Lonicera.canadensis.type","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Caryophyllaceae","Ranunculaceae","Onagraceae","Potentilla.palustris.type"
0,-45,0.163461538461538,0.0801282051282051,0.125,0.00961538461538462,0.0769230769230769,0.0544871794871795,0.0128205128205128,0,0.00320512820512821,0.00641025641025641,0,0,0.00641025641025641,0,0.0608974358974359,0.0352564102564103,0.0224358974358974,0.00320512820512821,0.259615384615385,0,0.0512820512820513,0.00320512820512821,0,0.00961538461538462,0.00320512820512821,0.00320512820512821,0.00961538461538462,0,0,0,0
5,115,0.00696864111498258,0,0.00174216027874564,0,0,0,0,0,0,0,0,0,0,0,0.989547038327526,0,0.00174216027874564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,275,0.358064516129032,0,0.067741935483871,0.0741935483870968,0,0.0451612903225806,0.0032258064516129,0,0,0,0,0,0,0,0.0903225806451613,0.0161290322580645,0.0387096774193548,0,0,0,0.241935483870968,0.0225806451612903,0,0,0,0,0.0032258064516129,0.0354838709677419,0,0.0032258064516129,0
20,594,0.304487179487179,0,0.0416666666666667,0.0128205128205128,0,0.00641025641025641,0,0,0,0.00320512820512821,0,0,0,0.00320512820512821,0.0865384615384615,0.00641025641025641,0.0224358974358974,0,0.00320512820512821,0,0.432692307692308,0.00961538461538462,0.0128205128205128,0.00320512820512821,0,0.00320512820512821,0.00320512820512821,0,0.00320512820512821,0,0.0416666666666667
30,914,0.0282131661442006,0,0.00940438871473354,0,0,0,0,0,0,0,0,0,0,0,0.112852664576803,0.0156739811912226,0.0438871473354232,0.00313479623824451,0,0,0.636363636363636,0.00626959247648903,0,0,0.00313479623824451,0,0.0501567398119122,0,0,0,0.090909090909091
40,1352,0.421383647798742,0,0.0817610062893082,0.0440251572327044,0,0.0157232704402516,0,0,0,0,0,0,0,0.00628930817610063,0.059748427672956,0.0283018867924528,0.0314465408805031,0.00314465408805031,0.00628930817610063,0,0.270440251572327,0.0283018867924528,0,0,0,0,0.00314465408805031,0,0,0,0
50,1791,0.344919786096257,0,0.0267379679144385,0.018716577540107,0,0,0,0,0,0,0,0,0,0,0.106951871657754,0.0213903743315508,0.0294117647058824,0.0053475935828877,0.00267379679144385,0,0.414438502673797,0.0133689839572193,0.00802139037433155,0,0,0.00267379679144385,0.0053475935828877,0,0,0,0
60,2230,0.390163934426229,0,0.0918032786885246,0.00655737704918033,0,0.00327868852459016,0,0,0,0,0,0,0,0,0.0754098360655738,0.0360655737704918,0.00327868852459016,0.0459016393442623,0.00327868852459016,0.00327868852459016,0.304918032786885,0.0163934426229508,0.00327868852459016,0,0,0,0.00655737704918033,0,0,0,0.0098360655737705
70,2400,0.0600461893764434,0,0.0023094688221709,0.0138568129330254,0,0.0023094688221709,0,0,0,0,0,0,0,0,0.0369515011547344,0.0023094688221709,0.0323325635103926,0.0023094688221709,0,0,0.752886836027714,0,0,0,0.0023094688221709,0,0,0,0.0023094688221709,0,0.0900692840646651
80,2571,0.5625,0,0.12202380952381,0.00892857142857143,0.00892857142857143,0.0119047619047619,0,0,0,0,0.00297619047619048,0.00297619047619048,0,0,0.0595238095238095,0.00297619047619048,0.056547619047619,0.00297619047619048,0.0119047619047619,0,0.074404761904762,0.00595238095238095,0.0119047619047619,0.00595238095238095,0,0,0.0267857142857143,0,0,0,0.0208333333333333
90,2742,0.6578073089701,0,0.0930232558139535,0.053156146179402,0.00664451827242525,0.00332225913621262,0,0,0,0,0,0,0,0,0.0431893687707641,0.00332225913621262,0.0664451827242525,0.00332225913621262,0.00332225913621262,0,0.0564784053156146,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0.00332225913621262
100,2912,0.296529968454259,0,0.0473186119873817,0.0189274447949527,0,0.00315457413249211,0,0,0,0,0,0,0,0,0.028391167192429,0,0.0410094637223975,0.00630914826498423,0,0,0.533123028391167,0.00630914826498423,0,0.00630914826498423,0,0,0.00315457413249211,0,0,0,0.00946372239747634
110,3050,0.47906976744186,0,0.0209302325581395,0.00465116279069767,0,0,0,0,0,0,0,0,0.00232558139534884,0.00232558139534884,0.0627906976744186,0.00930232558139535,0.0418604651162791,0.00232558139534884,0.00232558139534884,0,0.348837209302326,0.0209302325581395,0,0,0,0.00232558139534884,0,0,0,0,0
120,3188,0.395061728395062,0,0.080246913580247,0.0185185185185185,0,0.00617283950617284,0,0,0,0,0,0,0,0,0.0648148148148148,0.0216049382716049,0.0617283950617284,0.00617283950617284,0,0,0.302469135802469,0.0154320987654321,0.00925925925925926,0.00308641975308642,0,0,0,0,0,0,0.0154320987654321
130,3327,0.589235127478754,0,0.0226628895184136,0.0254957507082153,0.0113314447592068,0,0,0,0,0,0,0,0,0.0028328611898017,0.121813031161473,0.0084985835694051,0.135977337110482,0,0.0084985835694051,0,0.0311614730878187,0.0113314447592068,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0056657223796034,0,0,0,0,0.0141643059490085
140,3465,0.378980891719745,0,0.0732484076433121,0.00636942675159236,0,0,0,0,0,0.00318471337579618,0,0,0,0,0.0764331210191083,0.00318471337579618,0.0987261146496815,0.00955414012738853,0.00318471337579618,0,0.308917197452229,0.00636942675159236,0.00318471337579618,0.00318471337579618,0.00318471337579618,0.00636942675159236,0,0,0.00318471337579618,0.00318471337579618,0.00955414012738853
