"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Myrica","Populus","Poaceae","Ericaceae.undiff.","Pinus.subg..Strobus","Cornus","Caryophyllaceae","Larix","Quercus","Fraxinus","Brassicaceae","Rumex","Salix","Artemisia","Amaranthaceae.undiff.","Acer.rubrum","Sarcobatus.vermiculatus","Ulmus","Ranunculus","Shepherdia","Ledum.Chamaedaphne.calyculata","Acer.negundo","Tsuga","Thalictrum","Caprifoliaceae","Asteraceae.subf..Cichorioideae","Dryas.type","Epilobium","Fabaceae","Acer.undiff.","Asteraceae.undiff.","Vaccinium"
840,26,277,5,1,22,1,18,6,208,7,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,733,309,7,1,10,1,20,1,256,4,3,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,1087,305,2,0,15,0,25,1,253,2,0,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,1440,304,16,1,0,1,30,6,244,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,1794,306,3,0,12,0,24,1,261,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2039,332,11,2,12,0,35,10,258,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,2284,314,12,0,8,0,22,0,263,0,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,2529,392,16,2,17,0,37,0,314,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,3020,312,4,1,7,0,25,6,264,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,3265,326,8,0,4,0,12,0,296,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,3510,411,9,0,18,0,35,1,346,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,3923,288,11,0,10,0,31,0,226,0,4,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,4092,334,12,0,14,0,28,0,275,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,4260,378,17,0,17,0,40,4,297,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,4597,312,15,0,5,0,22,5,252,3,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,4765,390,15,0,3,0,14,2,351,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,4934,355,6,0,21,0,24,5,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,5102,394,28,1,7,0,42,4,304,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,5271,312,22,1,2,0,57,2,216,2,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,5439,365,15,0,0,0,22,0,324,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,5602,409,14,0,15,0,35,2,336,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,5764,445,16,0,8,0,36,2,380,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,5927,321,25,1,28,0,67,8,178,3,3,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1115,6171,330,48,1,16,0,76,4,177,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1120,6252,290,57,0,37,0,96,5,87,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,6333,297,53,0,28,3,94,6,98,0,4,0,0,0,1,0,0,0,0,1,0,2,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1130,6415,732,210,0,27,0,99,9,369,0,8,0,0,0,2,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,6496,301,68,0,34,1,82,9,86,0,13,1,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,6577,280,71,0,31,1,57,14,89,2,3,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1145,6659,317,114,0,28,1,56,2,104,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,6740,546,173,0,45,0,63,2,243,0,11,0,0,0,2,0,0,0,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,6821,459,106,0,123,1,63,0,118,13,0,0,0,0,10,1,12,0,0,0,3,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,6903,291,11,0,82,0,51,5,130,3,0,1,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,6984,317,35,0,80,0,31,3,151,0,10,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1170,7065,322,1,0,202,0,49,3,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,7356,325,2,0,219,0,29,1,69,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,7647,329,8,0,184,1,71,6,33,1,2,1,0,0,8,1,1,0,0,0,1,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,7938,340,2,0,114,0,86,12,114,0,5,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,8229,344,0,0,144,1,110,8,41,0,14,1,1,0,8,1,0,0,0,0,3,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,10555,98,3,0,14,0,45,9,2,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,11137,306,1,0,51,0,107,52,36,0,0,1,0,0,14,2,18,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1250,11718,111,1,0,5,0,82,10,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,12009,325,0,0,40,1,202,22,21,0,4,1,0,0,4,2,0,0,1,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,12300,279,0,0,40,0,167,23,17,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,17,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1265,NA,349,0,0,41,0,192,24,17,0,25,0,0,0,9,0,0,0,1,0,1,0,0,0,33,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
1270,NA,14,1,0,1,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,NA,317,0,0,31,2,156,24,18,0,27,0,0,0,7,2,0,0,0,0,0,0,0,0,36,3,0,0,0,0,2,0,2,0,0,0,0,1,4,0,0,1,1,0
1280,NA,313,0,0,28,0,143,22,18,0,37,0,0,0,17,10,0,0,2,2,2,0,0,0,25,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
