"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Carya","Asteraceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Picea","Pinus.undiff.","Quercus","Salix","Trees.undiff.","Tsuga","Ulmus","Acer","Juglans","Populus","Amaranthaceae","Poaceae","Rosaceae","Polygonaceae","Rhamnaceae.Vitaceae","Aquifoliaceae","Betula","Ostrya.Carpinus","Abies","Thalictrum","Tilia","Fagus","Larix","Cupressaceae","Fraxinus.pennsylvanica.type","Alnus","Pinus.subg..Strobus","Corylus","Celtis"
10,51,496,151,1,5,12,226,2,4,1,2,9,1,28,1,2,1,2,7,24,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,292,482,65,4,7,115,30,5,6,0,4,51,18,126,0,4,4,0,2,29,6,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
30,595,365,72,3,15,4,31,0,0,0,3,48,18,121,1,3,6,0,0,27,7,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
135,6044,322,24,1,11,17,21,5,13,0,4,85,11,80,0,4,10,4,4,10,6,3,2,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0
145,6403,358,11,4,28,17,65,2,4,0,16,53,2,96,0,0,3,5,3,22,11,7,0,0,0,0,1,0,2,2,0,0,1,2,1,0,0,0
155,6700,401,20,3,27,20,14,19,1,0,24,121,3,59,0,28,28,7,0,12,2,4,0,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0
165,6948,270,10,3,26,23,21,8,4,0,19,52,2,40,0,16,2,19,1,12,2,3,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0
175,7157,323,7,4,18,16,22,5,4,0,11,97,3,53,0,6,33,19,1,12,5,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
185,7341,356,4,2,14,16,13,7,11,0,13,145,0,50,0,9,31,11,0,7,4,6,0,0,0,0,0,0,0,3,8,0,1,1,0,0,0,0
195,7512,310,2,2,23,23,8,3,8,0,10,111,1,54,0,13,19,9,0,6,4,2,0,0,0,0,1,0,0,3,7,0,0,0,0,1,0,0
215,7859,346,17,1,11,22,23,12,2,0,2,209,2,4,0,16,8,2,3,4,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
235,8242,78,1,0,5,3,15,1,0,1,1,40,0,1,0,3,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
240,8342,173,7,3,5,4,72,1,0,1,4,55,1,1,0,6,2,2,1,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
250,8544,131,2,2,0,6,24,0,0,0,0,0,0,4,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,0,81,1,0,0,0,0,0
260,8749,72,6,0,4,3,9,4,0,0,2,31,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
315,9809,373,2,1,40,11,27,2,9,0,0,187,2,0,0,53,7,1,1,1,0,6,0,0,0,0,13,0,0,4,4,1,0,1,0,0,0,0
325,9976,486,10,4,80,5,23,15,3,2,5,199,0,1,0,85,14,1,1,2,0,9,0,0,0,2,14,1,0,0,6,0,0,0,0,1,3,0
335,10134,423,8,0,49,19,22,14,1,1,1,192,0,2,0,55,10,2,3,0,1,11,0,0,0,2,16,0,1,1,8,2,0,1,0,0,1,0
345,10284,404,5,0,78,13,17,6,2,0,5,172,0,2,0,55,3,6,0,0,0,11,0,0,0,2,17,0,0,3,2,0,0,3,0,1,1,0
390,10842,468,5,5,71,15,15,7,7,1,1,222,1,1,0,74,12,1,3,1,1,5,0,0,0,1,11,0,0,1,4,0,0,0,0,0,2,1
400,10941,369,10,0,36,1,14,5,4,0,3,139,2,1,0,62,34,6,0,4,1,5,0,0,0,1,34,0,0,1,3,0,0,2,0,0,0,1
410,11031,482,4,0,44,6,26,7,9,0,5,225,0,0,0,67,10,5,2,0,4,6,1,1,0,4,37,0,0,2,5,3,0,4,0,1,0,4
420,11111,507,7,0,37,0,21,8,6,0,4,254,0,0,1,86,11,4,3,1,2,11,0,0,0,1,38,0,0,1,1,0,0,3,1,1,2,3
430,11182,435,2,1,46,4,29,4,5,0,9,177,0,1,0,69,12,4,0,1,0,14,0,0,0,1,34,0,0,3,2,0,0,6,0,4,3,4
440,11245,470,2,1,44,2,49,7,5,0,0,269,0,2,0,30,7,6,0,0,12,8,0,2,0,0,11,0,0,3,4,1,0,1,0,3,0,1
450,11301,415,1,1,51,9,49,6,5,1,8,200,2,0,0,38,8,2,0,1,7,7,0,0,0,0,7,0,0,4,2,1,0,3,1,1,0,0
460,11350,77,1,0,9,0,12,2,2,0,0,32,0,1,0,8,0,0,0,1,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2
470,11393,400,5,0,45,3,19,7,8,3,2,174,0,0,1,54,19,10,1,2,4,11,0,0,0,0,17,1,1,2,2,1,1,3,0,3,0,1
480,11431,396,4,0,30,4,16,13,3,1,6,215,0,0,0,42,7,5,1,4,7,3,0,0,0,0,14,2,1,2,2,1,1,7,1,0,1,3
