"sample.depths","sample.ages","upland.sum","Abies","Betula","Amaranthaceae.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Humulus","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Ericales","Fraxinus.nigra","Carya","Fagus","Juglans.nigra","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Plantago","Cyperaceae","Rumex","Acer.rubrum","Artemisia","Galium","Ephedra.nevadensis.type","Arceuthobium","Platanus","Tilia","Corylus","Juglans.cinerea","Pinus.undiff.","Sarcobatus.vermiculatus","Cupressaceae","Iva.annua","Myrica","Thalictrum","Rosaceae","Iva.xanthifolia","Apiaceae"
1,-24,460,3,78,2,1,1,6,11,12,6,1,4,4,1,10,10,213,83,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,397,14,117,0,0,0,43,6,3,4,0,0,0,0,0,14,91,84,12,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51,380,10,62,0,3,0,34,3,9,22,0,1,2,0,0,3,146,73,3,1,0,1,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,90,449,10,74,0,1,2,40,5,8,5,0,0,0,0,2,17,108,138,4,1,0,1,0,21,2,0,2,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,413,432,13,79,1,5,4,43,7,12,0,1,0,0,0,0,2,152,62,33,0,1,3,0,0,3,0,4,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1020,391,6,85,0,7,6,27,8,11,1,0,0,0,0,4,3,145,54,1,2,0,3,1,1,1,0,5,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1626,479,2,97,0,1,0,42,9,13,0,0,1,0,0,1,0,215,71,2,0,0,4,0,4,2,0,3,0,3,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1798,393,2,74,0,1,2,8,10,6,0,0,0,0,0,3,0,195,80,1,2,0,2,0,2,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80,1971,477,5,130,1,2,2,19,11,9,0,0,0,2,0,2,1,186,88,2,0,1,2,0,2,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2143,394,5,71,0,2,1,21,10,10,0,1,1,0,0,1,1,207,51,1,0,0,1,0,0,2,0,1,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
100,2316,464,5,82,0,2,2,11,14,1,0,1,0,0,0,1,0,230,84,6,1,1,4,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0
110,2488,368,4,55,1,0,1,18,9,11,1,1,1,1,0,0,3,170,79,2,0,0,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
120,2661,408,5,45,0,0,3,10,5,8,0,0,0,0,0,0,1,250,73,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,2833,437,2,48,0,1,2,11,3,4,1,1,0,0,0,1,0,265,88,1,0,0,1,1,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3006,364,4,57,0,1,1,4,2,4,1,1,0,0,0,0,1,237,46,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,3178,380,11,72,1,1,3,23,11,11,0,2,0,0,0,3,1,160,57,2,1,0,4,0,1,3,2,2,0,5,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
160,3350,411,4,63,0,0,0,9,9,11,0,1,0,0,0,0,1,209,45,17,1,0,1,0,0,2,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3523,453,4,97,1,3,5,4,16,12,1,1,1,0,0,1,0,227,54,12,1,0,3,0,1,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,3695,407,4,92,2,0,0,12,9,10,1,1,0,0,0,0,0,203,56,0,1,0,1,0,0,0,0,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0
190,3868,441,4,30,1,0,1,9,6,8,2,0,0,1,0,1,0,303,34,0,0,0,2,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4042,413,5,38,0,1,0,8,7,6,2,0,2,2,0,1,0,244,71,6,3,0,2,0,3,0,0,4,0,4,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
210,4215,408,5,24,0,1,1,6,5,2,0,0,1,1,0,1,0,257,87,8,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
220,4389,401,11,44,1,1,0,13,6,5,1,0,0,0,0,0,1,255,48,6,0,0,0,0,1,0,0,3,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
230,4563,355,3,9,0,0,0,10,1,2,0,1,0,0,0,0,0,286,36,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,4737,357,1,10,0,0,1,6,3,2,0,0,0,0,0,0,1,269,57,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250,4910,351,3,17,0,1,1,7,3,5,0,0,1,0,0,1,3,212,77,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0
260,5084,422,2,10,0,0,1,6,2,1,0,0,1,0,0,2,1,323,65,0,3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
270,5258,362,2,35,0,0,1,6,3,4,1,1,0,1,0,1,1,200,90,0,2,1,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0
280,5432,334,7,16,0,0,0,7,3,7,0,0,0,1,0,0,0,220,61,0,1,0,0,0,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
290,5605,353,7,6,0,0,0,7,5,3,1,1,0,3,0,3,0,171,137,0,0,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
300,5779,414,1,17,2,1,2,4,3,3,1,0,0,1,0,1,0,164,197,0,2,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
310,5953,397,3,6,0,3,3,4,2,3,2,0,0,0,0,0,0,282,72,4,1,0,0,0,2,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
320,6127,423,2,7,0,0,2,7,6,1,0,0,0,1,0,1,0,231,157,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
325,6213,419,3,23,0,1,2,11,3,0,0,0,0,0,0,0,0,225,142,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6474,403,4,20,0,0,0,8,3,3,2,0,0,0,0,1,0,185,166,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6648,414,9,7,0,0,1,8,3,0,0,0,0,0,0,0,0,269,110,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
360,6821,443,2,9,1,1,1,3,4,2,0,0,0,1,0,0,0,286,116,3,5,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
370,6995,397,2,6,0,2,0,4,2,1,1,0,0,0,0,0,0,224,138,1,1,0,0,0,2,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
380,7169,363,2,5,0,0,2,6,3,1,1,0,0,0,0,3,0,201,123,0,4,2,0,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,NA,368,2,9,1,0,0,1,0,1,0,0,0,0,0,0,0,221,125,1,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,NA,381,2,5,1,0,0,6,1,0,6,0,0,2,0,0,0,59,295,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
