"sample.depths","sample.ages","Abies","Betula","Ericaceae","Picea","Alnus","Pinus","Portulacaceae","Poaceae","Ambrosia.type","Artemisia","Quercus","Cyperaceae","Fraxinus","Caryophyllaceae","Asteraceae.undiff.","Salix"
0.5,42,0.0954545454545455,0.0636363636363636,0.00909090909090909,0.713636363636364,0.0954545454545455,0.0227272727272727,0,0,0,0,0,0,0,0,0,0
10,192,0.113924050632911,0.0843881856540084,0.00843881856540084,0.679324894514768,0.0759493670886076,0.0253164556962025,0.00421940928270042,0.00843881856540084,0,0,0,0,0,0,0,0
20,349,0.099526066350711,0.0805687203791469,0.014218009478673,0.739336492890995,0.042654028436019,0.023696682464455,0,0,0,0,0,0,0,0,0,0
30,507,0.174887892376682,0.0896860986547085,0.0134529147982063,0.618834080717489,0.062780269058296,0.0358744394618834,0,0,0.00448430493273543,0,0,0,0,0,0,0
40,665,0.12448132780083,0.070539419087137,0,0.74688796680498,0.029045643153527,0.012448132780083,0,0,0.004149377593361,0.004149377593361,0.00829875518672199,0,0,0,0,0
50,822,0.165876777251185,0.0616113744075829,0.009478672985782,0.691943127962085,0.037914691943128,0.028436018957346,0,0.004739336492891,0,0,0,0,0,0,0,0
60,980,0.219230769230769,0.0923076923076923,0.00384615384615385,0.607692307692308,0.05,0.0230769230769231,0,0.00384615384615385,0,0,0,0,0,0,0,0
70,1138,0.231132075471698,0.099056603773585,0.0141509433962264,0.580188679245283,0.0613207547169811,0,0,0,0,0,0,0.0141509433962264,0,0,0,0
100,1611,0.169082125603865,0.0531400966183575,0.00966183574879227,0.676328502415459,0.072463768115942,0.0193236714975845,0,0,0,0,0,0,0,0,0,0
110,1768,0.163716814159292,0.101769911504425,0.0132743362831858,0.63716814159292,0.0663716814159292,0.0132743362831858,0,0,0,0,0,0,0.00442477876106195,0,0,0
120,1926,0.179245283018868,0.089622641509434,0.0141509433962264,0.641509433962264,0.0566037735849057,0.0141509433962264,0,0,0,0,0,0.00471698113207547,0,0,0,0
130,2084,0.150684931506849,0.100456621004566,0.0045662100456621,0.648401826484018,0.0684931506849315,0.0273972602739726,0,0,0,0,0,0,0,0,0,0
140,2241,0.189189189189189,0.0765765765765766,0.0045045045045045,0.662162162162162,0.063063063063063,0.0045045045045045,0,0,0,0,0,0,0,0,0,0
150,2399,0.122065727699531,0.0985915492957746,0,0.704225352112676,0.0563380281690141,0.00938967136150235,0,0,0.00469483568075117,0.00469483568075117,0,0,0,0,0,0
160,2557,0.164658634538153,0.072289156626506,0.0120481927710843,0.65863453815261,0.0642570281124498,0.00803212851405622,0,0,0.00803212851405622,0.00401606425702811,0,0.00803212851405622,0,0,0,0
170,2714,0.200854700854701,0.11965811965812,0.00427350427350427,0.58974358974359,0.0769230769230769,0.00854700854700855,0,0,0,0,0,0,0,0,0,0
179,2856,0.215596330275229,0.0642201834862385,0,0.628440366972477,0.0642201834862385,0.0137614678899083,0,0.00458715596330275,0,0,0,0.0091743119266055,0,0,0,0
200,3187,0.210526315789474,0.0657894736842105,0.0087719298245614,0.675438596491228,0.0263157894736842,0.0043859649122807,0,0,0,0,0.0043859649122807,0.0043859649122807,0,0,0,0
210,3345,0.154205607476636,0.0981308411214953,0,0.696261682242991,0.0467289719626168,0.00467289719626168,0,0,0,0,0,0,0,0,0,0
220,3502,0.207964601769911,0.106194690265487,0.00442477876106195,0.623893805309734,0.0442477876106195,0.00442477876106195,0,0,0.00442477876106195,0,0,0.00442477876106195,0,0,0,0
230,3660,0.186666666666667,0.115555555555556,0,0.622222222222222,0.0577777777777778,0.00888888888888889,0,0,0,0,0,0.00888888888888889,0,0,0,0
240,3818,0.167464114832536,0.0861244019138756,0,0.669856459330144,0.0717703349282297,0,0,0,0,0,0,0,0,0.00478468899521531,0,0
250,3975,0.206572769953052,0.117370892018779,0,0.568075117370892,0.0938967136150235,0.00938967136150235,0,0,0,0,0,0.00469483568075117,0,0,0,0
260,4133,0.20353982300885,0.128318584070796,0,0.584070796460177,0.0752212389380531,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0
270,4291,0.174273858921162,0.149377593360996,0,0.589211618257261,0.0829875518672199,0,0,0,0,0.004149377593361,0,0,0,0,0,0
280,4448,0.153191489361702,0.204255319148936,0,0.523404255319149,0.0978723404255319,0.00425531914893617,0,0,0.00425531914893617,0,0,0,0,0,0.0127659574468085,0
315,5000,0.195555555555556,0.0977777777777778,0,0.617777777777778,0.0755555555555556,0.0133333333333333,0,0,0,0,0,0,0,0,0,0
325,5158,0.149253731343284,0.159203980099502,0,0.582089552238806,0.099502487562189,0.0099502487562189,0,0,0,0,0,0,0,0,0,0
335,5315,0.182242990654206,0.172897196261682,0,0.55607476635514,0.088785046728972,0,0,0,0,0,0,0,0,0,0,0
345,5473,0.16,0.165,0,0.465,0.205,0.005,0,0,0,0,0,0,0,0,0,0
355,NA,0.145539906103286,0.15962441314554,0,0.352112676056338,0.333333333333333,0.00469483568075117,0,0,0,0,0,0.00469483568075117,0,0,0,0
365,NA,0.138655462184874,0.180672268907563,0,0.42436974789916,0.176470588235294,0.0210084033613445,0,0,0.00420168067226891,0,0,0.046218487394958,0,0,0,0.00840336134453781
374,NA,0.109170305676856,0.179039301310044,0,0.532751091703057,0.157205240174672,0.00873362445414847,0,0,0,0,0,0.0131004366812227,0,0,0,0
