"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Elaeagnus","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Impatiens","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Larix","Liquidambar","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Xanthium"
1,2,14,0,0,2,22,6,13,0,0,5,0,58,0,0,24,3,1,0,0,0,0,1,1,2,0,0,9,1,0,0,0,5,0,3,0,0,0,2,68,94,24,0,1,3,3,0,0,7,0,0,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0
10,265,15,0,0,1,13,0,0,0,0,2,2,41,0,0,34,0,0,0,0,0,0,0,2,2,0,0,5,1,0,0,0,6,0,0,0,0,0,1,72,55,50,0,0,2,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
20,557,14,0,0,0,15,3,2,0,0,2,2,59,0,0,47,0,0,0,0,1,0,0,2,2,0,0,11,2,0,0,0,10,0,3,0,0,0,0,66,58,53,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,3,0,1,1,0,0,0
30,849,12,0,0,1,19,0,1,0,0,3,0,60,0,0,38,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,4,0,0,0,0,49,56,42,3,1,4,1,0,0,4,0,0,1,0,0,0,0,0,3,0,0,3,0,2,1,0,0,0
40,1141,9,0,0,1,21,1,2,0,0,3,0,55,0,0,82,2,0,0,1,0,0,1,1,2,0,0,5,2,0,0,0,9,0,1,1,0,0,0,56,45,73,0,0,5,5,0,0,5,0,0,1,0,0,0,0,0,1,0,0,3,0,4,1,0,0,0
50,1433,4,0,0,2,8,1,3,0,0,2,1,34,0,0,77,0,1,0,0,0,0,1,1,2,0,0,5,0,0,0,0,8,0,5,0,0,1,3,38,71,48,0,0,3,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,1725,12,0,0,3,8,0,1,0,0,5,0,32,0,0,80,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,4,0,2,1,0,2,0,34,47,84,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0
70,2017,6,0,0,0,14,2,3,0,0,2,2,46,0,0,67,2,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,6,0,0,0,0,0,0,24,94,53,0,1,4,3,0,2,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
80,2309,8,0,0,1,15,0,2,0,0,2,0,36,0,1,46,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,2,19,100,67,0,0,1,5,0,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
90,2601,5,0,1,2,17,0,5,0,0,5,0,24,0,1,73,1,1,0,0,0,0,0,1,1,0,0,11,3,0,0,0,1,0,3,0,0,0,1,13,95,58,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
100,2893,4,0,0,0,14,4,4,0,0,1,0,42,0,0,36,0,0,0,0,2,0,0,2,2,0,0,3,6,0,0,0,1,0,0,1,0,0,0,12,91,102,0,0,1,8,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0
110,3185,9,0,0,1,17,2,0,0,0,3,0,39,0,1,39,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,2,0,0,0,0,10,57,119,0,0,4,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
120,3477,6,0,1,0,12,2,3,0,0,3,0,44,0,1,13,0,1,0,0,0,0,1,2,3,0,0,7,1,0,0,0,2,0,2,0,0,0,1,9,76,157,0,0,2,2,0,1,7,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
130,3769,4,0,0,0,19,0,2,1,0,4,1,61,0,0,10,1,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,1,0,1,2,1,0,2,12,67,109,0,0,5,3,1,4,4,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0
140,4061,3,0,0,0,13,0,1,0,0,3,1,70,0,1,4,0,1,0,0,0,0,1,1,2,0,0,4,0,0,0,0,1,0,1,0,0,0,4,12,36,160,0,0,2,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
150,4353,3,0,0,3,25,5,7,0,0,5,2,86,0,1,3,0,0,0,0,0,0,2,4,0,0,0,5,0,1,0,0,2,0,0,1,1,0,5,8,43,129,0,0,3,2,0,6,8,0,0,1,0,0,0,0,0,2,0,0,0,0,7,1,0,0,0
160,4645,5,0,0,0,16,1,5,0,0,8,2,89,0,1,7,0,2,0,0,1,0,0,1,1,0,0,6,0,1,0,0,2,0,0,0,0,0,5,12,51,119,0,0,5,8,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
170,4937,8,0,0,1,17,2,4,0,0,6,2,59,0,0,4,1,1,0,0,0,0,0,5,5,0,0,3,0,0,0,0,4,0,0,0,0,0,1,17,64,117,0,0,1,1,0,2,4,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0
180,5229,7,0,0,2,24,4,8,0,0,2,2,109,0,1,10,1,2,0,0,0,0,0,7,7,0,0,3,0,0,0,0,0,0,0,0,0,0,6,7,99,39,0,0,5,6,0,4,7,0,0,6,0,0,0,0,0,0,0,1,0,0,8,3,0,0,0
190,5521,5,0,0,1,43,6,13,0,0,8,2,89,0,0,13,0,1,0,1,1,0,1,2,3,0,0,2,0,1,0,0,2,0,2,0,0,0,1,7,127,11,0,1,5,9,0,6,12,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
195,5667,6,1,0,0,32,8,10,0,0,5,1,58,0,1,15,2,0,0,0,0,0,3,1,4,0,0,4,0,1,0,0,2,0,1,3,0,0,2,14,140,19,0,1,3,7,1,5,9,0,0,2,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0
200,5812,10,0,0,0,24,1,4,0,0,13,1,66,0,0,4,2,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,31,133,22,0,0,6,4,0,4,3,1,0,2,0,0,0,0,0,1,0,0,0,1,5,2,0,0,0
205,6614,13,0,0,0,55,5,6,0,0,7,2,81,0,1,8,1,4,0,0,0,0,2,3,5,0,0,7,0,0,0,0,3,0,0,0,1,0,2,27,84,16,0,0,4,19,1,6,5,0,0,2,2,0,0,0,0,1,0,0,0,0,8,0,0,0,0
210,7416,9,0,0,0,37,5,5,0,0,5,0,103,0,1,6,1,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,2,0,2,0,0,0,1,38,100,11,0,0,4,8,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2,0,0,0
215,8218,2,0,0,0,49,8,3,0,0,11,0,43,0,1,9,2,0,0,0,1,0,3,1,4,0,0,5,0,0,0,0,2,0,2,1,0,0,2,51,97,6,0,0,5,2,0,6,5,0,0,5,1,0,0,1,0,0,0,0,0,0,7,2,0,0,0
220,8471,3,0,0,1,38,5,17,0,0,10,1,38,0,1,20,0,1,0,0,0,0,1,2,3,0,0,7,0,0,1,0,7,0,0,0,0,0,2,51,120,5,0,0,4,10,0,8,8,0,0,5,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0
225,8723,1,0,0,1,11,7,7,0,1,6,2,26,1,1,32,6,1,0,0,0,0,0,2,2,0,0,4,0,0,0,0,8,0,0,0,0,0,0,69,99,7,10,0,1,17,1,4,10,0,0,7,1,0,0,2,0,0,0,0,0,1,6,2,0,0,0
