"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Celtis","Cupressaceae","Cyperaceae","Dryas","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Iva.annua","Juglans.cinerea","Larix","Lycopodium.type","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Salix","Sanguisorba","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica"
102,10235,12,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,1,0,0,0,3,0,1,3,0,1,1,0,2,11,130,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,4,0,3,1,0
112,10566,6,1,2,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,2,1,3,1,0,3,4,128,0,3,0,0,1,19,0,1,0,0,0,0,1,1,0,6,1,2,0,0
120,10830,13,0,1,0,0,0,0,1,1,0,15,0,0,0,0,5,0,1,0,0,2,1,3,2,0,0,8,0,1,1,0,1,13,124,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,4,2,1,1,0
130,10953,2,0,3,0,0,1,0,1,2,1,20,0,0,0,0,5,0,0,0,0,0,2,2,1,0,0,6,0,0,2,1,0,53,86,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,1,1,6,2,0
140,11362,3,0,4,0,1,0,0,1,3,1,11,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,7,0,0,1,0,1,75,75,0,2,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,1,2,0
150,12056,3,0,1,0,0,0,0,0,3,1,22,0,0,0,0,11,0,0,0,1,0,1,1,4,0,0,1,0,1,2,0,0,67,70,0,6,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,6,1,1
160,12750,9,0,1,0,0,0,0,1,1,1,18,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,58,73,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,3,3,0
170,13204,2,1,3,0,0,2,0,2,4,0,8,0,0,0,0,12,0,2,0,1,0,0,0,4,0,0,3,0,0,3,0,0,64,80,6,6,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,2,4,0
180,13388,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,13,0,0,0,1,1,2,3,2,0,0,0,0,0,0,0,0,103,50,0,6,1,0,0,8,0,0,0,0,0,0,0,0,1,7,0,0,6,0
190,13572,1,1,0,1,1,0,0,3,4,0,6,0,0,0,0,14,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,3,88,52,0,9,0,0,2,9,0,0,0,0,1,0,0,2,0,2,0,3,7,0
200,13755,3,0,4,0,0,1,0,5,1,0,5,0,0,0,1,28,0,0,0,0,0,3,3,8,0,1,0,0,0,0,0,7,82,30,0,13,0,1,0,13,0,0,0,0,1,0,0,0,1,2,0,0,4,0
210,13838,0,5,3,0,0,0,0,5,3,0,7,0,0,0,0,16,0,0,0,1,0,2,2,3,0,0,0,0,2,0,0,12,70,44,0,8,1,0,0,12,0,2,1,0,1,0,0,1,0,0,0,8,6,0
220,13920,3,0,2,0,1,0,0,4,4,0,11,0,0,0,2,16,0,0,0,0,3,1,4,3,0,0,1,0,0,0,0,13,85,29,0,5,0,0,0,16,0,0,1,0,1,1,0,0,0,2,0,1,8,0
230,14003,2,0,1,0,1,0,1,7,3,0,5,2,0,0,0,17,0,1,0,0,0,2,2,3,0,0,0,0,0,0,0,9,89,30,0,9,0,0,0,14,0,1,0,0,2,0,1,0,0,0,0,7,5,0
240,14085,1,0,0,0,1,0,0,3,8,0,2,0,1,0,0,16,0,0,0,0,2,2,4,7,0,0,0,0,0,0,0,9,93,32,0,9,0,0,0,12,2,3,0,0,1,0,0,0,1,1,0,2,9,0
250,14167,1,0,0,1,4,0,0,2,2,0,4,1,2,0,0,11,0,1,0,1,4,3,7,8,0,0,0,0,0,0,0,11,106,28,0,5,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,4,7,0
260,14250,3,0,1,0,3,0,0,3,5,0,4,1,0,0,0,13,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,9,118,22,0,6,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,2,6,0
270,14332,0,1,1,1,0,0,0,3,4,0,4,0,0,0,0,17,1,0,0,1,0,3,3,3,0,0,0,0,0,0,0,17,101,21,0,3,0,0,0,18,0,0,0,0,1,0,1,0,0,0,0,3,2,0
280,14414,3,1,0,0,1,0,0,8,1,0,4,1,0,0,0,10,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,2,132,18,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,2,5,0
290,NA,1,0,1,0,1,0,0,7,6,0,2,0,0,0,0,13,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,16,116,17,0,2,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,3,12,0
300,NA,3,0,0,0,2,0,0,3,4,0,6,0,0,0,0,12,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,6,126,14,0,6,0,0,0,13,0,0,0,0,1,0,1,0,0,1,0,1,13,0
310,NA,0,0,1,0,3,0,0,13,2,0,2,0,0,1,2,20,0,1,0,0,1,4,5,9,0,0,0,0,0,0,0,10,108,14,0,6,0,0,1,10,1,0,0,1,2,0,0,0,0,0,0,2,40,0
320,NA,0,0,3,1,3,0,0,3,3,0,3,0,0,0,1,18,0,2,0,0,1,0,1,6,1,1,0,0,0,0,0,14,105,8,1,9,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,33,0
330,NA,1,0,1,0,1,0,0,4,2,0,4,0,0,0,1,15,0,2,0,0,0,8,8,4,1,0,0,0,0,0,0,18,101,25,0,4,0,0,0,10,0,0,0,0,3,1,0,1,0,0,0,2,26,0
