"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Prunus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Sagittaria","Salix.herbacea.type","Salix.undiff.","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Vaccinium","Viburnum.nudum","Viburnum.undiff."
2,74,6,0,0,0,0,0,3,3,0,0,1,0,0,250,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,9,4,20,2,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0
7,260,14,0,0,1,2,0,11,4,0,0,0,0,0,379,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,8,6,33,2,6,35,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,1,0,2,0,0,0
20,742,7,0,0,3,2,0,1,4,0,0,0,0,0,422,0,0,0,0,0,0,0,0,2,4,1,0,1,2,0,0,0,6,0,3,2,3,0,0,0,0,0,6,0,6,0,0,0,0,2,10,24,4,8,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,4,0,0,0
30,1113,4,0,2,1,2,0,8,4,1,1,0,0,0,355,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0,1,0,0,0,2,2,1,4,4,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0
40,1484,7,0,0,0,0,0,7,6,0,1,0,0,0,356,0,0,0,1,0,0,0,0,5,1,3,0,6,0,3,1,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,26,1,3,23,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,2,0,0,3,0,0,2,0,1,0,0,0,0
50,1855,3,0,0,0,2,0,3,5,0,0,0,0,0,370,0,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,5,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,7,12,0,10,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,5,0,1,3,2,0,4,0,0,0
60,2226,6,0,3,1,2,0,15,2,0,0,0,0,0,425,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,1,0,7,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,32,0,7,32,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,1,0,1,0,2,0,0,4,0,0,1,0,0,0
80,2967,4,0,1,1,3,0,15,6,0,0,0,0,0,490,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,2,3,1,22,0,14,34,0,1,0,0,0,1,0,10,0,0,0,0,0,1,0,1,0,0,0,3,0,0,3,0,1,1,0,0,0
90,3338,6,0,0,1,6,0,18,1,0,0,0,1,0,536,0,0,0,1,0,0,0,0,1,4,0,0,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,3,21,0,13,9,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,1,0,0
100,3709,1,0,3,1,3,1,7,7,0,0,0,0,0,295,0,0,0,0,0,0,0,0,3,3,0,0,1,4,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,11,1,29,2,26,41,0,1,0,0,0,1,0,12,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,1,0,0,0
