"sample.depths","sample.ages","Abies","Acer","Alnus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae","Corylus","Cupressaceae.Taxaceae","Cyperaceae","Elaeagnus","Equisetum","Ericaceae","Euphorbiaceae","Fabaceae","Fagus","Fraxinus","Ilex","Impatiens","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium","Menyanthes.trifoliata","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya","Other.herbs","Pediastrum","Picea","Pinus","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogeton","Proserpinaca","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Salix","Sagittaria","Saxifragaceae","Sparganium","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Urtica","Viburnum","Vitis"
0,-28,4,10,4,2,0,0,1,0,63,0,3,0,3,0,0,1,3,0,24,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,3,11,0,0,20,14,0,16,0,2,0,40,0,0,0,0,1,0,0,0,0,0,1,44,0,3,6,0,0,0
10,37,3,16,4,1,0,0,0,0,42,0,1,0,5,0,0,0,3,0,12,0,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,1,0,1,5,0,0,18,10,0,10,0,1,0,17,0,0,0,0,0,0,0,0,0,0,1,32,0,1,3,0,0,0
20,102,4,8,6,0,0,0,1,0,54,0,6,0,6,0,0,0,2,0,15,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,3,0,0,30,12,0,14,0,1,0,38,0,0,0,0,2,0,0,0,0,0,2,49,0,1,6,0,0,0
30,168,3,13,2,0,0,0,1,0,75,0,1,0,2,0,0,1,0,0,18,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,12,0,0,35,9,0,0,0,0,0,46,0,0,0,0,0,1,0,1,0,0,0,52,0,0,4,0,0,0
40,233,0,5,4,0,0,1,4,0,52,0,0,0,3,0,0,0,2,0,24,0,0,0,0,0,28,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,10,0,0,19,9,1,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,2,27,0,1,6,0,0,0
50,298,0,6,4,0,0,0,2,0,50,0,2,0,1,0,0,0,2,0,22,0,0,0,0,0,13,2,1,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,2,4,0,0,24,4,0,0,0,1,0,31,0,0,0,0,2,1,0,0,0,1,0,45,0,1,4,0,0,0
60,363,1,10,2,0,0,0,0,0,58,0,0,0,3,1,0,0,5,0,17,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,9,0,0,17,7,1,0,0,2,0,48,0,0,0,0,0,1,0,0,0,1,2,35,0,0,3,0,0,0
70,429,0,7,4,0,0,1,1,0,71,0,2,0,1,0,0,0,2,0,9,0,0,0,0,1,28,1,0,1,0,0,0,0,0,0,0,0,16,0,1,1,0,0,3,2,0,0,22,7,0,18,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,46,0,3,4,0,0,0
80,494,0,9,4,0,0,0,2,0,72,0,3,0,6,0,0,0,5,0,20,0,0,0,0,0,22,1,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,2,6,6,0,0,29,5,0,0,4,4,0,46,0,0,0,0,1,1,0,1,0,0,1,34,0,1,6,0,0,0
90,559,1,5,5,0,0,0,0,0,92,0,1,0,9,0,0,0,4,0,13,0,0,0,0,0,12,1,0,0,1,0,0,0,0,4,0,5,13,0,0,0,0,2,4,10,0,0,18,3,0,15,3,2,0,53,0,0,0,0,1,0,0,1,0,0,1,35,0,5,5,0,0,0
