"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.viridis","Myrica","Populus","Poaceae","Humulus","Pinus.strobus","Pinus.banksiana.P..resinosa","Larix","Sarcobatus.vermiculatus","Tsuga","Thalictrum","Acer.spicatum","Lamiaceae","Celtis","Carya","Platanus","Potentilla.type","Rosaceae.undiff.","Juglans.cinerea","Ranunculus","Dalea","Oxytropis","Fabaceae.undiff.","Spiraea.type","Iva.annua.type","Iva.xanthifolia.type","Brassicaceae","Apiaceae","Rhus","Triantha.glutinosa","Alnus.undiff.","Fraxinus.pennsylvanica.type","Shepherdia.canadensis","Amorpha","Eucalyptus","Laportea.type","Tilia","Morus.rubra","Ephedra.trifurca.type","Viburnum.opulus","Urtica.type","Juglans.nigra","Asteraceae.subf..Cichorioideae","Vitis"
2,NA,319,3,1,24,3,5,26,3,4,14,1,2,2,25,142,8,1,3,5,8,3,1,2,1,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1623,330,0,1,19,3,5,30,2,2,26,3,4,1,13,106,8,1,0,0,18,2,4,1,0,29,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2028,422,1,0,29,1,2,50,3,1,54,1,3,3,10,161,3,1,2,0,10,0,3,6,0,32,43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2433,384,0,1,18,1,4,48,1,1,72,2,2,0,24,109,7,1,2,2,6,0,0,2,0,31,44,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2838,314,1,0,31,2,5,34,0,2,19,3,4,1,10,101,4,0,0,3,23,0,1,4,0,36,27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,3344,412,1,0,8,2,5,43,2,0,44,3,5,1,11,142,7,0,3,0,16,0,10,3,0,52,49,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,3749,350,1,0,11,5,10,58,0,4,33,0,2,2,10,130,9,4,0,1,16,0,4,5,0,22,15,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,4154,347,2,0,18,0,2,34,1,1,9,2,2,2,10,128,4,1,1,0,20,0,0,6,0,61,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,4559,309,0,1,7,2,3,26,0,0,14,1,5,0,3,134,5,0,3,2,6,0,5,5,0,44,38,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,4984,340,1,1,17,3,4,43,2,2,11,0,3,0,2,115,4,4,5,2,7,0,4,2,0,51,53,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
