"sample.depths","sample.ages","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Juniperus","Alnus","Salix","Corylus","Myrica","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Solidago","Aster","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Polygonaceae","Caryophyllaceae","Ranunculaceae","Brassicaceae"
0,-34,0.0611510791366906,0.0107913669064748,0,0,0,0.169064748201439,0,0,0,0,0,0.223021582733813,0.0431654676258993,0,0,0.356115107913669,0.0287769784172662,0,0.0107913669064748,0,0,0.0431654676258993,0.0107913669064748,0,0,0,0.0143884892086331,0.0215827338129496,0.00719424460431655
5,5,0.213559322033898,0.125423728813559,0,0,0,0.111864406779661,0,0,0,0,0,0.11864406779661,0.0169491525423729,0,0,0.389830508474576,0.0101694915254237,0,0,0,0,0,0,0,0.00677966101694915,0.00677966101694915,0,0,0
10,44,0.147826086956522,0.0260869565217391,0,0,0,0.139130434782609,0,0,0,0,0,0.217391304347826,0.0260869565217391,0,0,0.356521739130435,0.0260869565217391,0,0.00869565217391304,0,0,0,0.00869565217391304,0.0173913043478261,0,0,0,0,0.0260869565217391
15,84,0.382978723404255,0.194148936170213,0,0,0,0.0425531914893617,0,0,0,0,0.00531914893617021,0.0585106382978723,0.0132978723404255,0,0,0.098404255319149,0.156914893617021,0.0132978723404255,0.0186170212765957,0,0,0,0.00797872340425532,0.00265957446808511,0,0.00531914893617021,0,0,0
20,123,0.300970873786408,0.148867313915858,0,0,0,0.100323624595469,0,0,0,0,0.00647249190938511,0.155339805825243,0.0161812297734628,0,0,0.168284789644013,0.0226537216828479,0.00647249190938511,0.0258899676375405,0,0.00323624595469256,0,0.029126213592233,0,0,0.00647249190938511,0.00647249190938511,0,0.00323624595469256
25,162,0.265,0.12,0,0,0,0.135,0,0,0,0,0.0125,0.09,0.0225,0,0,0.28,0.0175,0.015,0.02,0,0,0,0,0.0025,0,0.0175,0,0,0.0025
30,201,0.457575757575758,0.118181818181818,0.00606060606060606,0,0,0.0545454545454545,0,0,0,0,0.00303030303030303,0.0454545454545455,0.0181818181818182,0,0,0.154545454545455,0.0818181818181818,0.00909090909090909,0.0363636363636364,0,0,0,0,0,0,0.0151515151515152,0,0,0
35,241,0.506887052341598,0.143250688705234,0,0,0,0.0495867768595041,0,0,0,0,0.00826446280991736,0.0440771349862259,0.0247933884297521,0,0,0.0633608815426997,0.0771349862258953,0,0.0495867768595041,0,0,0.00826446280991736,0,0.00826446280991736,0,0.0110192837465565,0.00550964187327824,0,0
40,280,0.283276450511945,0.0750853242320819,0,0,0,0.0784982935153584,0,0,0,0,0.0068259385665529,0.0648464163822526,0.037542662116041,0,0,0.283276450511945,0.0409556313993174,0.0204778156996587,0.0102389078498294,0,0,0.0273037542662116,0,0.0238907849829352,0,0.0341296928327645,0.0068259385665529,0,0.0068259385665529
45,341,0.359861591695502,0.0519031141868512,0,0,0.00346020761245675,0.0934256055363322,0,0.0069204152249135,0,0,0.0103806228373702,0.0761245674740484,0.027681660899654,0,0,0.332179930795848,0.0173010380622837,0,0.0069204152249135,0,0,0,0.00346020761245675,0,0,0.0103806228373702,0,0,0
